player,pos,mlb,owner,age,fpts,IP,K,ER,BS,QS,CG,SHO,GP
Jacob Misiorowski,SP,MIL,MMM,24,452.33,161.1,236,35,0,18,1,1,27
Cristopher Sanchez,SP,PHI,CS,29,437.33,187.1,210,58,0,20,1,1,30
Cam Schlittler,SP,NYY,MMM,25,430.67,178.2,220,40,0,18,0,0,30
Jesus Luzardo,SP,PHI,CS,28,428.67,178.2,221,57,0,17,1,1,29
Dylan Cease,SP,TOR,BB,30,423.33,161.1,227,43,0,15,1,1,27
Chris Sale,SP,ATL,MMM,37,403,157,190,38,0,19,1,1,26
Yoshinobu Yamamoto,SP,LAD,BAMBI,28,383,172,171,50,0,20,1,0,26
Cade Cavalli,SP,WSH,CS,28,373.67,164.2,194,57,0,18,0,0,31
Gavin Williams,SP,CLE,Dan,27,370,169,228,71,0,11,0,0,29
Nolan McLean,SP,NYM,Dpf,25,362.67,166.2,184,60,0,18,0,0,29
Sandy Alcantara,SP,MIA,MMM,31,361,200,143,84,0,21,1,1,31
Parker Messick,SP,CLE,BAMBI,25,354.33,172.1,178,48,0,13,0,0,29
Reid Detmers,SP,LAA,LTTA,27,353,168,191,62,0,14,0,0,29
Michael Wacha,SP,KC,CJF,35,343.67,182.2,147,66,0,20,0,0,29
Logan Gilbert,SP,SEA,BB,29,340,172,187,71,0,13,0,0,29
Drew Rasmussen,SP,TB,GLIZZY,31,338.33,160.1,160,50,0,17,0,0,28
Taj Bradley,SP,MIN,GLIZZY,25,337.33,165.1,190,70,0,13,0,0,29
Braxton Ashcraft,SP,PIT,Dpf,26,332.33,165.1,173,68,0,13,1,0,28
Michael King,SP,SD,CS,31,332,175,148,59,0,17,0,0,30
Paul Skenes,SP,PIT,Dpf,24,327,162,185,68,0,12,0,0,30
Zack Wheeler,SP,PHI,GLIZZY,36,325.33,143.1,172,50,0,15,0,0,25
Eduardo Rodriguez,SP,ARI,THALER,33,324,173,128,49,0,18,0,0,29
Chase Burns,SP,CIN,Dan,23,323.33,148.1,176,45,0,11,0,0,27
Sonny Gray,SP,BOS,Dan,36,320.67,156.2,140,48,0,18,0,0,27
Jacob deGrom,SP,TEX,MMM,38,320.33,149.1,186,63,0,12,0,0,28
Bryan Woo,SP,SEA,BB,26,319.33,162.1,163,70,0,16,0,0,28
Tarik Skubal,SP,LAD,CH,29,315.67,139.2,164,44,0,14,0,0,23
Kevin Gausman,SP,CHC,LTTA,35,307.33,166.1,171,86,0,14,0,0,30
Sean Burke,SP,CHW,GK,26,303,156,169,62,0,10,0,0,29
Shane Baz,SP,BAL,THALER,27,301,169,150,76,0,12,1,0,29
Shota Imanaga,SP,CHC,GK,33,300.33,162.1,156,70,0,13,0,0,29
Foster Griffin,SP,CLE,Dan,31,298.67,162.2,146,66,0,14,0,0,29
Jose Soriano,SP,TOR,GLIZZY,27,297,163,154,64,0,11,0,0,29
Payton Tolle,SP,BOS,BB,23,296,137,159,48,0,12,0,0,24
George Kirby,SP,SEA,LTTA,28,295.33,165.1,138,78,0,15,1,0,28
Noah Cameron,SP,KC,CJF,27,293.33,160.1,145,70,0,10,1,1,28
Tanner Bibee,SP,CLE,CJF,27,291.67,170.2,133,80,0,17,0,0,30
Logan Webb,SP,SF,BAMBI,29,289.67,155.2,127,71,0,17,1,0,26
MacKenzie Gore,SP,TEX,GLIZZY,27,286.67,161.2,172,83,0,9,0,0,31
Aaron Nola,SP,PHI,Dpf,33,286.33,161.1,165,84,0,11,0,0,30
Walbert Urena,SP,LAA,THALER,22,282.33,137.1,131,44,0,12,1,0,27
Nick Martinez,SP,TB,Dpf,36,280.33,166.1,98,54,0,15,1,0,28
Framber Valdez,SP,DET,LTTA,32,275.67,163.2,121,73,0,16,0,0,29
Trevor Rogers,SP,BAL,BB,28,275.67,151.2,138,70,0,14,0,0,27
Kyle Bradish,SP,BAL,LTTA,30,274,155,142,71,0,12,0,0,29
Eury Perez,SP,MIA,BAMBI,23,272.33,139.1,150,61,0,11,0,0,26
Dustin May,SP,MIL,THALER,29,272.33,138.1,133,69,0,13,1,1,28
Robbie Ray,SP,SD,Dan,34,,156.1,132,62,0,11,0,0,29
Joey Cantillo,SP,CLE,FA,26,270,148,162,64,0,6,0,0,31
Landen Roupp,SP,SF,CJF,28,266.67,150.2,139,67,0,11,0,0,28
Peter Lambert,SP,HOU,GLIZZY,29,266.67,145.2,141,60,0,10,0,0,26
Joe Ryan,SP,MIN,MMM,30,265.67,129.2,145,53,0,11,0,0,24
Bryce Elder,SP,ATL,Dpf,27,262,149,121,68,0,15,0,0,26
Ryan Weathers,SP,NYY,CJF,26,261.33,137.1,143,55,0,9,0,0,25
Emerson Hancock,SP,SEA,CH,27,257.67,138.2,126,55,0,12,0,0,25
Nathan Eovaldi,SP,TEX,LTTA,36,,135.1,139,63,0,11,0,0,23
Seth Lugo,SP,KC,FA,36,255,164,126,91,0,14,0,0,30
J.T. Ginn,SP,ATH,THALER,27,253.33,138.1,121,57,1,11,1,0,27
Michael McGreevy,SP,STL,Dan,26,253,154,106,67,0,15,0,0,28
Ranger Suarez,SP,BOS,Dpf,31,252.67,137.2,130,51,0,9,0,0,26
Will Warren,SP,NYY,THALER,27,251.33,142.1,141,64,0,8,0,0,29
Freddy Peralta,SP,TB,CJF,30,245,153,142,82,0,8,0,0,29
Brandon Young,SP,BAL,GK,28,242.67,140.2,112,58,0,12,0,0,25
Tyler Mahle,SP,ATL,Dpf,31,,138,127,60,0,9,0,0,25
Ian Seymour,SP,TB,FA,27,238.33,122.1,150,58,0,6,0,0,44
Kyle Leahy,SP,STL,GK,29,237,135,128,50,0,6,0,0,28
Andrew Abbott,SP,CIN,CS,27,,154.1,120,82,0,11,0,0,30
Justin Wrobleski,SP,LAD,FA,26,236.33,133.1,111,56,0,12,0,0,24
Grant Holmes,SP,ATL,Dpf,30,230.67,137.2,110,53,0,9,0,0,28
Davis Martin,SP,CHW,CH,29,229.67,135.2,115,61,0,10,0,0,26
Gerrit Cole,SP,NYY,MMM,36,229.33,115.1,117,47,0,11,0,0,20
Andre Pallante,SP,STL,CS,27,228,146,102,56,0,9,0,0,26
Max Meyer,SP,MIA,Dan,27,,111,121,33,0,7,0,0,20
Brady Singer,SP,CIN,FA,30,,150.2,125,90,0,10,0,0,29
Matthew Liberatore,SP,STL,FA,26,,143.1,146,88,0,6,0,0,29
