fantrax_id,player,mlb,pos,slot,status,owner,team
05a1v,Keider Montero,DET,SP,SP,ACTIVE,CS,City to the Shore
04o4s,Shea Langeliers,ATH,C,C,INJURED_RESERVE,CS,City to the Shore
041wv,Michael King,SD,SP,SP,ACTIVE,CS,City to the Shore
0512v,Michael Harris II,ATL,CF,OF,ACTIVE,CS,City to the Shore
05u9y,Max Clark,DET,CF,OF,RESERVE,CS,City to the Shore
04ru5,Andy Pages,LAD,CF,OF,INJURED_RESERVE,CS,City to the Shore
05133,Andre Pallante,STL,SP,SP,ACTIVE,CS,City to the Shore
06am0,Mickey Gasper,BOS,C,C,ACTIVE,CS,City to the Shore
06ier,Ryan Sloan,SEA,SP,SP,MINORS,CS,City to the Shore
04p10,Bryson Stott,PHI,2B,2B,ACTIVE,CS,City to the Shore
05g3x,Maikel Garcia,KC,3B,UT,INJURED_RESERVE,CS,City to the Shore
03cag,Kyle Schwarber,PHI,DH,OF,ACTIVE,CS,City to the Shore
05yo5,Ben Rice,NYY,1B,UT,ACTIVE,CS,City to the Shore
02c68,Trea Turner,PHI,SS,SS,ACTIVE,CS,City to the Shore
04pbq,Geraldo Perdomo,ARI,SS,UT,RESERVE,CS,City to the Shore
052c8,Cristopher Sanchez,PHI,SP,SP,ACTIVE,CS,City to the Shore
062ho,Javier Sanoja,MIA,3B,OF,RESERVE,CS,City to the Shore
04alp,Ernie Clement,TOR,3B,2B,RESERVE,CS,City to the Shore
01svq,Manny Machado,SD,3B,3B,ACTIVE,CS,City to the Shore
041r1,Jesus Luzardo,PHI,SP,SP,RESERVE,CS,City to the Shore
05jq2,Andrew Abbott,CIN,SP,SP,RESERVE,CS,City to the Shore
05gef,Cade Cavalli,WSH,SP,SP,ACTIVE,CS,City to the Shore
05y7t,Henry Bolte,ATH,RF,OF,ACTIVE,CS,City to the Shore
04mn5,Alec Bohm,PHI,3B,1B,ACTIVE,CS,City to the Shore
03aac,Walker Buehler,SD,SP,SP,RESERVE,CS,City to the Shore
04ppj,Jeremy Pena,HOU,SS,UT,ACTIVE,CS,City to the Shore
04nb2,Riley Greene,DET,LF,OF,ACTIVE,CH,Charlie Hustle
066cf,Zebby Matthews,MIN,SP,SP,ACTIVE,CH,Charlie Hustle
05yeg,Roch Cholowsky,CHW,SS,SS,MINORS,CH,Charlie Hustle
041yb,Dean Kremer,MIN,SP,SP,ACTIVE,CH,Charlie Hustle
05t9g,Gage Jump,ATH,SP,SP,ACTIVE,CH,Charlie Hustle
06ekq,Zac Thornton,NYM,SP,SP,RESERVE,CH,Charlie Hustle
05ajh,Garrett Crochet,BOS,SP,SP,INJURED_RESERVE,CH,Charlie Hustle
06rkk,Eduardo Valencia,DET,1B,1B,RESERVE,CH,Charlie Hustle
03pom,Austin Riley,ATL,3B,3B,RESERVE,CH,Charlie Hustle
05u96,Bryce Eldridge,SF,1B,1B,ACTIVE,CH,Charlie Hustle
