rank,team,team_id,W,L,T,win_pct,points_for,games_back,abbrev
1,Basketball,r1w394jpmgciv7eu,19,2,0,0.905,9224.0,0.0,BB
2,City to the Shore,yse6jcrcmgciv7f1,14,7,0,0.667,8436.33,5.0,CS
3,Midwest MooseKnuckle Mafia,gd1wsrztmgciv7f2,13,8,0,0.619,8575.33,6.0,MMM
4,The Great Bambi,feq8x9yjmgciv7ey,12,9,0,0.571,8040.67,7.0,BAMBI
5,Gotham Knights,h0abzsrxmgciv7ew,12,9,0,0.571,7780.34,7.0,GK
6,Charlie Hustle,l2otmc5cmgciv7f2,12,9,0,0.571,7770.67,7.0,CH
7,The Greatest Glizzy Guzzlers,8nb4lq85mgciv7ez,10,11,0,0.476,8029.0,9.0,GLIZZY
8,Let’s try this again,kf4wesaxmgciv7f3,9,12,0,0.429,8070.0,10.0,LTTA
9,The Chosen Juan,e4xrbit0mgciv7ey,8,13,0,0.381,7231.33,11.0,THALER
10,Some Ting Wong,ncdotd3zmgciv7ex,8,13,0,0.381,7024.66,11.0,Dan
11,Baseball Phanatic,jfnfpburmgciv7f0,5,16,0,0.238,7548.0,14.0,Dpf
12,The Real Doctor,cmmq1zukmgciv7ev,4,17,0,0.19,7303.66,15.0,CJF
