date,kind,mlbam_id,name,team,gamePk,opp,exp_pts,src,owner,elig,active,made_utc
2026-09-21,H,624413.0,Pete Alonso,Baltimore Orioles,824787,Toronto Blue Jays,4.52,listed,GK,1B,True,2026-09-21T16:30:42Z
2026-09-21,H,641933.0,Tyler O'Neill,Baltimore Orioles,824787,Toronto Blue Jays,2.76,listed,FA,OF,False,2026-09-21T16:30:42Z
2026-09-21,H,665750.0,Leody Taveras,Baltimore Orioles,824787,Toronto Blue Jays,3.05,listed,FA,OF,True,2026-09-21T16:30:42Z
2026-09-21,H,665966.0,Carlos Narváez,Baltimore Orioles,824787,Toronto Blue Jays,2.29,listed,FA,C,True,2026-09-21T16:30:42Z
2026-09-21,H,669236.0,Jeremiah Jackson,Baltimore Orioles,824787,Toronto Blue Jays,2.87,listed,FA,2B/OF,True,2026-09-21T16:30:42Z
2026-09-21,H,673357.0,Luis Robert Jr.,Baltimore Orioles,824787,Toronto Blue Jays,3.67,listed,Dpf,OF,True,2026-09-21T16:30:42Z
2026-09-21,H,677942.0,Blaze Alexander,Baltimore Orioles,824787,Toronto Blue Jays,3.43,listed,FA,2B/3B/SS/OF,False,2026-09-21T16:30:42Z
2026-09-21,H,681297.0,Colton Cowser,Baltimore Orioles,824787,Toronto Blue Jays,3.07,listed,FA,OF,True,2026-09-21T16:30:42Z
2026-09-21,H,683002.0,Gunnar Henderson,Baltimore Orioles,824787,Toronto Blue Jays,4.05,listed,GK,SS,True,2026-09-21T16:30:42Z
2026-09-21,H,687637.0,Dylan Beavers,Baltimore Orioles,824787,Toronto Blue Jays,3.62,listed,FA,OF,True,2026-09-21T16:30:42Z
2026-09-21,H,687952.0,Christian Encarnacion-Strand,Baltimore Orioles,824787,Toronto Blue Jays,3.4,listed,FA,1B/3B,True,2026-09-21T16:30:42Z
2026-09-21,H,691723.0,Coby Mayo,Baltimore Orioles,824787,Toronto Blue Jays,3.37,listed,FA,1B/3B,True,2026-09-21T16:30:42Z
2026-09-21,H,694212.0,Samuel Basallo,Baltimore Orioles,824787,Toronto Blue Jays,3.45,listed,GK,C/1B,True,2026-09-21T16:30:42Z
2026-09-21,H,702616.0,Jackson Holliday,Baltimore Orioles,824787,Toronto Blue Jays,3.57,listed,FA,2B,False,2026-09-21T16:30:42Z
2026-09-21,H,677956.0,Rece Hinds,Baltimore Orioles,824787,Toronto Blue Jays,2.59,listed,FA,OF,True,2026-09-21T16:30:42Z
2026-09-21,H,543807.0,George Springer,Toronto Blue Jays,824787,Baltimore Orioles,3.96,listed,LTTA,OF,True,2026-09-21T16:30:42Z
2026-09-21,H,664702.0,Myles Straw,Toronto Blue Jays,824787,Baltimore Orioles,2.58,listed,FA,OF,True,2026-09-21T16:30:42Z
2026-09-21,H,664770.0,Nathan Lukes,Toronto Blue Jays,824787,Baltimore Orioles,3.73,listed,FA,OF,True,2026-09-21T16:30:42Z
2026-09-21,H,665489.0,Vladimir Guerrero Jr.,Toronto Blue Jays,824787,Baltimore Orioles,3.82,listed,CJF,1B,True,2026-09-21T16:30:42Z
