player,list,tier_or_rank,note
Ty France,sleeper_hitter,1,Padres second-best hitter matchups; four at Coors
Cole Carrigg,sleeper_hitter,2,full week at Coors; big home/road split
TJ Rumfield,sleeper_hitter,3,playable on the road too; hot in September
Griffin Conine,sleeper_hitter,4,strict platoon; Marlins face only righties
Jakob Marsee,sleeper_hitter,5,11 for 18 in past four games
Leonardo Bernal,sleeper_hitter,6,started all nine since call-up; SF and WAS
Tommy Edman,sleeper_hitter,7,Dodgers fourth-best slate; leadoff with Ohtani out
Christian Encarnacion-Strand,sleeper_hitter,8,three lefties in six games; 1.066 OPS vs LHP
Coby Mayo,sleeper_hitter,9,most HR vs LHP in MLB
Kyle Karros,sleeper_hitter,10,back from concussion IL; .827 OPS at Coors
Jacob Lopez,sleeper_pitcher,1,hottest pitcher on the wire; at CLE
Andrew Painter,sleeper_pitcher,2,at NYM
Cal Quantrill,sleeper_pitcher,3,vs TOR; nine-start run
Emmet Sheehan,sleeper_pitcher,4,vs SF; 10 K in return
Quinn Mathews,sleeper_pitcher,5,vs SF and vs WAS; best two-start add
Andre Pallante,sleeper_pitcher,6,vs SF; 55% ground balls
Cristian Javier,sleeper_pitcher,7,vs KC; velocity up
Will Warren,sleeper_pitcher,8,two starts; extra tick on fastball
Griffin Jax,sleeper_pitcher,9,two starts; RP eligibility
Ryan Johnson,sleeper_pitcher,10,two starts; low whiffs
Tarik Skubal,two_start,Must-start all formats,@CIN and vs SF
Jacob Misiorowski,two_start,Must-start all formats,@PIT and @BAL
Yoshinobu Yamamoto,two_start,Must-start all formats,@CIN and vs SF
Cristopher Sanchez,two_start,Must-start all formats,@WSH and @NYM
Reid Detmers,two_start,Must-start all formats,vs SEA and vs MIN
Michael Wacha,two_start,Must-start all formats,@HOU and @PIT
Hunter Brown,two_start,Advisable in most cases,vs KC and vs ATL
Jose Soriano,two_start,Advisable in most cases,vs DET and @TEX
Troy Melton,two_start,Advisable in most cases,@TOR and @CHW
Quinn Mathews,two_start,Advisable in most cases,vs SF and vs WAS
Kade Anderson,two_start,Advisable in most cases,@LAA and @COL
Will Warren,two_start,Better left for points leagues,@MIN and @ARI
Griffin Jax,two_start,Better left for points leagues,vs ATH and vs BOS
Sandy Alcantara,two_start,Better left for points leagues,@ARI and @SD
Ryan Johnson,two_start,Better left for points leagues,vs SEA and vs MIN
Landen Roupp,two_start,Better left for points leagues,@STL and @LAD
Tanner Bibee,two_start,No thanks,
Davis Martin,two_start,No thanks,
Drew Anderson,two_start,No thanks,
Brandon Young,two_start,No thanks,
Casey Mize,two_start,No thanks,
Patrick Sandoval,two_start,No thanks,
Erick Fedde,two_start,No thanks,
Corbin Burnes,two_start,No thanks,
David Peterson,two_start,No thanks,
Nick Lodolo,two_start,No thanks,
Zebby Matthews,two_start,No thanks,
Jack Perkins,two_start,No thanks,
Jonah Tong,two_start,No thanks,
Dean Kremer,two_start,No thanks,
Rhett Lowder,two_start,No thanks,
Cody Bradford,two_start,No thanks,
Walker Buehler,two_start,No thanks,
Tomoyuki Sugano,two_start,No thanks,
Ryan Feltner,two_start,No thanks,
