pitcher,team,tier,note
Corbin Burnes,ARI,Later Streamer,limited to 60 pitches coming off TJS
Zac Gallen,ARI,Do Not Start,
Michael Soroka,ARI,Tobys & Bombs,piggybacking with Gallen
Merrill Kelly,ARI,Desperate Streamer,
Brandon Pfaadt,ARI,Solid,command as good as ever; avoid Coors at the end
Eduardo Rodriguez,ARI,Solid,
Jack Perkins,ATH,Desperate Streamer,length and stuff vary
Joey Estes,ATH,Do Not Start,
Jeffrey Springs,ATH,Do Not Start,
Gage Jump,ATH,Tobys & Bombs,strikeout ability comes and goes
Jacob Lopez,ATH,Solid,on a roll; ride it
J.T. Ginn,ATH,Desperate Streamer,arm soreness
AJ Smith-Shawver,ATL,Desperate Streamer,
Reynaldo López,ATL,Desperate Streamer,velocity concern
Martín Pérez,ATL,Tobys & Bombs,
Chris Sale,ATL,Auto,aces gonna ace
Tyler Mahle,ATL,Solid,
Grant Holmes,ATL,Desperate Streamer,
Brandon Young,BAL,Tobys & Bombs,avoid the Yankees
Shane Baz,BAL,Tobys & Bombs,curveball improved
Chris Bassitt,BAL,Desperate Streamer,long leash but low floor
Kyle Bradish,BAL,Tobys & Bombs,
Trevor Rogers,BAL,Solid,save for the Coors date
Patrick Sandoval,BOS,Do Not Start,ratios dangerous
Jake Bennett,BOS,Tobys & Bombs,a Toby with a good schedule
Ranger Suarez,BOS,Tobys & Bombs,not in rhythm yet
Sonny Gray,BOS,Auto,
Payton Tolle,BOS,Auto,
David Peterson,CHC,Desperate Streamer,17 whiffs then terrible command
Kevin Gausman,CHC,Solid,team context
Shota Imanaga,CHC,Solid,
Clay Holmes,CHC,Tobys & Bombs,Toby with win chance
Matthew Boyd,CHC,Tobys & Bombs,long leash for wins and QS
Sean Burke,CHW,Solid,
Davis Martin,CHW,Desperate Streamer,
Luis Castillo,CHW,Desperate Streamer,
Erick Fedde,CHW,Do Not Start,
Anthony Kay,CHW,Tobys & Bombs,
Nick Lodolo,CIN,Later Streamer,blister
Rhett Lowder,CIN,Desperate Streamer,
Andrew Abbott,CIN,Desperate Streamer,
Brady Singer,CIN,Desperate Streamer,QS shot if dire
Chase Burns,CIN,Desperate Streamer,being limited
Tanner Bibee,CLE,Desperate Streamer,coin flip
Foster Griffin,CLE,Tobys & Bombs,a Toby
Parker Messick,CLE,Auto,the greatest Holly
Gavin Williams,CLE,Auto,
Joey Cantillo,CLE,Desperate Streamer,looked lost lately
Gabriel Hughes,COL,Do Not Start,
Tomoyuki Sugano,COL,Do Not Start,
Ryan Feltner,COL,Do Not Start,
Kyle Freeland,COL,Do Not Start,
Mason Adams,COL,Do Not Start,
Tanner Gordon,COL,Do Not Start,
Drew Anderson,DET,Desperate Streamer,transitioning to the rotation
Jack Flaherty,DET,Later Streamer,returning from IL
Keider Montero,DET,Tobys & Bombs,WHIP darling
Framber Valdez,DET,Tobys & Bombs,
Jackson Jobe,DET,Tobys & Bombs,PEAS
Troy Melton,DET,Solid,rough four starts; great schedule
Hayden Wesneski,HOU,Tobys & Bombs,15-team stream
Hunter Brown,HOU,Solid,
Cristian Javier,HOU,Tobys & Bombs,whiffs galore last time
Ethan Pecko,HOU,Do Not Start,
Peter Lambert,HOU,Solid,
Michael Wacha,KC,Solid,the Toby you want
Daniel Lynch IV,KC,Do Not Start,
Seth Lugo,KC,Desperate Streamer,
Randy Dobnak,KC,Desperate Streamer,
Noah Cameron,KC,Solid,on a tear
Reid Detmers,LAA,Auto,slider still cooking
Ryan Johnson,LAA,Desperate Streamer,rarely goes deep
Yusei Kikuchi,LAA,Tobys & Bombs,
Walbert Ureña,LAA,Solid,
Grayson Rodriguez,LAA,Desperate Streamer,dart throw
Tarik Skubal,LAD,Auto,aces gonna ace
Yoshinobu Yamamoto,LAD,Auto,aces gonna ace
Blake Snell,LAD,Auto,
Tyler Glasnow,LAD,Auto,
Emmet Sheehan,LAD,Solid,fantastic return
Roki Sasaki,LAD,Tobys & Bombs,Still ILL risk
Justin Wrobleski,LAD,Tobys & Bombs,could take Sasaki's spot
Sandy Alcantara,MIA,Auto,
Janson Junk,MIA,Desperate Streamer,often under five innings
Ryan Gusto,MIA,Do Not Start,
Tyler Phillips,MIA,Do Not Start,
Eury Pérez,MIA,Tobys & Bombs,rough schedule
Jacob Misiorowski,MIL,Auto,aces gonna ace
Logan Henderson,MIL,Auto,aces gonna ace
Dustin May,MIL,Tobys & Bombs,
Kyle Harrison,MIL,Tobys & Bombs,velocity down; bullpen talk
Robert Gasser,MIL,Desperate Streamer,
Dean Kremer,MIN,Later Streamer,15-team option
Zebby Matthews,MIN,Tobys & Bombs,
Taj Bradley,MIN,Solid,strikeouts too good to resist
Bailey Ober,MIN,Desperate Streamer,
Joe Ryan,MIN,Solid,
Connor Prielipp,MIN,Later Streamer,Shag Rug
Sean Manaea,NYM,Tobys & Bombs,velocity good; command not
Robert Stock,NYM,Do Not Start,
Nolan McLean,NYM,Auto,
Zac Thornton,NYM,Later Streamer,Toby; no strikeouts
Christian Scott,NYM,Later Streamer,skip the Yankees
Jonah Tong,NYM,Tobys & Bombs,too risky
Cam Schlittler,NYY,Auto,aces gonna ace
Will Warren,NYY,Solid,
Max Fried,NYY,Auto,after the Still ILL
Elmer Rodríguez,NYY,Desperate Streamer,
Carlos Rodón,NYY,Auto,
Gerrit Cole,NYY,Auto,aces gonna ace
Andrew Painter,PHI,Solid,a new man
Cristopher Sánchez,PHI,Auto,
Zack Wheeler,PHI,Auto,
Aaron Nola,PHI,Tobys & Bombs,HR prone
Jesús Luzardo,PHI,Auto,aces gonna ace
Bubba Chandler,PIT,Desperate Streamer,
Khristian Curtis,PIT,Later Streamer,discount Logan Henderson
Jared Jones,PIT,Solid,
Braxton Ashcraft,PIT,Solid,
Paul Skenes,PIT,Solid,demoted after Giants blowup
Casey Mize,SD,Tobys & Bombs,ankle; Coors
Joe Musgrove,SD,Desperate Streamer,after the Still ILL
Walker Buehler,SD,Desperate Streamer,
Robbie Ray,SD,This Week Streamer,avoid Dodgers and Coors
Michael King,SD,This Week Streamer,scared of Coors and Dodgers
Nick Pivetta,SD,Tobys & Bombs,one whiff on 63 pitches
Bryce Miller,SEA,Desperate Streamer,lat injury
Kade Anderson,SEA,Solid,
Logan Gilbert,SEA,Auto,aces gonna ace
George Kirby,SEA,Tobys & Bombs,maddening
Bryan Woo,SEA,Auto,rolling with Woo despite the Green Mile
Emerson Hancock,SEA,Later Streamer,IL
Landen Roupp,SF,Tobys & Bombs,HIPSTER
Blade Tidwell,SF,Desperate Streamer,
Matt Wilkinson,SF,Desperate Streamer,
Anthony Molina,SF,This Week Streamer,
Cesar Perdomo,SF,This Week Streamer,avoid the Dodgers
Logan Webb,SF,Auto,
Quinn Mathews,STL,Solid,
Andre Pallante,STL,Tobys & Bombs,quiet 5/6 innings
Matthew Liberatore,STL,Tobys & Bombs,strikeouts; terrible ratios
Kyle Leahy,STL,Later Streamer,short leash
Michael McGreevy,STL,Tobys & Bombs,boring six frames
Freddy Peralta,TB,Desperate Streamer,volatile
Griffin Jax,TB,Solid,if starting
Mason Englert,TB,Do Not Start,doubleheader only
Nick Martinez,TB,Tobys & Bombs,Vargas Rule
Drew Rasmussen,TB,Auto,aces gonna ace
Ian Seymour,TB,Tobys & Bombs,doing too well to bench
Cody Bradford,TEX,Desperate Streamer,basic SWATCH
Cal Quantrill,TEX,Solid,Vargas Rule
Kumar Rocker,TEX,Desperate Streamer,
Jacob deGrom,TEX,Auto,aces gonna ace
MacKenzie Gore,TEX,Tobys & Bombs,
José Soriano,TOR,Tobys & Bombs,HIPSTER
Spencer Arrighetti,TOR,Do Not Start,
Spencer Miles,TOR,Do Not Start,follower; workload questionable
Max Scherzer,TOR,Desperate Streamer,
Dylan Cease,TOR,Solid,aces gonna ace
Trey Yesavage,TOR,Tobys & Bombs,returning?
Riley Cornelio,WSH,Do Not Start,opener for Waldron
Jackson Kent,WSH,Tobys & Bombs,SWATCH potential
Cade Cavalli,WSH,Auto,aces gonna ace
Andrew Alvarez,WSH,Tobys & Bombs,sneaky stream after the Dodgers
Jake Irvin,WSH,Do Not Start,volume only
Connelly Early,WSH,Desperate Streamer,returning?
Brad Lord,WSH,Not listed,8/25 note: opener/bulk/closer; role undefined
Tim Mayza,PHI,Not listed,reliever used as opener
Sean Newcomb,CHW,Not listed,not in the White Sox rotation table
