"last_name, first_name",pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed,st_avg_speed,sv_avg_speed
"Alcantara, Sandy",645261,97.4,97.3,89.9,85.1,90.8,82.8,,,84.2,
"Sánchez, Cristopher",650911,,95.0,,86.3,87.0,,,,,
"Luzardo, Jesús",666200,96.8,95.8,,,86.0,,,,86.1,
"Gausman, Kevin",592332,93.9,,,84.0,83.8,,84.1,,79.6,
"Bradley, Taj",671737,97.2,,89.7,,,82.7,91.5,,,
"Gore, MacKenzie",669022,95.2,95.1,89.9,85.6,86.3,81.5,,,,
"Schlittler, Cam",693645,98.0,97.8,94.7,89.6,,86.3,,,,
"Rodriguez, Eduardo",593958,92.0,91.5,88.7,,85.4,79.6,,,,
"Nola, Aaron",605400,92.3,91.6,86.3,83.2,85.6,78.4,,,,
"McLean, Nolan",690997,96.0,95.0,92.1,86.0,88.2,81.9,,,84.9,
"Baz, Shane",669358,95.9,95.3,89.6,,87.7,85.3,,,,
"Gilbert, Logan",669302,96.3,93.0,91.2,86.8,85.8,76.5,81.9,,81.2,
"Cease, Dylan",656302,97.0,95.9,,88.8,81.6,81.9,,,83.4,
"Wacha, Michael",608379,93.1,93.2,89.5,84.9,80.7,76.0,,,,
"Lugo, Seth",607625,91.6,91.4,89.8,84.2,85.1,76.2,,,79.1,77.3
"Cavalli, Cade",676917,96.8,96.1,93.5,,89.1,86.2,,,86.3,
"Messick, Parker",800048,94.3,92.7,90.5,86.9,85.9,79.2,,,,
"King, Michael",650633,94.2,93.1,,85.3,86.5,,,,82.0,
"Soriano, José",667755,97.1,96.3,,90.2,,85.4,92.3,,,
"Detmers, Reid",672282,94.1,93.5,,86.0,83.8,72.3,,,,
"Williams, Gavin",668909,97.6,97.0,92.3,,,82.6,,,87.5,
"Bibee, Tanner",676440,94.0,93.2,85.7,,80.8,78.0,,,82.4,
"Peralta, Freddy",642547,94.2,,,83.1,87.2,79.0,,,82.1,
"Ray, Robbie",592662,93.1,92.5,,86.0,86.2,79.5,,,,
"Griffin, Foster",656492,91.5,91.4,88.5,,82.4,77.8,81.3,,80.1,
"Abbott, Andrew",671096,92.4,,88.8,,86.1,79.7,,,82.1,
"Roupp, Landen",694738,92.9,93.4,89.3,,87.1,76.7,,,,
"Skenes, Paul",694973,96.9,96.7,,86.7,88.7,81.8,93.2,,84.3,
"Cameron, Noah",702070,92.5,91.5,89.8,85.2,81.0,81.8,,,,
"Imanaga, Shota",684007,91.6,90.1,,86.4,,74.4,82.8,,81.0,
"Burke, Sean",680732,94.8,94.7,89.9,86.5,86.0,79.2,,,,
"Valdez, Framber",664285,94.8,93.8,93.2,85.8,89.1,78.4,,,,
"Kay, Anthony",641743,95.8,95.2,91.7,86.3,86.1,,,,82.7,
"Bradish, Kyle",680694,94.2,94.7,,87.4,90.4,84.8,,,,
"Kirby, George",669923,96.7,96.8,92.9,,88.8,84.1,87.2,,87.4,
"Yamamoto, Yoshinobu",808967,96.1,95.5,91.6,86.9,,76.9,91.5,,,
"Singer, Brady",663903,90.7,91.2,87.3,82.7,,,,,82.0,
"Cantillo, Joey",676282,92.2,,87.0,82.8,80.9,79.9,,,,
"McGreevy, Michael",700241,91.8,90.8,87.5,83.5,86.9,78.5,,,81.7,
"Sale, Chris",519242,96.1,95.6,,79.7,88.5,,,,,
"deGrom, Jacob",594798,97.4,96.6,,91.3,89.7,80.7,,,,
"Rasmussen, Drew",656876,95.9,95.3,90.0,,89.7,80.2,,,84.5,
"Misiorowski, Jacob",694819,100.6,,95.8,91.9,92.5,88.0,,,,
"Liberatore, Matthew",669461,94.3,94.3,90.5,86.1,88.6,79.6,87.0,,85.2,
"Kelly, Merrill",518876,92.1,92.4,91.0,86.3,88.5,82.5,,,,
"Burns, Chase",695505,97.6,97.1,,90.2,90.1,81.9,,,,
"Rogers, Trevor",669432,93.8,93.4,83.1,,87.0,,,,78.1,
"Chandler, Bubba",696149,98.4,97.8,,91.0,91.6,86.6,,,87.7,
"Warren, Will",701542,93.7,93.3,,86.7,87.2,81.3,,,84.0,
"Ashcraft, Braxton",677952,97.3,97.1,,91.8,,85.0,91.8,,,
"Webb, Logan",657277,92.3,92.1,89.8,,85.9,,,,84.2,
"Woo, Bryan",693433,96.1,95.9,,87.1,89.6,83.1,,,84.5,
"Lambert, Peter",663567,93.9,93.4,91.6,85.6,87.0,77.9,,,82.8,80.2
"Pallante, Andre",669467,95.2,95.4,,87.7,,78.5,88.7,,,
"Pérez, Eury",691587,98.2,97.7,,88.4,90.0,80.8,,,83.7,
"Wheeler, Zack",554430,95.2,94.8,90.8,,,79.9,87.4,,81.3,
"Buehler, Walker",621111,94.1,94.2,90.4,87.1,89.3,78.3,,,82.7,
"Lorenzen, Michael",547179,94.0,93.4,90.2,86.3,84.6,82.7,,,82.6,
"Springs, Jeffrey",605488,91.3,,87.7,84.2,79.5,,,,77.4,
"Martinez, Nick",607259,92.7,92.4,89.2,85.2,78.2,80.0,,,,
"Gray, Sonny",543243,91.6,92.0,88.3,,86.2,79.6,,,84.8,
"Rocker, Kumar",677958,94.5,94.3,90.2,83.1,88.7,,88.0,,,
"Weathers, Ryan",677960,95.8,94.1,,86.9,85.7,,,,81.2,
"Castillo, Luis",622491,95.3,95.4,92.3,85.6,87.4,,,,,
"Sugano, Tomoyuki",608372,92.5,92.5,89.0,85.4,,79.9,86.9,,83.7,
"Fedde, Erick",607200,94.4,94.0,91.2,,88.8,,,,82.1,
"Young, Brandon",687064,94.4,93.8,,84.4,,75.1,84.4,,,
"Elder, Bryce",693821,92.4,91.0,88.5,83.1,85.7,,,,,
"May, Dustin",669160,96.9,96.6,93.3,,90.2,83.5,,,86.0,
"Manaea, Sean",640455,91.3,90.4,84.5,,84.0,,,,75.8,
"Peterson, David",656849,92.5,92.1,,86.3,85.7,80.5,,,,
"Ureña, Walbert",700712,97.9,98.0,,,90.9,,,,87.0,
"Leahy, Kyle",681517,94.2,94.2,,89.3,88.6,83.0,,,84.8,
"Rea, Colin",607067,93.8,92.5,87.2,86.2,87.7,80.1,,,82.9,
"Ginn, J.T.",669372,93.5,93.4,90.3,85.9,87.8,84.2,,,,
"Hancock, Emerson",676106,95.4,94.8,85.8,,87.1,76.1,,,77.2,
"Holmes, Grant",656550,94.2,93.0,92.1,85.3,89.3,82.8,,,,
"Montero, Keider",672456,94.3,94.7,,86.0,87.0,80.4,,,,
"Ryan, Joe",657746,93.5,93.1,,86.2,,79.0,87.9,,80.5,
"Martin, Davis",663436,93.9,92.8,89.6,87.1,90.1,81.7,,,,
"Mahle, Tyler",641816,92.8,91.9,87.8,84.9,,,86.2,,,
"Skubal, Tarik",669373,96.8,96.7,,89.7,87.6,80.4,,,,
"Suarez, Ranger",624133,91.5,90.3,88.0,78.8,81.1,75.6,,,,
"Tolle, Payton",801139,96.1,95.0,88.6,,88.6,83.0,,,,
"Pérez, Martín",527048,89.9,89.3,85.1,,81.8,76.8,,,,
"Lowder, Rhett",695076,93.6,93.0,,85.1,86.5,80.7,,,83.2,
"Vásquez, Randy",681190,95.1,95.1,91.0,86.1,88.6,84.0,,,84.3,
"Sasaki, Roki",808963,97.8,,,86.6,,,90.2,,,
"Wrobleski, Justin",680736,94.6,93.7,90.7,86.5,85.6,75.1,83.3,,84.8,
"Eovaldi, Nathan",543135,94.5,93.5,90.3,86.4,,76.4,88.5,,,
"Freeland, Kyle",607536,91.4,91.3,87.7,,86.3,82.5,,,82.7,
"Lopez, Jacob",682052,90.4,89.7,86.2,76.2,82.6,,,,,
"Harrison, Kyle",690986,94.7,94.3,,,85.8,,,,,81.9
"Littell, Zack",641793,91.7,91.4,,88.2,,,84.1,,79.3,
"Cecconi, Slade",677944,93.5,93.5,88.5,83.4,83.1,75.9,84.4,,83.1,
"Mlodzinski, Carmen",669387,95.1,94.4,92.4,90.3,,83.9,85.8,,83.5,
"Matthews, Zebby",805673,95.2,95.2,90.8,87.2,86.8,79.9,,,,
"Seymour, Ian",693855,91.4,90.0,87.1,83.2,83.4,72.7,,,81.6,
"Keller, Mitch",656605,93.3,92.3,89.7,87.2,88.7,77.8,,,82.0,
"Ober, Bailey",641927,88.0,88.5,,82.4,82.7,72.8,,,76.0,
"Mize, Casey",663554,93.4,93.6,,87.5,,,87.8,,,81.3
"Feltner, Ryan",663372,94.7,94.2,,89.1,85.1,79.3,,,81.9,
"Painter, Andrew",691725,96.5,95.1,,88.0,90.5,81.2,87.4,,82.7,
"Phillips, Tyler",663969,96.1,95.5,,87.2,,83.5,87.0,,84.2,
