"last_name, first_name",pitcher,n_ff,n_si,n_fc,n_sl,n_ch,n_cu,n_fs,n_kn,n_st,n_sv
"Alcantara, Sandy",645261,18.0,26.4,14.8,6.6,20.8,4.4,,,8.9,
"Sánchez, Cristopher",650911,,43.6,,18.8,37.6,,,,,
"Luzardo, Jesús",666200,26.2,17.3,,,18.3,,,,38.2,
"Gausman, Kevin",592332,51.4,,,8.8,1.0,,38.4,,0.4,
"Bradley, Taj",671737,46.7,,24.4,,,8.9,20.0,,,
"Gore, MacKenzie",669022,47.0,5.4,6.5,9.9,13.1,18.1,,,,
"Schlittler, Cam",693645,44.2,19.8,25.4,1.0,,9.6,,,,
"Rodriguez, Eduardo",593958,39.6,8.5,13.1,,26.9,12.0,,,,
"Nola, Aaron",605400,24.0,18.3,7.7,0.8,16.4,32.9,,,,
"McLean, Nolan",690997,20.0,33.9,10.4,3.9,6.3,14.4,,,11.1,
"Baz, Shane",669358,34.4,8.9,14.9,,9.0,32.8,,,,
"Gilbert, Logan",669302,40.1,0.4,5.5,25.0,7.4,0.1,14.5,,7.1,
"Cease, Dylan",656302,36.8,7.9,,30.3,11.5,9.8,,,3.7,
"Wacha, Michael",608379,27.4,13.9,14.9,8.6,25.1,10.1,,,,
"Lugo, Seth",607625,16.3,19.4,15.9,9.3,9.2,17.5,,,11.1,1.3
"Cavalli, Cade",676917,32.5,12.5,6.2,,7.6,26.7,,,14.4,
"Messick, Parker",800048,41.3,15.2,5.2,6.2,23.2,8.9,,,,
"King, Michael",650633,19.9,28.1,,5.4,27.1,,,,19.5,
"Soriano, José",667755,21.7,29.4,,5.0,,25.5,18.4,,,
"Detmers, Reid",672282,45.5,1.1,,32.9,9.5,11.0,,,,
"Williams, Gavin",668909,26.9,16.1,6.2,,,22.5,,,28.3,
"Bibee, Tanner",676440,23.4,20.9,24.3,,15.2,11.1,,,5.1,
"Peralta, Freddy",642547,52.8,,,4.4,23.0,14.1,,,5.7,
"Ray, Robbie",592662,32.3,13.6,,23.1,19.2,11.9,,,,
"Griffin, Foster",656492,16.3,10.2,32.8,,11.4,9.3,5.9,,14.1,
"Abbott, Andrew",671096,44.9,,2.9,,19.4,13.3,,,19.6,
"Roupp, Landen",694738,5.7,34.0,13.9,,20.6,25.7,,,,
"Skenes, Paul",694973,40.8,11.9,,7.6,12.8,0.4,10.8,,15.7,
"Cameron, Noah",702070,24.3,4.5,21.1,12.7,20.9,16.5,,,,
"Imanaga, Shota",684007,40.7,6.0,,2.1,,2.8,33.7,,14.7,
"Burke, Sean",680732,36.9,14.4,9.7,17.0,1.9,20.1,,,,
"Valdez, Framber",664285,3.7,44.5,0.0,4.4,18.3,29.1,,,,
"Kay, Anthony",641743,22.4,17.4,17.0,6.3,14.2,,,,22.8,
"Bradish, Kyle",680694,16.9,36.5,,24.3,0.5,21.8,,,,
"Kirby, George",669923,28.5,20.9,4.3,,5.4,10.3,2.4,,28.1,
"Yamamoto, Yoshinobu",808967,27.0,12.5,14.8,5.9,,13.0,26.7,,,
"Singer, Brady",663903,2.1,50.1,6.8,27.1,,,,,13.8,
"Cantillo, Joey",676282,33.3,,7.6,4.4,24.5,30.1,,,,
"McGreevy, Michael",700241,24.4,16.7,11.5,4.5,19.7,12.6,,,10.6,
"Sale, Chris",519242,40.9,8.8,,39.8,10.5,,,,,
"deGrom, Jacob",594798,41.9,2.9,,35.7,13.3,6.2,,,,
"Rasmussen, Drew",656876,28.3,23.4,28.9,,13.1,3.5,,,2.7,
"Misiorowski, Jacob",694819,63.1,,14.3,11.4,1.1,10.1,,,,
"Liberatore, Matthew",669461,30.1,8.0,4.0,26.6,12.9,17.6,0.4,,0.5,
"Kelly, Merrill",518876,27.7,9.8,13.0,10.1,27.8,11.6,,,,
"Burns, Chase",695505,55.6,0.4,,38.7,5.2,0.0,,,,
"Rogers, Trevor",669432,46.3,10.1,8.7,,20.8,,,,14.1,
"Chandler, Bubba",696149,48.3,8.2,,20.3,14.6,4.3,,,4.3,
"Warren, Will",701542,36.2,25.7,,0.3,13.1,5.3,,,19.4,
"Ashcraft, Braxton",677952,30.6,16.5,,22.2,,26.4,4.2,,,
"Webb, Logan",657277,13.6,29.3,13.1,,24.1,,,,19.9,
"Woo, Bryan",693433,46.7,19.4,,14.7,6.3,1.8,,,11.0,
"Lambert, Peter",663567,31.1,9.6,10.5,12.1,23.7,0.4,,,7.8,4.9
"Pallante, Andre",669467,33.0,17.4,,29.4,,17.4,2.8,,,
"Pérez, Eury",691587,37.9,17.9,,16.6,8.6,5.9,,,13.2,
"Wheeler, Zack",554430,35.6,15.9,10.3,,,8.5,15.4,,14.4,
"Buehler, Walker",621111,19.6,19.7,25.1,10.2,9.9,8.5,,,7.1,
"Lorenzen, Michael",547179,19.1,19.9,14.5,7.6,20.6,10.8,,,7.6,
"Springs, Jeffrey",605488,43.5,,3.1,22.9,24.8,,,,5.7,
"Martinez, Nick",607259,12.6,31.2,21.6,3.6,26.5,4.5,,,,
"Gray, Sonny",543243,17.2,21.6,19.0,,5.5,16.6,,,20.2,
"Rocker, Kumar",677958,13.5,29.6,14.2,38.2,3.6,,0.9,,,
"Weathers, Ryan",677960,22.2,20.8,,11.7,25.3,,,,20.1,
"Castillo, Luis",622491,41.7,18.7,0.0,24.8,14.7,,,,,
"Sugano, Tomoyuki",608372,20.6,18.8,11.2,9.2,,7.7,21.6,,10.8,
"Fedde, Erick",607200,1.2,30.2,19.2,,11.7,,,,37.7,
"Young, Brandon",687064,40.6,13.3,,15.4,,11.8,18.9,,,
"Elder, Bryce",693821,22.4,27.9,15.0,22.4,12.3,,,,,
"May, Dustin",669160,25.0,19.2,23.5,,6.5,7.3,,,18.5,
"Manaea, Sean",640455,37.9,19.5,7.6,,4.4,,,,30.6,
"Peterson, David",656849,23.6,30.3,,22.2,13.4,10.4,,,,
"Ureña, Walbert",700712,20.2,31.9,,,33.6,,,,14.3,
"Leahy, Kyle",681517,26.1,13.0,,16.4,14.5,16.5,,,13.6,
"Rea, Colin",607067,42.3,8.2,5.7,10.9,18.4,5.6,,,8.9,
"Ginn, J.T.",669372,11.3,36.8,16.2,12.8,20.0,2.9,,,,
"Hancock, Emerson",676106,39.5,23.4,11.6,,5.0,4.5,,,16.1,
"Holmes, Grant",656550,29.0,11.5,8.5,36.7,6.7,7.7,,,,
"Montero, Keider",672456,30.7,22.5,,19.1,13.8,13.9,,,,
"Ryan, Joe",657746,45.3,9.5,,6.4,,11.6,12.4,,14.7,
"Martin, Davis",663436,26.8,19.1,12.8,12.9,14.1,14.3,,,,
"Mahle, Tyler",641816,48.5,0.8,16.0,6.2,,,28.5,,,
"Skubal, Tarik",669373,36.8,18.3,,13.7,26.3,4.9,,,,
"Suarez, Ranger",624133,22.8,23.5,19.3,4.6,13.2,16.6,,,,
"Tolle, Payton",801139,44.9,23.2,19.5,,3.0,9.5,,,,
"Pérez, Martín",527048,4.6,35.1,21.8,,31.0,7.5,,,,
"Lowder, Rhett",695076,21.2,28.8,,26.6,20.6,2.6,,,0.1,
"Vásquez, Randy",681190,31.2,16.4,23.6,6.9,8.5,8.1,,,5.4,
"Sasaki, Roki",808963,41.9,,,21.5,,,28.8,,,
"Wrobleski, Justin",680736,49.3,7.8,1.2,28.3,5.3,4.7,0.0,,3.4,
"Eovaldi, Nathan",543135,13.7,7.1,19.3,0.8,,22.4,36.7,,,
"Freeland, Kyle",607536,23.6,9.1,21.7,,13.4,21.5,,,10.6,
"Lopez, Jacob",682052,34.1,3.2,20.3,34.2,8.3,,,,,
"Harrison, Kyle",690986,56.9,1.9,,,9.2,,,,,32.0
