period,date,team,proj,actual,perfect,starts
24,2026-09-14,BAMBI,32.3,32.7,32.7,1
24,2026-09-15,BAMBI,56.5,44.0,56.0,1
24,2026-09-14,BB,43.1,47.0,47.0,0
24,2026-09-15,BB,63.6,71.0,84.0,1
24,2026-09-14,CH,57.3,64.7,64.7,2
24,2026-09-15,CH,53.0,38.7,48.7,1
24,2026-09-14,CJF,49.1,48.3,49.3,2
24,2026-09-15,CJF,52.4,36.0,37.0,1
24,2026-09-14,CS,29.5,47.0,47.0,0
24,2026-09-15,CS,73.7,41.0,68.0,3
24,2026-09-14,Dan,41.9,31.0,38.0,1
24,2026-09-15,Dan,51.3,25.0,43.0,1
24,2026-09-14,Dpf,37.7,17.0,17.0,0
24,2026-09-15,Dpf,42.6,29.0,43.0,0
24,2026-09-14,GK,44.7,33.0,33.0,1
24,2026-09-15,GK,50.6,57.0,71.0,1
24,2026-09-14,GLIZZY,45.9,61.3,63.3,1
24,2026-09-15,GLIZZY,45.5,37.0,50.0,0
24,2026-09-14,LTTA,51.8,53.0,57.0,1
24,2026-09-15,LTTA,52.3,50.7,53.7,1
24,2026-09-14,MMM,51.1,63.0,71.0,1
24,2026-09-15,MMM,81.8,70.0,77.0,3
24,2026-09-14,THALER,55.4,47.7,47.7,2
24,2026-09-15,THALER,52.8,62.0,64.0,1
