date,who,n,predicted,actual,bias,mae,r,zero_pct
2026-09-14,hitters,195,3.66,3.82,0.16,2.73,0.349,23.6
2026-09-14,starters,20,9.06,8.52,-0.54,4.35,0.546,5.0
2026-09-15,hitters,309,3.62,3.17,-0.45,2.87,0.266,34.3
2026-09-15,starters,30,8.84,8.31,-0.53,4.0,0.386,0.0
2026-09-16,hitters,278,3.72,1.93,-1.78,2.98,0.003,50.7
2026-09-16,starters,23,8.88,6.35,-2.54,4.76,0.31,4.3
2026-09-17,hitters,165,3.74,2.45,-1.28,3.13,0.233,46.7
2026-09-17,starters,16,8.15,3.54,-4.61,5.26,0.521,0.0
2026-09-18,hitters,260,3.72,1.27,-2.45,3.09,0.144,65.0
2026-09-18,starters,19,8.95,2.98,-5.97,5.97,0.249,0.0
2026-09-19,hitters,271,3.66,1.7,-1.95,3.11,0.097,61.3
2026-09-19,starters,19,9.01,7.23,-1.79,5.17,0.015,0.0
2026-09-20,hitters,301,3.65,2.98,-0.67,2.74,0.246,34.9
2026-09-20,starters,29,8.76,9.48,0.72,4.95,0.103,0.0
2026-09-21,hitters,57,3.33,2.96,-0.36,3.2,0.172,45.6
2026-09-21,starters,6,8.18,6.5,-1.68,2.51,-0.245,0.0
2026-09-22,hitters,333,3.45,3.13,-0.31,2.79,0.251,34.8
2026-09-22,starters,28,9.52,9.71,0.19,5.65,0.254,3.6
2026-09-23,hitters,477,3.38,2.86,-0.53,2.33,0.243,28.1
2026-09-23,starters,43,8.56,7.36,-1.2,3.24,0.25,0.0
2026-09-24,hitters,241,3.61,3.36,-0.25,2.85,0.348,29.9
2026-09-24,starters,23,9.1,7.78,-1.31,4.92,0.376,0.0
2026-09-25,hitters,362,3.44,3.47,0.03,2.86,0.26,30.4
2026-09-25,starters,31,9.6,9.04,-0.56,5.44,0.302,6.5
