mlbam_id,name,age_2026,elig,seasons_evaluated,seasons_list,beats,big_beats,busts,beat_rate,current_streak,longest_streak,total_pts_over_exp,avg_pts_over_exp,last_season,last_pts,last_adp,last_final_rank,detail
650490,Yandy Díaz,34.9,1B,6,"2021,2022,2023,2024,2025,2026",5,2,0,0.83,2,3,1026.0,171.0,2026,680.0,126.2,30,"2021: ADP#278->fin#132 (+496pts, +218 vs exp) *BEAT*; 2022: ADP#233->fin#78 (+555pts, +234 vs exp) *BEAT*; 2023: ADP#138->fin#41 (+689pts, +264 vs exp) *BEAT*; 2024: ADP#70->fin#96 (+556pts, -32 vs exp); 2025: ADP#118->fin#42 (+690pts, +195 vs exp) *BEAT*; 2026: ADP#81->fin#30 (+680pts, +147 vs exp) *BEAT*"
650333,Luis Arraez,29.2,1B/2B,6,"2021,2022,2023,2024,2025,2026",4,2,0,0.67,2,2,803.0,134.0,2026,618.0,232.6,51,"2021: ADP#209->fin#161 (+436pts, +71 vs exp); 2022: ADP#188->fin#59 (+603pts, +255 vs exp) *BEAT*; 2023: ADP#120->fin#58 (+656pts, +113 vs exp) *BEAT*; 2024: ADP#87->fin#55 (+629pts, +64 vs exp); 2025: ADP#97->fin#71 (+619pts, +91 vs exp) *BEAT*; 2026: ADP#143->fin#51 (+618pts, +210 vs exp) *BEAT*"
680757,Steven Kwan,28.8,OF,5,"2022,2023,2024,2025,2026",4,1,0,0.8,0,4,842.0,168.0,2026,560.0,147.2,95,"2022: ADP#263->fin#34 (+672pts, +379 vs exp) *BEAT*; 2023: ADP#69->fin#32 (+706pts, +149 vs exp) *BEAT*; 2024: ADP#115->fin#80 (+582pts, +152 vs exp) *BEAT*; 2025: ADP#81->fin#46 (+680pts, +136 vs exp) *BEAT*; 2026: ADP#90->fin#95 (+560pts, +27 vs exp)"
607043,Brandon Nimmo,33.3,OF,6,"2021,2022,2023,2024,2025,2026",4,2,0,0.67,0,4,781.0,130.0,2026,582.0,129.6,77,"2021: ADP#155->fin#182 (+393pts, -72 vs exp); 2022: ADP#185->fin#27 (+680pts, +274 vs exp) *BEAT*; 2023: ADP#90->fin#39 (+691pts, +140 vs exp) *BEAT*; 2024: ADP#109->fin#36 (+674pts, +244 vs exp) *BEAT*; 2025: ADP#89->fin#44 (+688pts, +147 vs exp) *BEAT*; 2026: ADP#83->fin#77 (+582pts, +49 vs exp)"
676475,Alec Burleson,27.6,1B/OF,4,"2023,2024,2025,2026",3,2,0,0.75,3,3,724.0,181.0,2026,699.0,172.6,23,"2023: ADP#364->fin#259 (+315pts, +109 vs exp); 2024: ADP#342->fin#71 (+603pts, +375 vs exp) *BEAT*; 2025: ADP#128->fin#100 (+551pts, +75 vs exp) *BEAT*; 2026: ADP#100->fin#23 (+699pts, +166 vs exp) *BEAT*"
605137,Josh Bell,33.9,1B,6,"2021,2022,2023,2024,2025,2026",3,1,0,0.5,3,3,688.0,115.0,2026,589.0,376.0,71,"2021: ADP#85->fin#81 (+592pts, +86 vs exp); 2022: ADP#79->fin#58 (+606pts, +83 vs exp); 2023: ADP#103->fin#108 (+551pts, +0 vs exp); 2024: ADP#170->fin#109 (+535pts, +105 vs exp) *BEAT*; 2025: ADP#235->fin#147 (+482pts, +152 vs exp) *BEAT*; 2026: ADP#226->fin#71 (+589pts, +262 vs exp) *BEAT*"
678882,Ceddanne Rafaela,25.8,2B/OF,3,"2024,2025,2026",3,0,0,1.0,3,3,398.0,133.0,2026,619.0,153.0,50,"2024: ADP#205->fin#91 (+568pts, +194 vs exp) *BEAT*; 2025: ADP#120->fin#74 (+613pts, +118 vs exp) *BEAT*; 2026: ADP#92->fin#50 (+619pts, +86 vs exp) *BEAT*"
668227,Randy Arozarena,31.3,OF,6,"2021,2022,2023,2024,2025,2026",3,1,0,0.5,2,2,697.0,116.0,2026,763.0,83.0,4,"2021: ADP#38->fin#34 (+690pts, +67 vs exp); 2022: ADP#47->fin#18 (+732pts, +148 vs exp) *BEAT*; 2023: ADP#27->fin#24 (+732pts, +21 vs exp); 2024: ADP#32->fin#54 (+633pts, +12 vs exp); 2025: ADP#76->fin#16 (+767pts, +223 vs exp) *BEAT*; 2026: ADP#55->fin#4 (+763pts, +226 vs exp) *BEAT*"
668804,Bryan Reynolds,31.4,OF,6,"2021,2022,2023,2024,2025,2026",3,2,0,0.5,1,1,929.0,155.0,2026,694.0,178.6,24,"2021: ADP#185->fin#18 (+748pts, +383 vs exp) *BEAT*; 2022: ADP#56->fin#50 (+621pts, +98 vs exp); 2023: ADP#53->fin#51 (+680pts, +123 vs exp); 2024: ADP#49->fin#20 (+727pts, +137 vs exp) *BEAT*; 2025: ADP#55->fin#79 (+600pts, +28 vs exp); 2026: ADP#106->fin#24 (+694pts, +161 vs exp) *BEAT*"
669016,Brandon Marsh,28.5,OF,6,"2021,2022,2023,2024,2025,2026",3,0,0,0.5,1,2,730.0,122.0,2026,530.0,351.5,109,"2021: ADP#324->fin#300 (+231pts, +56 vs exp); 2022: ADP#201->fin#153 (+428pts, +106 vs exp); 2023: ADP#184->fin#131 (+505pts, +170 vs exp) *BEAT*; 2024: ADP#203->fin#118 (+510pts, +136 vs exp) *BEAT*; 2025: ADP#187->fin#173 (+443pts, +59 vs exp); 2026: ADP#214->fin#109 (+530pts, +203 vs exp) *BEAT*"
