mlbam_id,name,season,birth_date,primary_pos,bats,team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,HBP,SB,CS,K,SF,1B,E,CSA,AOF,g_C,g_1B,g_2B,g_3B,g_SS,g_OF,g_DH,player_age,pa_savant,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,isolated_power,babip,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,xbadiff,xslgdiff,wobadiff,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,oz_swing_percent,oz_contact_percent,iz_contact_percent,whiff_percent,swing_percent,pull_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,avg_swing_length,avg_swing_speed,blasts_swing,squared_up_swing,fast_swing_rate,attack_angle,ideal_angle_rate,swing_take_run_value,sprint_speed,hp_to_1b,b_hit_fly,b_hit_ground,b_hit_line_drive,batted_ball,meatball_swing_percent,f_strike_percent,nkey,team_abbr,adp_name,adp_team,adp_pos,adp,adp_hitter_rank,adp_nfbc,adp_fantrax,pts,age,pts_g,pts_pa,final_hitter_rank,elig,elig_next,undrafted,adp_hitter_rank_f,exp_pts,exp_pts_g,pts_over_exp,ppg_over_exp,rank_gain,beat,big_beat,produced_like_rank,bust,prev_best_pts,jump
701398,Sal Stewart,2026,2003-12-07,1B,R,Cincinnati Reds,153,659,585,158,25,0,32,84,109,61,4,15,6,144,9,101,4,0,0,0,108,8,45,0,0,11,22.0,657.0,21.8,9.3,0.269,0.472,0.338,0.203,0.301,0.257,0.472,0.348,0.346,0.327,0.214,0.412,0.41,0.012,0.0,0.002,90.2,12.5,35.2,12.6,40.1,100.651810913,94.654911073,68.7,31.3,61.8,78.2,27.3,49.0,31.6,45.4,28.5,22.0,4.0,7.6,72.1,11.6,24.3,26.6,11.6,55.5,16.0,26.6,4.68,40.0,54.0,63.0,449.0,76.7,61.1,sal stewart,CIN,Sal Stewart,CIN,"1B,2B,3B,DH",190.0,113.0,190.0,190.0,736.0,22.6,4.810457516339869,1.1168437025796663,6,1B/3B,1B/3B,False,113.0,526.5625,3.9793103448275864,209.4375,0.8311471715122827,107.0,True,True,1,False,65.0,671.0
805808,Kevin McGonigle,2026,2004-08-18,SS,L,Detroit Tigers,147,663,566,155,26,4,17,94,65,91,3,12,4,90,3,108,18,0,0,0,0,0,86,95,0,4,21.0,663.0,13.6,13.7,0.274,0.424,0.376,0.15,0.299,0.266,0.443,0.355,0.357,0.368,0.177,0.355,0.358,0.008,-0.019,-0.002,88.0,20.0,36.5,7.1,37.2,98.38464477,93.379143577,67.2,19.5,66.8,89.0,16.2,42.9,37.8,32.8,35.5,23.4,8.4,7.0,71.3,10.3,30.0,16.2,15.4,50.5,22.0,28.2,4.35,34.0,44.0,76.0,479.0,77.5,55.0,kevin mcgonigle,DET,Kevin McGonigle,DET,"3B,SS",248.4,152.0,264.0,245.0,666.0,21.9,4.530612244897959,1.004524886877828,30,3B/SS,3B/SS,False,152.0,402.9117647058824,3.712959968528075,263.0882352941176,0.8176522763698841,122.0,True,True,1,False,0.0,666.0
701807,Carson Benge,2026,2003-01-20,OF,L,New York Mets,146,609,555,150,19,3,18,78,58,46,7,22,5,134,1,110,6,0,10,0,0,0,0,0,154,1,23.0,609.0,22.0,7.6,0.27,0.413,0.333,0.143,0.327,0.276,0.434,0.329,0.338,0.338,0.158,0.387,0.4,-0.006,-0.021,-0.009,88.7,11.9,37.9,7.4,38.6,99.566188804,93.968418082,63.4,28.0,61.7,86.1,21.4,45.6,33.9,43.6,27.3,26.1,3.1,6.6,71.1,10.6,25.3,17.6,6.5,41.9,9.0,28.6,4.27,31.0,48.0,71.0,422.0,77.5,55.1,carson benge,NYM,Carson Benge,NYM,"LF,CF,RF",298.6,180.0,330.0,332.0,648.0,23.4,4.438356164383562,1.064039408866995,36,OF,OF,False,180.0,365.0,3.165163891412463,283.0,1.2731922729710985,144.0,True,True,1,False,0.0,648.0
681198,TJ Rumfield,2026,2000-05-17,1B,L,Colorado Rockies,146,597,516,155,29,3,15,62,69,69,10,0,0,81,2,108,6,0,0,0,130,0,0,0,0,11,26.0,597.0,13.6,11.6,0.3,0.455,0.392,0.155,0.332,0.263,0.389,0.375,0.336,0.361,0.126,0.385,0.331,0.037,0.066,0.039,84.1,15.7,37.3,4.8,27.2,96.053124839,92.033197028,70.8,30.2,61.2,91.6,18.9,48.3,41.2,39.6,28.6,25.9,5.9,6.5,68.4,6.2,24.8,7.7,9.0,44.0,29.0,24.9,4.71,35.0,36.0,84.0,437.0,81.5,62.8,tj rumfield,COL,,,,,,,,594.0,26.1,4.068493150684931,0.9949748743718593,58,1B,1B,True,339.0,156.7857142857143,2.4377625188540675,437.21428571428567,1.6307306318308639,281.0,True,True,40,False,0.0,594.0
695600,Carter Jensen,2026,2003-07-03,C,L,Kansas City Royals,141,567,495,115,33,2,24,73,74,63,3,2,1,159,6,56,3,18,0,98,0,0,0,0,0,42,22.0,567.0,28.0,11.1,0.232,0.453,0.319,0.221,0.286,0.215,0.41,0.334,0.314,0.305,0.194,0.42,0.386,0.017,0.043,0.02,91.3,20.3,33.3,12.0,44.7,101.918476491,95.475937566,66.7,23.9,45.2,80.9,29.3,44.2,41.5,33.3,37.7,19.9,9.1,7.1,73.8,11.4,23.5,36.8,6.8,48.7,8.0,27.8,4.37,33.0,38.0,43.0,342.0,74.7,55.2,carter jensen,KC,Carter Jensen,KC,"C,DH",230.0,139.0,182.0,320.0,591.0,23.0,4.191489361702128,1.0423280423280423,63,C,C,False,139.0,402.9117647058824,3.712959968528075,188.08823529411762,0.4785293931740524,76.0,True,True,41,False,89.0,502.0
641343,Jake Bauers,2026,1995-10-06,1B,L,Milwaukee Brewers,136,545,449,121,20,2,26,88,83,90,4,11,5,142,2,73,9,0,0,0,111,0,0,0,48,4,30.0,545.0,26.1,16.5,0.269,0.497,0.394,0.228,0.336,0.26,0.481,0.387,0.38,0.384,0.222,0.474,0.461,0.009,0.016,0.007,92.3,12.3,37.9,14.1,52.8,103.333393791,96.66176177,61.9,21.3,41.6,82.4,29.0,40.3,42.4,40.5,30.4,25.6,3.6,7.7,76.5,15.0,24.2,69.1,11.0,48.6,28.0,26.9,4.48,32.0,32.0,57.0,309.0,75.9,60.0,jake bauers,MIL,Jake Bauers,MIL,"1B,LF,RF",810.5,316.0,1189.0,,633.0,30.7,4.654411764705882,1.161467889908257,41,1B/OF,1B/OF,False,316.0,156.7857142857143,2.4377625188540675,476.21428571428567,2.2166492458518148,275.0,True,True,1,False,335.0,298.0
691023,Jordan Walker,2026,2002-05-22,OF,R,St. Louis Cardinals,149,631,575,160,33,0,28,93,100,48,4,20,5,161,4,99,7,0,8,0,0,0,0,0,140,7,24.0,631.0,25.5,7.6,0.278,0.482,0.336,0.204,0.338,0.268,0.468,0.354,0.344,0.327,0.201,0.448,0.433,0.01,0.014,0.01,92.5,11.9,33.3,13.2,49.0,104.689427943,96.749934115,71.0,35.7,49.4,79.2,31.9,51.9,39.7,42.1,24.4,25.4,8.1,8.3,79.3,15.7,20.0,85.3,6.1,48.6,19.0,29.1,4.35,33.0,51.0,76.0,418.0,76.9,67.8,jordan walker,STL,Jordan Walker,STL,"LF,RF,DH",379.3,229.0,345.0,370.0,751.0,24.1,5.040268456375839,1.190174326465927,4,OF,OF,False,229.0,312.625,3.1099288714186306,438.375,1.930339584957208,225.0,True,True,1,False,480.0,271.0
695734,Daylen Lile,2026,2002-11-30,OF,L,Washington Nationals,151,619,569,143,27,8,21,77,85,39,6,15,7,121,5,87,2,0,4,0,0,0,0,0,137,23,23.0,619.0,19.5,6.3,0.251,0.438,0.304,0.187,0.282,0.258,0.446,0.319,0.327,0.308,0.188,0.369,0.379,-0.007,-0.008,-0.008,88.6,18.6,38.4,9.5,38.3,99.064847788,93.68830643,76.0,38.1,60.4,85.5,23.8,55.5,41.3,33.1,37.5,23.2,6.2,7.5,71.4,10.0,24.9,12.6,12.3,54.8,-4.0,29.3,4.21,41.0,32.0,70.0,453.0,84.2,64.1,daylen lile,WSH,Daylen Lile,WSH,"LF,RF,DH",198.4,117.0,204.0,196.0,650.0,23.6,4.304635761589404,1.050080775444265,34,OF,OF,False,117.0,526.5625,3.978021978021978,123.4375,0.3266137835674261,83.0,True,False,1,False,400.0,250.0
678246,Miguel Vargas,2026,1999-11-17,3B,R,Chicago White Sox,150,662,558,139,30,1,31,98,84,90,7,19,2,119,6,77,14,0,0,0,32,0,131,0,0,6,26.0,662.0,18.0,13.6,0.249,0.473,0.357,0.224,0.261,0.266,0.503,0.36,0.379,0.368,0.237,0.385,0.415,-0.017,-0.03,-0.019,90.2,20.1,39.8,13.3,44.4,100.524059369,94.689317883,69.0,21.5,69.0,82.5,20.9,44.5,45.8,30.1,35.3,24.3,10.3,7.8,73.9,13.3,26.2,42.6,12.7,64.6,24.0,28.5,4.37,41.0,30.0,66.0,445.0,77.1,59.4,miguel vargas,CWS,Miguel Vargas,CWS,"1B,3B,DH",289.0,174.0,273.0,229.0,725.0,26.6,4.833333333333333,1.095166163141994,10,1B/3B,1B/3B,False,174.0,368.8888888888889,3.3488372093023258,356.1111111111111,1.4844961240310073,164.0,True,True,1,False,529.0,196.0
677800,Wilyer Abreu,2026,1999-06-24,OF,L,Boston Red Sox,148,644,564,143,36,4,24,80,74,67,3,8,4,130,7,79,9,0,12,0,0,0,0,0,145,3,27.0,644.0,20.2,10.4,0.254,0.459,0.332,0.205,0.285,0.256,0.479,0.342,0.351,0.333,0.223,0.388,0.402,-0.002,-0.02,-0.009,89.9,19.1,36.7,12.7,43.9,100.953484455,94.778376932,68.2,29.8,61.7,82.4,24.4,47.7,35.5,32.6,36.4,22.6,8.4,7.2,73.8,12.1,24.4,37.2,8.0,50.4,14.0,28.1,4.28,50.0,41.0,52.0,442.0,72.3,57.7,wilyer abreu,BOS,Wilyer Abreu,BOS,"LF,CF,RF",210.6,125.0,214.0,197.0,665.0,27.0,4.493243243243243,1.0326086956521738,31,OF,OF,False,125.0,433.5,3.712959968528075,231.5,0.7802832747151678,94.0,True,True,1,False,479.0,186.0
