player,pos,mlb,nkey,age,PA,pts,final_hitter_rank,proj_pts,proj_rank,proj_pts_600pa,proj_rank_600pa,skills_score,breakout_score,tag
Bobby Witt Jr.,SS,KC,bobby witt,26.0,607.0,715.0,20.0,750.0,2.0,723.0,2.0,3.8426885206282497,3.8826885206282498,unlucky (xwOBA >> wOBA); elite contact quality; plus speed
Fernando Tatis Jr.,RF,SD,fernando tatis,27.5,683.0,808.0,2.0,745.0,3.0,698.0,3.0,5.122898175708796,5.102898175708797,unlucky (xwOBA >> wOBA); elite bat speed; elite contact quality; skills trending up; plus speed
Julio Rodriguez,CF,SEA,julio rodriguez,25.5,631.0,625.0,48.0,700.0,6.0,656.0,15.0,2.7372816237012425,2.7772816237012425,unlucky (xwOBA >> wOBA); elite bat speed; plus speed
Shohei Ohtani,DH,LAD,shohei ohtani,32.0,596.0,689.0,27.0,697.0,8.0,672.0,9.0,1.492559468501379,1.3525594685013789,unlucky (xwOBA >> wOBA); elite contact quality
James Wood,LF,WSH,james wood,23.8,598.0,731.0,13.0,696.0,10.0,678.0,5.0,6.1118916801849315,6.171891680184931,unlucky (xwOBA >> wOBA); elite bat speed; elite contact quality; skills trending up; young
Brandon Lowe,2B,PIT,brandon lowe,32.0,635.0,669.0,35.0,584.0,57.0,566.0,202.0,-0.9834292590889303,-1.4234292590889304,elite contact quality
Sal Stewart,1B,CIN,sal stewart,22.6,673.0,742.0,9.0,558.0,71.0,608.0,74.0,1.62917668764238,0.3891766876423801,young
T.J. Rumfield,1B,COL,tj rumfield,26.1,613.0,605.0,59.0,542.0,82.0,531.0,318.0,-2.5463413302498106,-3.0063413302498105,plus approach
Carter Jensen,C,KC,carter jensen,23.0,580.0,605.0,59.0,481.0,127.0,603.0,86.0,1.4344807012938046,0.07448070129380446,young
Nick Kurtz,1B,ATH,nick kurtz,23.3,434.0,491.0,125.0,480.0,128.0,647.0,22.0,4.7477627585257505,2.5077627585257503,elite bat speed; elite contact quality; needs playing time; young
Ty France,1B,SD,ty france,32.0,474.0,516.0,116.0,414.0,169.0,521.0,343.0,-2.017169205393213,-3.077169205393213,
Corey Seager,SS,TEX,corey seager,32.2,411.0,388.0,195.0,388.0,186.0,557.0,230.0,-0.6741340405473465,-3.2741340405473465,unlucky (xwOBA >> wOBA); elite contact quality; needs playing time
Cole Carrigg,CF,COL,cole carrigg,24.1,348.0,390.0,191.0,358.0,206.0,617.0,49.0,0.2716294463612471,-0.028370553638752904,plus speed; needs playing time; young
Logan Gilbert,SP,SEA,logan gilbert,,,,,,,,,,,
Tyler Glasnow,SP,LAD,tyler glasnow,,,,,,,,,,,
Dylan Cease,SP,TOR,dylan cease,,,,,,,,,,,
Leo Bernal,C,STL,leo bernal,,,,,,,,,,,
Bryan Woo,SP,SEA,bryan woo,,,,,,,,,,,
Logan Henderson,SP,MIL,logan henderson,,,,,,,,,,,
Trevor Rogers,SP,BAL,trevor rogers,,,,,,,,,,,
Ian Seymour,RP,TB,ian seymour,,,,,,,,,,,
Payton Tolle,RP,BOS,payton tolle,,,,,,,,,,,
Rainiel Rodriguez,C,STL,rainiel rodriguez,,,,,,,,,,,
Seth Hernandez,SP,PIT,seth hernandez,,,,,,,,,,,
