mlbam_id,name,team,bats,elig,owner,games,week_pts,avg_mult,base_rate,pa_g,woba_30,pa_30,rank
664983,Jake McCarthy,Colorado Rockies,L,OF,MMM,7,42.0,1.293,1.039,4.47,0.34887096774193554,125.0,1
665487,Fernando Tatis Jr.,San Diego Padres,R,2B/OF,BB,7,39.5,1.191,1.059,4.48,0.42094827586206895,117.0,2
681198,TJ Rumfield,Colorado Rockies,L,1B,BB,7,39.3,1.363,0.958,4.3,0.42807017543859655,114.0,3
682829,Elly De La Cruz,Cincinnati Reds,S,SS,MMM,7,38.1,1.169,1.049,4.44,0.4637096774193548,124.0,4
701538,Jackson Merrill,San Diego Padres,L,OF,CH,7,37.8,1.214,1.039,4.28,0.3714545454545454,112.0,5
694249,Cole Carrigg,Colorado Rockies,S,OF,BB,7,35.8,1.258,0.983,4.13,0.3024074074074074,109.0,6
592518,Manny Machado,San Diego Padres,R,3B,CS,7,35.8,1.216,0.958,4.4,0.36945945945945946,111.0,7
696100,Hunter Goodman,Colorado Rockies,R,C,CJF,7,35.7,1.216,1.008,4.16,0.3065333333333333,75.0,8
605141,Mookie Betts,Los Angeles Dodgers,R,SS,Dpf,7,35.6,1.165,0.964,4.54,0.3719130434782608,116.0,9
687263,Zach Neto,Los Angeles Angels,R,SS,LTTA,7,33.7,1.099,0.979,4.48,0.4188392857142857,112.0,10
665742,Juan Soto,New York Mets,L,OF,THALER,7,33.4,1.037,1.04,4.42,0.3251428571428571,72.0,11
664034,Ty France,San Diego Padres,R,1B,BB,7,33.2,1.176,0.979,4.12,0.3878787878787879,99.0,12
518692,Freddie Freeman,Los Angeles Dodgers,L,1B,MMM,7,33.2,1.086,0.998,4.37,0.32916666666666666,97.0,13
606192,Teoscar Hernández,Los Angeles Dodgers,R,OF,CJF,7,33.2,1.186,0.978,4.09,0.4093939393939394,100.0,14
691718,Pete Crow-Armstrong,Chicago Cubs,L,OF,GLIZZY,6,33.1,1.075,1.104,4.64,0.43911999999999995,127.0,15
681393,Connor Norby,Colorado Rockies,R,1B/2B,FA,7,33.0,1.315,0.943,3.81,0.3830927835051546,97.0,16
596019,Francisco Lindor,New York Mets,S,SS,Dpf,7,32.5,1.049,0.965,4.59,0.3024793388429752,121.0,17
701398,Sal Stewart,Cincinnati Reds,R,1B/3B,BB,7,32.5,1.052,1.021,4.32,0.33716666666666667,121.0,18
678246,Miguel Vargas,Chicago White Sox,R,1B/3B,GLIZZY,7,32.3,1.008,1.028,4.45,0.36138211382113816,125.0,19
668227,Randy Arozarena,Seattle Mariners,R,OF,GLIZZY,6,32.1,1.16,1.026,4.5,0.4010655737704918,123.0,20
701807,Carson Benge,New York Mets,L,OF,GK,7,31.7,1.041,1.013,4.29,0.3274107142857143,113.0,21
691720,Kyle Karros,Colorado Rockies,R,3B,FA,7,31.6,1.226,0.963,3.82,0.284054054054054,37.0,22
666160,Mickey Moniak,Colorado Rockies,L,OF,Dpf,7,31.5,1.215,0.964,3.84,0.22157303370786516,89.0,23
669242,Tommy Edman,Los Angeles Dodgers,S,2B/OF,FA,7,31.5,1.1,0.964,4.25,0.31321100917431194,109.0,24
545361,Mike Trout,Los Angeles Angels,R,OF,THALER,7,31.4,1.017,1.009,4.38,0.3263063063063063,113.0,25
807712,Luke Keaschall,Minnesota Twins,R,2B/OF,Dpf,7,31.4,1.066,0.963,4.37,0.3728205128205128,117.0,26
682985,Riley Greene,Detroit Tigers,L,OF,CH,7,31.3,1.033,1.005,4.31,0.4842105263157895,57.0,27
668930,Brice Turang,Milwaukee Brewers,L,2B,CH,6,31.2,1.146,1.01,4.5,0.3676576576576576,112.0,28
805808,Kevin McGonigle,Detroit Tigers,L,3B/SS,GLIZZY,7,31.2,1.01,0.982,4.5,0.3349572649572649,117.0,29
672515,Gabriel Moreno,Arizona Diamondbacks,R,C,THALER,6,31.0,1.178,1.009,4.34,0.37745454545454543,110.0,30
663656,Kyle Tucker,Los Angeles Dodgers,L,OF,MMM,7,30.5,1.112,0.967,4.05,0.30952380952380953,105.0,31
687859,Troy Johnston,Colorado Rockies,L,1B/OF,FA,7,30.5,1.354,0.955,3.37,0.38410714285714287,56.0,32
663728,Cal Raleigh,Seattle Mariners,S,C,CH,6,30.3,1.287,0.955,4.11,0.4183962264150943,106.0,33
665833,Oneil Cruz,Pittsburgh Pirates,L,OF,CJF,6,30.3,1.114,1.066,4.25,0.3779,101.0,34
593428,Xander Bogaerts,San Diego Padres,R,SS,FA,7,30.2,1.147,0.954,3.94,0.2748514851485148,102.0,35
805999,A.J. Ewing,New York Mets,L,OF,CH,7,30.2,1.038,1.0,4.15,0.3150980392156863,104.0,36
