venue_id,venue,bat_side,pf_runs,pf_hr,pf_woba,pf_so,pf_1b,pf_years
3,Fenway Park,All,106,88,103,97,105,2024-2026
7,Kauffman Stadium,All,102,88,101,89,101,2024-2026
14,Rogers Centre,All,102,105,101,97,100,2024-2026
4705,Truist Park,All,100,100,100,102,105,2024-2026
2680,Petco Park,All,94,105,97,101,97,2024-2026
3309,Nationals Park,All,104,104,102,94,104,2024-2026
2392,Daikin Park,All,100,112,100,107,97,2024-2026
17,Wrigley Field,All,96,106,98,101,98,2024-2026
1,Angel Stadium,All,98,100,99,106,100,2024-2026
32,American Family Field,All,96,103,98,110,96,2024-2026
12,Tropicana Field,All,94,104,97,103,97,2024-2026
22,UNIQLO Field at Dodger Stadium,All,102,124,101,102,94,2024-2026
2681,Citizens Bank Park,All,104,115,102,104,102,2024-2026
3289,Citi Field,All,96,101,98,103,96,2024-2026
4169,loanDepot park,All,100,86,100,96,101,2024-2026
2889,Busch Stadium,All,94,75,97,91,107,2024-2026
15,Chase Field,All,106,93,103,90,103,2024-2026
680,T-Mobile Park,All,85,99,92,116,91,2024-2026
31,PNC Park,All,102,83,101,99,103,2024-2026
5325,Globe Life Field,All,88,94,94,101,96,2024-2026
3313,Yankee Stadium,All,102,118,101,103,91,2024-2026
2395,Oracle Park,All,94,79,97,96,102,2024-2026
5,Progressive Field,All,98,94,99,105,100,2024-2026
3312,Target Field,All,104,94,102,97,103,2024-2026
2,Oriole Park at Camden Yards,All,104,109,102,100,102,2024-2026
4,Rate Field,All,98,98,99,98,99,2024-2026
2394,Comerica Park,All,100,101,100,98,100,2024-2026
19,Coors Field,All,125,108,112,90,115,2024-2026
2602,Great American Ball Park,All,102,113,101,104,95,2024-2026
3,Fenway Park,L,108,87,104,90,101,2024-2026
22,UNIQLO Field at Dodger Stadium,L,96,117,98,106,93,2024-2026
7,Kauffman Stadium,L,102,81,101,89,102,2024-2026
2680,Petco Park,L,90,93,95,100,95,2024-2026
3313,Yankee Stadium,L,106,120,103,100,91,2024-2026
2681,Citizens Bank Park,L,108,128,104,106,99,2024-2026
2395,Oracle Park,L,96,77,98,96,102,2024-2026
2392,Daikin Park,L,102,119,101,109,97,2024-2026
2,Oriole Park at Camden Yards,L,106,120,103,98,101,2024-2026
3312,Target Field,L,100,91,100,100,104,2024-2026
4,Rate Field,L,98,104,99,101,95,2024-2026
2602,Great American Ball Park,L,106,116,103,106,97,2024-2026
4169,loanDepot park,L,104,94,102,98,104,2024-2026
15,Chase Field,L,100,79,100,91,103,2024-2026
680,T-Mobile Park,L,86,99,93,113,93,2024-2026
19,Coors Field,L,130,113,114,87,114,2024-2026
5325,Globe Life Field,L,88,94,94,98,98,2024-2026
4705,Truist Park,L,100,105,100,99,105,2024-2026
2889,Busch Stadium,L,92,72,96,92,106,2024-2026
3289,Citi Field,L,98,94,99,103,99,2024-2026
2394,Comerica Park,L,100,98,100,99,100,2024-2026
1,Angel Stadium,L,98,94,99,99,103,2024-2026
32,American Family Field,L,94,95,97,114,98,2024-2026
3309,Nationals Park,L,106,107,103,93,105,2024-2026
14,Rogers Centre,L,98,102,99,105,95,2024-2026
12,Tropicana Field,L,85,88,92,106,98,2024-2026
31,PNC Park,L,108,98,104,98,99,2024-2026
5,Progressive Field,L,98,103,99,101,99,2024-2026
17,Wrigley Field,L,96,106,98,106,99,2024-2026
22,UNIQLO Field at Dodger Stadium,R,108,131,104,98,95,2024-2026
32,American Family Field,R,96,109,98,108,94,2024-2026
3313,Yankee Stadium,R,98,116,99,106,91,2024-2026
3289,Citi Field,R,96,107,98,103,93,2024-2026
3312,Target Field,R,110,96,105,94,102,2024-2026
4705,Truist Park,R,100,94,100,105,105,2024-2026
7,Kauffman Stadium,R,102,94,101,89,101,2024-2026
2394,Comerica Park,R,100,104,100,97,99,2024-2026
2392,Daikin Park,R,98,108,99,106,97,2024-2026
5,Progressive Field,R,100,83,100,110,100,2024-2026
2602,Great American Ball Park,R,100,111,100,103,93,2024-2026
2681,Citizens Bank Park,R,100,102,100,102,104,2024-2026
3309,Nationals Park,R,102,101,101,94,103,2024-2026
680,T-Mobile Park,R,81,99,90,119,88,2024-2026
4,Rate Field,R,98,93,99,96,102,2024-2026
1,Angel Stadium,R,98,104,99,110,98,2024-2026
31,PNC Park,R,98,71,99,99,106,2024-2026
3,Fenway Park,R,104,90,102,103,108,2024-2026
2395,Oracle Park,R,92,81,96,95,102,2024-2026
5325,Globe Life Field,R,86,93,93,103,94,2024-2026
14,Rogers Centre,R,106,108,103,92,103,2024-2026
12,Tropicana Field,R,102,118,101,101,97,2024-2026
2680,Petco Park,R,98,115,99,103,98,2024-2026
17,Wrigley Field,R,94,107,97,97,97,2024-2026
2,Oriole Park at Camden Yards,R,102,99,101,101,103,2024-2026
15,Chase Field,R,112,105,106,90,103,2024-2026
19,Coors Field,R,123,103,111,93,116,2024-2026
2889,Busch Stadium,R,96,78,98,90,107,2024-2026
4169,loanDepot park,R,96,79,98,95,98,2024-2026
