mlbam_id,name,team,throws,owner,date,gamePk,home,opp,venue,sp_source,opp_woba_vs_hand,opp_k_vs_hand,opp_k_move,opp_k_30,opp_lineup_woba,opp_lineup_shift,park_runs,temp_f,wind_out,precip_prob,local_start,base_gs,pts_gs_2026,pts_all_gs,n_relief,GS,ip_mix,velo_30,dvelo,whiff_30,dwhiff,csw_30,last3_pts,ip_start_3,relief_after_start,days_since_start,dcsw,velo_st,csw_st,whiff_st,new_pitch,pitching_plus,stuff_plus,xera,k_percent,xwoba_against,k_start,woba_30,gs_30,role,ip_gs,n_starts,last5_pts,f_opp,f_park,f_wx,f_home,k_bonus,exp_pts,two_start,week_pts,pl_tier,pl_note,cbs,active,status
605135.0,Chris Bassitt,Baltimore Orioles,R,FA,2026-09-22,824785,True,Toronto Blue Jays,Oriole Park at Camden Yards,listed,0.309,0.173,-0.151,0.165,0.316,0.0072,104,60.0,-8.0,64.0,Tue 09/22 06:35 PM,8.07,6.87,7.94,2,17,5.31,93.1,0.7,21.5,0.9,28.0,9.6,5.6,0,2.0,1.9,92.3,26.1,20.6,,89.6,90.8,4.96,16.4,0.339,3.6,,5.0,starter,5.1,18,8.4,1.012,0.981,1.032,1.03,-0.76,7.74,True,123.84,,,,True,Active
453286.0,Max Scherzer,Toronto Blue Jays,R,FA,2026-09-22,824785,False,Baltimore Orioles,Oriole Park at Camden Yards,listed,0.311,0.256,0.116,0.272,0.309,-0.0026,104,60.0,-8.0,64.0,Tue 09/22 06:35 PM,6.83,5.98,5.85,0,16,4.85,92.4,-0.5,24.8,4.3,29.1,5.7,5.0,0,2.0,4.3,93.0,24.9,20.4,,87.1,86.4,4.36,17.1,0.32,3.6,,5.0,starter,4.6,17,8.5,1.003,0.981,1.032,1.0,0.53,7.46,True,119.36,,,,True,Active
669302.0,Logan Gilbert,Seattle Mariners,R,BB,2026-09-22,823089,True,Houston Astros,T-Mobile Park,listed,0.317,0.23,0.078,0.233,0.324,0.0077,85,64.0,0.0,1.0,Tue 09/22 06:40 PM,12.2,11.55,11.83,0,30,5.72,96.8,0.4,35.3,5.0,29.4,12.3,5.7,0,3.0,-0.5,96.3,29.9,30.3,,114.8,113.8,3.63,27.2,0.294,6.4,,5.0,starter,5.9,31,10.1,0.984,1.085,1.0,1.03,0.18,13.6,True,28.9,,,,True,Active
554430.0,Zack Wheeler,Philadelphia Phillies,R,GLIZZY,2026-09-22,823412,True,Milwaukee Brewers,Citizens Bank Park,listed,0.331,0.236,0.112,0.24,0.332,0.0017,104,62.0,-6.0,31.0,Tue 09/22 06:40 PM,13.18,13.15,13.13,0,26,6.07,95.5,0.3,31.6,0.7,29.2,16.2,6.6,0,3.0,-0.2,95.2,29.4,30.9,,114.6,112.8,2.99,29.5,0.268,7.0,,5.0,starter,5.8,27,16.3,0.935,0.981,1.025,1.03,0.36,13.1,True,25.54,,,,True,Active
683003.0,Jared Jones,Pittsburgh Pirates,R,Dan,2026-09-22,823328,True,St. Louis Cardinals,PNC Park,listed,0.301,0.23,0.122,0.231,0.304,0.0025,102,59.0,-5.7,12.0,Tue 09/22 06:40 PM,12.02,9.88,9.35,0,19,5.56,98.1,-0.2,36.8,4.3,35.8,16.7,6.3,0,3.0,4.5,98.2,31.2,32.5,,115.7,116.4,3.45,28.7,0.287,5.9,,5.0,starter,4.9,20,15.3,1.037,0.99,1.029,1.03,0.18,13.26,True,25.16,,,,True,Active
702056.0,Trey Yesavage,Toronto Blue Jays,R,BAMBI,2026-09-21,824787,False,Baltimore Orioles,Oriole Park at Camden Yards,listed,0.311,0.256,0.116,0.272,0.309,-0.0026,104,65.0,-5.3,52.0,Mon 09/21 06:35 PM,8.75,9.4,9.7,0,18,4.42,93.2,-1.0,31.6,1.5,32.5,6.6,3.6,0,4.0,3.7,94.3,28.8,30.1,,104.6,106.0,3.4,23.6,0.285,4.9,,1.0,starter,5.0,19,9.1,1.003,0.981,1.019,1.0,0.64,9.4,True,19.32,,,,True,Active
607259.0,Nick Martinez,Tampa Bay Rays,R,Dpf,2026-09-22,823543,False,New York Yankees,Yankee Stadium,listed,0.311,0.244,-0.03,0.24,0.318,0.0064,102,67.0,-13.0,3.0,Tue 09/22 01:05 PM,9.24,10.04,9.87,0,29,5.79,92.2,-0.1,18.4,1.1,27.3,11.4,5.8,0,3.0,1.1,92.4,26.2,17.3,,94.3,91.4,4.04,14.8,0.309,3.6,,5.0,starter,5.9,30,11.3,1.002,0.99,1.032,1.0,0.33,9.79,True,19.08,,,,True,Active
579328.0,Yusei Kikuchi,Los Angeles Angels,L,FA,2026-09-22,824953,False,Athletics,Sutter Health Park,listed,0.314,0.239,-0.034,0.218,0.327,0.0126,100,76.0,4.8,0.0,Tue 09/22 06:40 PM,8.15,7.74,7.94,0,12,4.78,95.8,0.2,23.3,-1.8,27.2,5.9,4.6,0,3.0,-0.2,95.6,27.3,25.1,,100.9,102.6,4.96,22.3,0.339,4.6,,5.0,starter,4.8,13,9.7,0.992,1.0,0.982,1.0,0.31,8.24,True,18.02,,,,True,Active
669467.0,Andre Pallante,St. Louis Cardinals,R,CS,2026-09-22,823328,False,Pittsburgh Pirates,PNC Park,listed,0.329,0.219,-0.12,0.215,0.336,0.0067,102,59.0,-5.7,12.0,Tue 09/22 06:40 PM,9.32,8.57,8.48,0,27,5.44,95.7,0.4,20.8,-0.6,21.9,6.7,5.3,0,3.0,-4.9,95.2,26.7,21.4,,96.6,97.8,4.04,16.5,0.309,3.8,,4.0,starter,5.6,28,6.4,0.941,0.99,1.029,1.0,-0.04,8.89,True,18.009999999999998,,,,True,Active
663738.0,Daniel Lynch IV,Kansas City Royals,L,FA,2026-09-22,824061,True,Chicago White Sox,Kauffman Stadium,listed,0.325,0.253,0.06,0.254,0.318,-0.0067,104,70.0,-6.9,0.0,Tue 09/22 06:40 PM,8.32,2.96,11.83,46,8,4.49,93.4,-0.1,14.4,-1.1,23.5,3.7,4.7,0,3.0,-1.3,93.5,24.8,15.5,,100.6,101.1,4.04,16.7,0.309,2.1,,5.0,starter,3.9,9,3.1,0.955,0.981,1.014,1.03,0.44,8.58,True,16.990000000000002,,,,True,Active
669358.0,Shane Baz,Baltimore Orioles,R,THALER,2026-09-21,824787,True,Toronto Blue Jays,Oriole Park at Camden Yards,listed,0.309,0.173,-0.151,0.165,0.316,0.0072,104,65.0,-5.3,52.0,Mon 09/21 06:35 PM,8.36,10.12,10.13,0,30,5.58,95.1,-0.8,14.5,-7.1,24.7,6.1,5.4,0,4.0,-1.5,95.9,26.3,21.6,,95.5,95.5,4.21,20.5,0.315,5.0,,5.0,starter,5.8,31,8.3,1.012,0.981,1.019,1.03,-0.93,7.76,True,16.78,,,,True,Active
