gamePk,local_start,temp_f,wind_mph,wind_dir,precip_prob
823981,Mon 09/14 06:38 PM,72.0,8.0,201.0,0.0
823980,Tue 09/15 06:38 PM,74.0,8.0,209.0,0.0
823979,Wed 09/16 06:38 PM,73.0,8.0,222.0,0.0
823978,Thu 09/17 06:38 PM,74.0,8.0,217.0,0.0
823977,Fri 09/18 06:38 PM,75.0,7.0,223.0,0.0
823976,Sat 09/19 06:38 PM,75.0,6.0,221.0,0.0
823975,Sun 09/20 01:07 PM,82.0,9.0,222.0,0.0
824790,Fri 09/18 07:05 PM,73.0,6.0,83.0,17.0
824788,Sat 09/19 04:05 PM,81.0,6.0,160.0,17.0
824789,Sun 09/20 07:20 PM,71.0,10.0,1.0,26.0
824548,Thu 09/17 06:40 PM,68.0,7.0,34.0,16.0
824547,Fri 09/18 06:40 PM,73.0,8.0,107.0,33.0
824545,Sat 09/19 06:10 PM,81.0,11.0,296.0,40.0
824546,Sun 09/20 01:10 PM,65.0,14.0,46.0,33.0
824386,Mon 09/14 06:40 PM,65.0,6.0,22.0,0.0
824384,Tue 09/15 06:40 PM,74.0,9.0,179.0,1.0
824382,Wed 09/16 01:10 PM,73.0,6.0,302.0,26.0
824383,Fri 09/18 07:10 PM,69.0,7.0,55.0,9.0
824380,Sat 09/19 06:10 PM,78.0,11.0,214.0,33.0
824381,Sun 09/20 01:40 PM,68.0,13.0,28.0,28.0
822925,Tue 09/15 06:40 PM,88.0,10.0,77.0,73.0
822926,Wed 09/16 06:40 PM,87.0,21.0,63.0,22.0
822924,Thu 09/17 01:10 PM,87.0,11.0,64.0,55.0
822923,Fri 09/18 07:10 PM,85.0,11.0,101.0,67.0
822921,Sat 09/19 04:10 PM,87.0,12.0,182.0,58.0
822922,Sun 09/20 01:40 PM,86.0,10.0,209.0,57.0
822765,Mon 09/14 07:07 PM,60.0,4.0,354.0,0.0
822762,Tue 09/15 07:07 PM,70.0,8.0,222.0,30.0
822763,Wed 09/16 03:07 PM,73.0,5.0,198.0,5.0
825034,Mon 09/14 06:40 PM,90.0,9.0,167.0,23.0
825030,Tue 09/15 06:40 PM,97.0,13.0,173.0,12.0
825031,Wed 09/16 06:40 PM,85.0,6.0,302.0,28.0
825032,Fri 09/18 06:40 PM,92.0,8.0,112.0,4.0
825029,Sat 09/19 05:10 PM,98.0,5.0,267.0,5.0
825028,Sun 09/20 01:10 PM,100.0,5.0,158.0,1.0
824629,Mon 09/14 06:40 PM,68.0,14.0,141.0,3.0
824627,Tue 09/15 06:40 PM,73.0,10.0,331.0,50.0
824626,Wed 09/16 06:40 PM,63.0,12.0,32.0,38.0
824308,Mon 09/14 06:40 PM,80.0,7.0,226.0,3.0
824307,Tue 09/15 06:40 PM,72.0,7.0,133.0,29.0
824306,Wed 09/16 06:40 PM,77.0,6.0,285.0,51.0
824305,Thu 09/17 01:10 PM,85.0,4.0,117.0,50.0
824303,Fri 09/18 06:10 PM,72.0,17.0,151.0,43.0
824304,Sat 09/19 06:10 PM,65.0,3.0,335.0,40.0
824300,Sun 09/20 01:10 PM,80.0,8.0,63.0,30.0
823898,Fri 09/18 07:15 PM,74.0,7.0,233.0,0.0
823899,Sat 09/19 06:10 PM,75.0,7.0,238.0,0.0
823896,Sun 09/20 01:10 PM,82.0,9.0,210.0,0.0
823333,Tue 09/15 06:40 PM,73.0,2.0,135.0,0.0
823332,Wed 09/16 06:40 PM,77.0,4.0,261.0,11.0
823334,Thu 09/17 12:35 PM,76.0,4.0,338.0,33.0
823331,Fri 09/18 06:40 PM,75.0,3.0,94.0,15.0
823330,Sat 09/19 06:40 PM,80.0,6.0,222.0,40.0
823329,Sun 09/20 01:35 PM,69.0,7.0,342.0,30.0
824143,Tue 09/15 07:10 PM,88.0,11.0,144.0,32.0
824140,Wed 09/16 07:10 PM,88.0,10.0,125.0,23.0
824141,Thu 09/17 06:15 PM,90.0,10.0,127.0,14.0
824138,Fri 09/18 07:10 PM,90.0,10.0,158.0,4.0
824137,Sat 09/19 06:10 PM,95.0,11.0,176.0,7.0
824139,Sun 09/20 01:10 PM,96.0,4.0,248.0,18.0
824465,Mon 09/14 06:40 PM,75.0,7.0,65.0,0.0
