age,rel_to_27,yoy_delta,n_pairs
21,0.004064922263580715,0.0037765397647674583,4
22,0.007841462028348173,0.006941685038045181,26
23,0.014783147066393354,0.010246597324602794,34
24,0.025029744390996148,0.0007897509066556145,71
25,0.025819495297651762,-0.01299110619346504,77
26,0.012828389104186723,-0.012828389104186723,106
27,0.0,-0.020549812720357934,103
28,-0.020549812720357934,-0.01626608643796453,111
29,-0.036815899158322465,-0.025709655823774064,91
30,-0.06252555498209653,-0.019282490713303634,98
31,-0.08180804569540016,-0.03638235706836349,79
32,-0.11819040276376366,-0.03575910681094536,63
33,-0.15394950957470901,-0.05035866943859708,41
34,-0.20430817901330608,-0.04400453130128651,36
35,-0.2483127103145926,-0.059527312963943875,21
36,-0.3078400232785365,-0.0620279785513582,12
37,-0.3698680018298947,-0.07069148523840775,6
38,-0.44055948706830245,-0.07028126483950001,7
39,-0.5108407519078024,,0
