mlbam_id,name,season,birth_date,primary_pos,bats,team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,HBP,SB,CS,K,SF,1B,E,CSA,AOF,g_C,g_1B,g_2B,g_3B,g_SS,g_OF,g_DH,player_age,pa_savant,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,isolated_power,babip,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,xbadiff,xslgdiff,wobadiff,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,oz_swing_percent,oz_contact_percent,iz_contact_percent,whiff_percent,swing_percent,pull_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,avg_swing_length,avg_swing_speed,blasts_swing,squared_up_swing,fast_swing_rate,attack_angle,ideal_angle_rate,swing_take_run_value,sprint_speed,hp_to_1b,b_hit_fly,b_hit_ground,b_hit_line_drive,batted_ball,meatball_swing_percent,f_strike_percent,nkey,team_abbr,adp_name,adp_team,adp_pos,adp,adp_hitter_rank,adp_nfbc,adp_fantrax,pts,age,pts_g,pts_pa,final_hitter_rank,elig,elig_next,undrafted,adp_hitter_rank_f,exp_pts,exp_pts_g,pts_over_exp,ppg_over_exp,rank_gain,beat,big_beat,produced_like_rank,bust,x1B,x2B,x3B,xHR,xR,xRBI,xLP,xLP_pa,luck_pts,luck_pa,repl_pts,LPAR,repl_levels,lp_pa,std_pa,roto_z,pct_league,pct_std_points,pct_roto,fit_vs_points,fit_vs_roto,sb_per600,hr_per600,bb_per600,xwoba_minus_woba,career_best_pa,seasons_200,career_PA,gap_to_best,prior_best_pa,prior_seasons_200,prior_top90,jump_vs_prior,yoy_k_change,yoy_barrel_change,yoy_bat_speed_change,il_days,il_stints,il_days_3yr,il_60,il_reasons,il_days_w,first_game,last_game,games,window_games,avail_games,il_games_in_window,pa_pace_162,g_share,days_late,late_callup,pedigree,pipeline_rank,prospect_status,PAS,BI,bi_line,bi_why,proj_rate_raw,age_step,proj_rate,proj_PA,durability,proj_pts,proj_pts_600,proj_rank,proj_rank_600,owner,pool_repl_1st,pool_repl_2nd,KSV,KSV_2nd,keep_tier,likely_kept,pool_rank
701762,Nick Kurtz,2026,2003-03-12,1B,L,Athletics,99,434,352,90,15,1,21,62,69,79,3,7,1,141,0,53,3,0,0,0,94,0,0,0,0,3,23.0,434.0,32.5,18.2,0.256,0.483,0.396,0.227,0.363,0.244,0.483,0.381,0.374,0.374,0.239,0.525,0.51,0.012,0.0,0.007,93.4,11.9,38.9,18.0,57.3,106.18726581,98.206808714,66.4,23.3,39.5,73.0,36.9,43.1,34.6,41.7,28.9,26.1,3.3,7.8,78.2,13.9,16.9,80.4,12.8,49.6,26.0,26.6,4.47,24.0,27.0,39.0,211.0,73.8,57.7,nick kurtz,ATH,Nick Kurtz,ATH,1B,19.2,16.0,19.0,19.0,491.0,23.3,4.959595959595959,1.131336405529954,125,1B,1B,False,16.0,628.8666666666667,4.697986577181208,-137.86666666666667,0.2616093824147514,-109.0,False,False,120,True,43.79452837343514,20.28889878258205,1.574617314530493,20.229955529452322,58.502060299458854,58.613729968778614,473.01979026823744,1.0899073508484733,17.980209731762557,0.041429054681480615,462.0,29.0,"{'C': 402, 'SS': 573, '2B': 573, '3B': 543, '1B': 580, 'OF': 519, 'UT': 462}",1.131336405529954,0.5668202764976958,-0.5698930074279507,91.95402298850574,76.62835249042146,62.83524904214559,15.325670498084278,29.11877394636015,9.67741935483871,29.032258064516128,109.21658986175115,-0.007000000000000006,1.2658486707566463,2,923,-0.13451226522669235,1.2658486707566463,1,True,-0.13451226522669235,1.6000000000000014,-0.5,1.0,69.0,2.0,82.0,0.0,Right thumb capsule sprain,76.8,2026-03-27,2026-07-31,99.0,116.0,101.0,15.0,640.0,0.98,0.0,0.0,0.15,,young / establishing,37.5,9.4,1.346,"23 years old · exit velocity 98th percentile · 434 PA, the job is already his · bat speed up 1.0 mph",1.0779070184898691,0.0007897509066556122,1.0779070184898691,573.0,0.939,618.0,647.0,17,23,BB,497.0,476.0,121.0,142.0,lock,False,1
701398,Sal Stewart,2026,2003-12-07,1B,R,Cincinnati Reds,155,669,594,160,25,0,32,85,110,61,4,15,6,146,10,103,4,0,0,0,110,8,45,0,0,11,22.0,665.0,21.7,9.2,0.271,0.476,0.338,0.205,0.302,0.259,0.475,0.35,0.348,0.328,0.216,0.414,0.412,0.012,0.001,0.002,90.2,12.4,35.5,12.6,40.4,100.644134619,94.663322157,68.8,31.2,61.8,78.5,27.1,49.0,31.6,45.4,28.3,22.4,3.9,7.6,72.1,11.7,24.4,26.5,11.5,55.2,18.0,26.6,4.68,41.0,55.0,64.0,456.0,76.9,61.1,sal stewart,CIN,Sal Stewart,CIN,"1B,2B,3B,DH",190.0,113.0,190.0,190.0,742.0,22.6,4.787096774193548,1.109118086696562,9,1B/3B,1B/3B,False,113.0,533.457627118644,3.97972972972973,208.54237288135596,0.8073670444638186,104.0,True,True,1,False,89.98767499954317,31.016526510595103,1.2379219801803014,31.603876509681434,84.26273751915129,87.93350442616271,714.192241945314,1.0675519311589148,27.80775805468602,0.0415661555376472,462.0,280.0,"{'C': 402, 'SS': 573, '2B': 573, '3B': 543, '1B': 580, 'OF': 519, 'UT': 462}",1.109118086696562,0.6068759342301944,6.101982502908463,88.12260536398468,87.35632183908046,97.70114942528735,0.7662835249042104,-9.57854406130268,13.452914798206278,28.699551569506728,54.7085201793722,-0.0020000000000000018,1.109118086696562,1,727,0.0,,0,False,0.759118086696562,,,,0.0,0.0,0.0,0.0,,0.0,2026-03-26,2026-09-12,148.0,151.0,151.0,0.0,633.0,0.98,0.0,0.0,0.15,,young / establishing,33.6,14.9,1.189,"669 PA, the job is already his · 23 years old · this season is his best yet, so the bar is only a step up",1.0110361190515158,0.0007897509066556122,1.0110361190515158,593.0,1.0,600.0,607.0,24,84,BB,497.0,476.0,103.0,124.0,clear keep,False,2
621566,Matt Olson,2026,1994-03-29,1B,L,Atlanta Braves,155,671,601,153,33,0,40,98,89,63,3,4,0,167,4,80,8,0,0,0,155,0,0,0,1,0,32.0,667.0,25.0,9.4,0.253,0.509,0.325,0.256,0.282,0.248,0.507,0.356,0.354,0.317,0.259,0.445,0.441,0.005,0.002,0.002,92.5,17.8,32.7,14.8,51.4,103.614008203,96.522853326,66.4,27.7,60.3,80.7,25.5,46.6,38.5,36.9,35.3,20.5,7.4,7.6,74.8,14.8,23.7,50.3,10.2,49.0,26.0,25.3,4.76,51.0,38.0,62.0,434.0,74.9,58.2,matt olson,ATL,Matt Olson,ATL,1B,36.0,29.0,44.0,31.0,716.0,32.3,4.619354838709677,1.067064083457526,18,1B,1B,False,29.0,628.8666666666667,4.613333333333333,87.13333333333333,0.0060215053763439386,11.0,False,False,1,False,71.52453838501437,37.81067387446193,1.2900370960330332,38.42275064449067,81.65102100982132,98.1635250847386,703.5695460945599,1.048538816832429,12.430453905440118,0.018525266625097014,462.0,254.0,"{'C': 402, 'SS': 573, '2B': 573, '3B': 543, '1B': 580, 'OF': 519, 'UT': 462}",1.067064083457526,0.5856929955290611,4.834909008150932,75.86206896551724,81.99233716475096,94.6360153256705,-6.130268199233726,-18.77394636015326,3.5767511177347244,35.767511177347245,56.333830104321905,-0.0020000000000000018,1.261111111111111,6,4172,-0.19404702765358506,1.261111111111111,5,True,-0.19404702765358506,0.6999999999999993,0.40000000000000036,0.8999999999999915,0.0,0.0,0.0,0.0,,0.0,2026-03-27,2026-09-12,149.0,153.0,153.0,0.0,628.0,0.974,0.0,0.0,0.15,,established,36.6,0.8,1.341,"671 PA, the job is already his · exit velocity 95th percentile · ran 0.02 per PA hot · bat speed up 0.9 mph",1.0040537233637454,-0.05035866943859709,1.0040537233637454,564.0,1.0,566.0,602.0,32,93,MMM,497.0,476.0,69.0,90.0,clear keep,False,3
805300,Jakob Marsee,2026,2001-06-28,OF,L,Miami Marlins,149,593,496,115,19,6,11,80,39,76,14,23,12,121,1,79,0,0,5,0,0,0,0,0,145,1,25.0,588.0,20.6,12.8,0.228,0.358,0.345,0.13,0.28,0.231,0.331,0.32,0.312,0.347,0.1,0.333,0.321,-0.003,0.027,0.008,87.4,17.7,33.3,3.7,35.2,97.953097624,93.042116243,59.7,22.2,55.5,92.2,18.1,40.6,41.3,37.6,22.8,28.6,11.1,6.7,70.3,8.8,28.7,6.1,6.9,46.3,2.0,27.9,4.39,15.0,35.0,59.0,378.0,78.5,60.1,jakob marsee,MIA,Jakob Marsee,MIA,"LF,CF",139.6,85.0,139.0,109.0,582.0,25.0,3.9060402684563758,0.9814502529510961,77,OF,OF,False,85.0,533.457627118644,4.012556571717588,48.54237288135596,-0.1065163032612122,8.0,False,False,47,False,87.23869868976968,14.788658919754624,2.834586091181772,9.714056299293942,70.28171541400748,55.37833437520513,573.4120497892126,0.9669680434893972,8.587950210787426,0.01448220946169887,462.0,120.0,"{'C': 402, 'SS': 573, '2B': 573, '3B': 543, '1B': 580, 'OF': 519, 'UT': 462}",0.9814502529510961,0.4654300168634064,-1.6955376063825538,52.87356321839081,35.24904214559387,52.87356321839081,17.624521072796938,0.0,23.27150084317032,11.129848229342327,76.89713322091062,-0.008000000000000007,1.235042735042735,2,827,-0.253592482091639,1.235042735042735,1,False,-0.253592482091639,0.10000000000000142,-4.3999999999999995,-0.20000000000000284,0.0,0.0,0.0,0.0,,0.0,2026-03-27,2026-09-12,143.0,149.0,149.0,0.0,568.0,0.96,0.0,0.0,0.15,,young / establishing,28.8,2.0,1.315,"593 PA, the job is already his · 25 years old",1.0078396858407448,-0.012828389104186724,1.0078396858407448,551.0,1.0,555.0,605.0,40,89,FA,497.0,476.0,58.0,79.0,clear keep,False,4
666176,Jo Adell,2026,1999-04-08,OF,R,multi,152,629,577,139,25,1,22,66,92,29,18,4,0,154,5,91,5,0,7,0,0,0,0,0,149,15,27.0,624.0,24.5,4.6,0.24,0.402,0.295,0.162,0.286,0.258,0.442,0.305,0.327,0.312,0.184,0.371,0.404,-0.018,-0.04,-0.022,90.2,16.2,33.0,9.0,44.0,102.391922607,95.47877323,73.9,35.5,52.2,82.3,28.4,53.3,40.3,40.3,26.2,24.3,9.2,7.7,77.3,11.9,17.8,71.5,10.0,48.2,-9.0,28.2,4.52,30.0,35.0,71.0,424.0,82.2,61.5,jo adell,multi,Jo Adell,CLE,"LF,CF,RF,DH",121.4,79.0,113.0,115.0,597.0,27.2,3.9276315789473686,0.9491255961844197,63,OF,OF,False,79.0,533.457627118644,4.012556571717588,63.54237288135596,-0.08492499277021937,16.0,False,False,41,False,92.88504181815642,29.971261797067402,1.8323509513959861,24.177345433380204,80.25711074018726,74.96711643070442,627.1242271708917,0.9970178492383016,-30.124227170891686,-0.047892253053881895,462.0,135.0,"{'C': 402, 'SS': 573, '2B': 573, '3B': 543, '1B': 580, 'OF': 519, 'UT': 462}",0.9491255961844197,0.4276629570747218,0.17175601902227577,39.46360153256705,22.988505747126435,72.79693486590038,16.47509578544061,-33.333333333333336,3.8155802861685215,20.985691573926868,27.66295707472178,0.02200000000000002,1.0453752181500873,4,2140,-0.09624962196566755,1.0453752181500873,3,True,-0.09624962196566755,-1.8999999999999986,-8.3,-0.29999999999999716,0.0,0.0,22.0,0.0,,6.6,2026-03-26,2026-09-12,146.0,148.0,148.0,0.0,607.0,0.986,0.0,0.0,0.15,,established,35.9,2.1,1.125,"629 PA, the job is already his · deserved 0.05 more per PA than he got · exit velocity 78th percentile",1.0146054429393248,-0.01626608643796453,1.0146054429393248,536.0,0.995,544.0,609.0,45,77,FA,497.0,476.0,47.0,68.0,clear keep,False,5
701807,Carson Benge,2026,2003-01-20,OF,L,New York Mets,149,622,566,156,19,3,19,81,61,47,8,22,5,135,1,115,6,0,10,0,0,0,0,0,157,1,23.0,617.0,21.9,7.5,0.272,0.413,0.335,0.141,0.329,0.277,0.434,0.33,0.338,0.339,0.157,0.388,0.4,-0.005,-0.021,-0.008,88.8,12.0,37.9,7.3,38.8,99.5757925,93.970602577,63.4,27.9,61.4,86.2,21.4,45.6,33.6,43.7,27.3,25.9,3.0,6.6,71.1,10.6,25.4,17.5,6.6,41.9,9.0,28.6,4.27,31.0,50.0,72.0,428.0,77.0,55.2,carson benge,NYM,Carson Benge,NYM,"LF,CF,RF",298.6,180.0,330.0,332.0,671.0,23.4,4.503355704697986,1.0787781350482315,31,OF,OF,False,180.0,370.90909090909093,3.152764639201742,300.09090909090907,1.350591065496244,149.0,True,True,1,False,110.61020277920014,23.435731090331878,2.781929481735897,19.954136648732106,82.19020413492754,68.9495009031761,688.5657050381037,1.1070188183892342,-17.565705038103715,-0.028240683341002715,462.0,209.0,"{'C': 402, 'SS': 573, '2B': 573, '3B': 543, '1B': 580, 'OF': 519, 'UT': 462}",1.0787781350482315,0.5048231511254019,2.3725065095491966,80.07662835249042,51.34099616858238,86.59003831417624,28.735632183908038,-6.513409961685824,21.221864951768488,18.327974276527332,45.33762057877813,0.008000000000000007,1.0787781350482315,1,622,0.0,,0,False,0.7287781350482315,,,,0.0,0.0,0.0,0.0,,0.0,2026-03-26,2026-09-12,142.0,152.0,152.0,0.0,579.0,0.934,0.0,0.0,0.15,,young / establishing,31.7,15.7,1.159,"622 PA, the job is already his · 23 years old · this season is his best yet, so the bar is only a step up",1.0148493160649823,0.0007897509066556122,1.0148493160649823,535.0,1.0,543.0,609.0,47,77,GK,497.0,476.0,46.0,67.0,clear keep,False,6
547180,Bryce Harper,2026,1992-10-16,1B,L,Philadelphia Phillies,155,662,549,149,32,3,28,91,85,104,1,7,6,144,8,86,5,0,1,0,108,0,0,0,37,12,33.0,657.0,21.8,15.8,0.272,0.494,0.385,0.222,0.315,0.272,0.487,0.381,0.383,0.386,0.216,0.435,0.438,0.0,0.007,-0.002,90.3,12.7,38.1,10.8,43.8,101.361130392,94.961087985,72.4,32.6,49.7,81.4,30.7,49.5,39.6,43.3,26.4,26.4,3.9,7.3,74.2,11.6,20.7,45.8,12.2,43.8,35.0,27.2,4.47,36.0,46.0,66.0,409.0,79.1,61.7,bryce harper,PHI,Bryce Harper,PHI,"1B,RF,DH",37.6,30.0,43.0,35.0,719.0,33.7,4.638709677419355,1.0861027190332326,17,1B/OF,1B/OF,False,30.0,628.8666666666667,4.606299212598425,90.13333333333333,0.032410464820929796,13.0,False,False,1,False,86.97659747609943,32.75792397705545,2.9543596175908227,26.639118929254305,91.15508022115222,85.21956786939901,716.6146480905512,1.08249946841473,2.3853519094487865,0.0036032506185026403,462.0,257.0,"{'C': 402, 'SS': 573, '2B': 573, '3B': 543, '1B': 580, 'OF': 519, 'UT': 462}",1.0861027190332326,0.6253776435045317,3.776715828346316,82.37547892720306,91.18773946360153,90.42145593869732,-8.812260536398469,-8.045977011494259,6.3444108761329305,25.377643504531722,94.25981873111782,0.0020000000000000018,1.333889816360601,6,3444,-0.24778709732736837,1.333889816360601,5,True,-0.24778709732736837,0.9000000000000021,-1.5,0.10000000000000853,0.0,0.0,34.0,0.0,,17.099999999999998,2026-03-26,2026-09-12,149.0,150.0,150.0,0.0,630.0,0.993,0.0,0.0,0.15,,established,35.7,0.5,1.414,"662 PA, the job is already his · exit velocity 79th percentile",1.0152245202689913,-0.059527312963943875,1.0152245202689913,534.0,0.937,542.0,609.0,49,77,BAMBI,497.0,476.0,45.0,66.0,clear keep,False,7
668227,Randy Arozarena,2026,1995-02-28,OF,R,Seattle Mariners,147,639,548,154,31,1,26,105,76,63,24,23,8,136,4,96,1,0,4,0,0,0,0,0,143,4,31.0,635.0,21.3,9.9,0.281,0.48,0.378,0.199,0.33,0.259,0.418,0.376,0.347,0.36,0.159,0.429,0.386,0.022,0.062,0.029,90.8,9.8,35.8,7.7,43.0,100.539493738,94.726548617,63.0,30.6,68.1,77.0,26.1,45.8,35.8,48.7,23.5,23.2,4.6,7.2,70.9,11.1,26.6,22.4,7.9,58.8,33.0,27.1,4.41,31.0,57.0,64.0,413.0,77.3,61.4,randy arozarena,SEA,Randy Arozarena,SEA,"LF,CF",83.0,55.0,83.0,50.0,763.0,31.3,5.190476190476191,1.194053208137715,4,OF,OF,False,55.0,537.0,4.29682687680084,226.0,0.8936493136753505,51.0,True,False,1,False,95.74867238009084,25.030287829848625,1.3574072000302873,19.79563259003027,80.26160845398458,72.31761214124973,686.5752205952343,1.0744526143900381,76.42477940476567,0.11960059374767695,462.0,301.0,"{'C': 402, 'SS': 573, '2B': 573, '3B': 543, '1B': 580, 'OF': 519, 'UT': 462}",1.194053208137715,0.6197183098591549,5.955618403037197,97.31800766283524,89.65517241379311,96.93486590038314,7.662835249042132,0.3831417624520981,21.5962441314554,24.4131455399061,59.154929577464785,-0.029000000000000026,1.194053208137715,6,3899,0.0,1.1423841059602649,5,True,0.051669102177450243,-5.599999999999998,-3.8,-1.3999999999999915,7.0,1.0,7.0,0.0,,7.0,2026-03-26,2026-09-12,141.0,149.0,142.0,7.0,642.0,0.993,0.0,0.0,0.15,,established,32.6,0.3,1.274,"639 PA, the job is already his · this season is his best yet, so the bar is only a step up · exit velocity 86th percentile",1.0076995994473277,-0.03575910681094536,1.0076995994473277,537.0,0.994,541.0,605.0,50,89,GLIZZY,497.0,476.0,44.0,65.0,clear keep,False,8
681624,Andy Pages,2026,2000-12-08,OF,R,Los Angeles Dodgers,128,550,493,134,25,2,21,72,80,45,7,12,7,107,5,86,3,0,13,0,0,0,0,0,126,1,25.0,550.0,19.5,8.2,0.272,0.458,0.338,0.186,0.305,0.272,0.438,0.346,0.34,0.339,0.166,0.395,0.386,0.0,0.02,0.006,88.8,15.6,36.6,7.7,42.2,99.896895102,94.189301176,66.5,31.6,58.4,89.1,22.0,47.6,37.1,37.9,26.6,27.1,8.4,7.6,73.0,11.2,24.8,28.5,6.5,45.0,11.0,28.3,4.37,29.0,41.0,63.0,391.0,73.7,61.5,andy pages,LAD,Andy Pages,LAD,"LF,CF,RF",140.0,86.0,122.0,127.0,623.0,25.6,4.8671875,1.1327272727272728,46,OF,OF,False,86.0,533.457627118644,4.012556571717588,89.54237288135596,0.854630928282412,40.0,True,False,31,False,90.68380229483441,23.242159206727568,1.9142747020416626,18.255763796396376,71.91877998109541,62.610261690949365,595.5590416720449,1.0828346212219,27.44095832795506,0.04989265150537281,462.0,161.0,"{'C': 402, 'SS': 573, '2B': 573, '3B': 543, '1B': 580, 'OF': 519, 'UT': 462}",1.1327272727272728,0.5963636363636363,1.8704102193239518,92.72030651340997,85.82375478927203,84.2911877394636,6.896551724137936,8.42911877394637,13.090909090909092,22.90909090909091,49.09090909090909,-0.00599999999999995,1.1327272727272728,3,1617,0.0,1.080128205128205,2,True,0.05259906759906774,-2.1000000000000014,-0.7000000000000002,0.5,36.0,1.0,36.0,0.0,Left hand fracture,36.0,2026-03-26,2026-08-21,128.0,136.0,130.0,6.0,630.0,0.985,0.0,0.0,0.15,,established,33.5,4.8,1.213,"550 PA, the job is already his · this season is his best yet, so the bar is only a step up · 26 years old",1.02229364258382,-0.020549812720357934,1.02229364258382,521.0,0.971,533.0,613.0,53,61,CS,497.0,476.0,36.0,57.0,marginal,False,9
695600,Carter Jensen,2026,2003-07-03,C,L,Kansas City Royals,144,580,507,118,33,2,25,75,76,64,3,2,1,165,6,58,5,19,0,101,0,0,0,0,0,42,22.0,575.0,28.2,11.1,0.233,0.45,0.32,0.217,0.289,0.214,0.406,0.334,0.312,0.304,0.192,0.421,0.385,0.019,0.044,0.022,91.3,20.2,32.9,11.9,44.5,101.882854335,95.477131594,66.9,24.0,44.8,80.7,29.5,44.3,41.3,33.5,37.3,19.9,9.2,7.1,73.8,11.3,23.6,36.6,6.7,48.3,8.0,27.8,4.38,33.0,39.0,44.0,346.0,74.7,55.3,carter jensen,KC,Carter Jensen,KC,"C,DH",230.0,139.0,182.0,320.0,605.0,23.0,4.201388888888889,1.043103448275862,59,C,C,False,139.0,407.7647058823529,3.7166716854623014,197.23529411764707,0.48471720342658786,80.0,True,True,40,False,56.13216008244589,28.860760975609757,2.0319978014428033,21.47308114050155,71.29822891206274,69.30424647324945,560.9424753853123,0.9671421989401936,44.057524614687736,0.0759612493356685,402.0,203.0,"{'C': 402, 'SS': 573, '2B': 573, '3B': 543, '1B': 580, 'OF': 519, 'UT': 462}",1.043103448275862,0.4862068965517241,-0.2836014639766272,72.41379310344827,42.911877394636015,67.43295019157088,29.501915708812255,4.980842911877389,2.0689655172413794,25.862068965517242,66.20689655172414,-0.02200000000000002,1.043103448275862,1,649,0.0,,0,False,0.6931034482758621,,,,0.0,0.0,0.0,0.0,,0.0,2026-03-27,2026-09-12,138.0,150.0,150.0,0.0,552.0,0.92,0.0,0.0,0.15,,young / establishing,33.9,13.9,1.123,"580 PA, the job is already his · 23 years old · this season is his best yet, so the bar is only a step up",1.0058686250917726,0.0007897509066556122,1.0058686250917726,527.0,1.0,530.0,604.0,55,92,BB,497.0,476.0,33.0,54.0,marginal,False,10
