player,nkey,mlbam_id,adp_hitter_rank,pts,final_hitter_rank,source
Shohei Ohtani,shohei ohtani,660271,1.0,689.0,16,"inferred (top ADP, not drafted)"
Aaron Judge,aaron judge,592450,2.0,321.0,222,"inferred (top ADP, not drafted)"
Bobby Witt Jr.,bobby witt,677951,3.0,684.0,19,"inferred (top ADP, not drafted)"
Juan Soto,juan soto,665742,4.0,487.0,120,"inferred (top ADP, not drafted)"
José Ramírez,jose ramirez,608070,5.0,508.0,107,"inferred (top ADP, not drafted)"
Ronald Acuña Jr.,ronald acuna,660670,6.0,481.0,121,"inferred (top ADP, not drafted)"
Elly De La Cruz,elly de la cruz,682829,7.0,685.0,18,"inferred (top ADP, not drafted)"
Julio Rodríguez,julio rodriguez,677594,8.0,598.0,47,"inferred (top ADP, not drafted)"
Kyle Tucker,kyle tucker,663656,9.0,549.0,84,"inferred (top ADP, not drafted)"
Fernando Tatis Jr.,fernando tatis,665487,10.0,750.0,3,"inferred (top ADP, not drafted)"
Corbin Carroll,corbin carroll,682998,11.0,670.0,25,"inferred (top ADP, not drafted)"
Cal Raleigh,cal raleigh,663728,12.0,432.0,155,"inferred (top ADP, not drafted)"
Gunnar Henderson,gunnar henderson,683002,13.0,586.0,56,"inferred (top ADP, not drafted)"
Junior Caminero,junior caminero,691406,14.0,712.0,8,"inferred (top ADP, not drafted)"
Vladimir Guerrero Jr.,vladimir guerrero,665489,15.0,504.0,109,"inferred (top ADP, not drafted)"
Nick Kurtz,nick kurtz,701762,16.0,491.0,117,"inferred (top ADP, not drafted)"
Kyle Schwarber,kyle schwarber,656941,17.0,690.0,15,"inferred (top ADP, not drafted)"
Jackson Chourio,jackson chourio,694192,18.0,638.0,34,"inferred (top ADP, not drafted)"
Jazz Chisholm Jr.,jazz chisholm,665862,19.0,582.0,57,"inferred (top ADP, not drafted)"
Pete Alonso,pete alonso,624413,20.0,710.0,10,"inferred (top ADP, not drafted)"
Francisco Lindor,francisco lindor,596019,21.0,390.0,180,"inferred (top ADP, not drafted)"
Ketel Marte,ketel marte,606466,22.0,557.0,79,"inferred (top ADP, not drafted)"
Trea Turner,trea turner,607208,23.0,599.0,46,"inferred (top ADP, not drafted)"
Yordan Alvarez,yordan alvarez,670541,24.0,772.0,2,"inferred (top ADP, not drafted)"
Pete Crow-Armstrong,pete crowarmstrong,691718,25.0,895.0,1,"inferred (top ADP, not drafted)"
Manny Machado,manny machado,592518,26.0,577.0,60,"inferred (top ADP, not drafted)"
James Wood,james wood,695578,27.0,716.0,6,"inferred (top ADP, not drafted)"
Zach Neto,zach neto,687263,28.0,656.0,30,"inferred (top ADP, not drafted)"
Matt Olson,matt olson,621566,29.0,677.0,22,"inferred (top ADP, not drafted)"
Bryce Harper,bryce harper,547180,30.0,694.0,14,"inferred (top ADP, not drafted)"
Brent Rooker,brent rooker,667670,31.0,182.0,340,"inferred (top ADP, not drafted)"
Rafael Devers,rafael devers,646240,32.0,686.0,17,"inferred (top ADP, not drafted)"
Wyatt Langford,wyatt langford,694671,33.0,447.0,143,"inferred (top ADP, not drafted)"
Brice Turang,brice turang,668930,34.0,696.0,13,"inferred (top ADP, not drafted)"
Roman Anthony,roman anthony,701350,36.0,168.0,352,"inferred (top ADP, not drafted)"
Freddie Freeman,freddie freeman,518692,37.0,621.0,40,"inferred (top ADP, not drafted)"
Cody Bellinger,cody bellinger,641355,38.0,557.0,79,"inferred (top ADP, not drafted)"
Austin Riley,austin riley,663586,39.0,509.0,105,"inferred (top ADP, not drafted)"
Josh Naylor,josh naylor,647304,41.0,571.0,66,"inferred (top ADP, not drafted)"
Jarren Duran,jarren duran,680776,43.0,545.0,89,"inferred (top ADP, not drafted)"
Maikel Garcia,maikel garcia,672580,45.0,285.0,251,"inferred (top ADP, not drafted)"
Ben Rice,ben rice,700250,46.0,679.0,20,"inferred (top ADP, not drafted)"
Jackson Merrill,jackson merrill,701538,47.0,678.0,21,"inferred (top ADP, not drafted)"
Shea Langeliers,shea langeliers,669127,48.0,471.0,127,"inferred (top ADP, not drafted)"
Byron Buxton,byron buxton,621439,50.0,451.0,138,"inferred (top ADP, not drafted)"
Vinnie Pasquantino,vinnie pasquantino,686469,52.0,392.0,179,"inferred (top ADP, not drafted)"
Randy Arozarena,randy arozarena,668227,55.0,711.0,9,"inferred (top ADP, not drafted)"
Bo Bichette,bo bichette,666182,57.0,567.0,69,"inferred (top ADP, not drafted)"
Eugenio Suárez,eugenio suarez,553993,58.0,418.0,165,"inferred (top ADP, not drafted)"
Alex Bregman,alex bregman,608324,60.0,669.0,27,"inferred (top ADP, not drafted)"
Christian Yelich,christian yelich,592885,61.0,455.0,133,"inferred (top ADP, not drafted)"
Nico Hoerner,nico hoerner,663538,62.0,596.0,49,"inferred (top ADP, not drafted)"
Will Smith,will smith,669257,65.0,227.0,300,"inferred (top ADP, not drafted)"
Teoscar Hernández,teoscar hernandez,606192,72.0,441.0,147,"inferred (top ADP, not drafted)"
Trevor Story,trevor story,596115,75.0,181.0,342,"inferred (top ADP, not drafted)"
