overall,round,pick,team,player,pos,mlb,type,season,nkey,is_pitcher,name,PA,pts,pts_g,final_hitter_rank,adp,adp_hitter_rank,exp_pts,pts_over_exp,beat,big_beat,produced_like_rank,mine,league_draft_hitter_rank,league_finish_rank,slot_gain,hitter_pick,exp_pts_slot,pts_over_slot
5,1,5,Basketball,Evan Carter,OF,TEX,LS,2024,evan carter,False,Evan Carter,162.0,145.0,3.2222222222222223,389.0,99.0,62.0,587.8333333333334,-442.83333333333337,False,False,403.0,True,1,92.0,-91.0,1.0,609.2,-464.20000000000005
9,1,9,Ring the bell,Spencer Torkelson,1B,DET,LS,2024,spencer torkelson,False,Spencer Torkelson,381.0,318.0,3.4565217391304346,255.0,117.2,73.0,587.8333333333334,-269.83333333333337,False,False,253.0,False,2,76.0,-74.0,2.0,609.2,-291.20000000000005
10,1,10,SS Factory,Triston Casas,1B,BOS,LS,2024,triston casas,False,Triston Casas,243.0,235.0,3.7301587301587302,311.0,89.2,57.0,587.8333333333334,-352.83333333333337,False,False,280.0,False,3,84.0,-81.0,3.0,609.2,-374.20000000000005
14,2,2,Ring the bell,George Springer,OF,TOR,LS,2024,george springer,False,George Springer,614.0,570.0,3.9310344827586206,88.0,100.2,63.0,587.8333333333334,-17.83333333333337,False,False,84.0,False,4,32.0,-28.0,4.0,609.2,-39.200000000000045
15,2,3,Juiced Ballz,Nolan Jones,OF,COL,LS,2024,nolan jones,False,Nolan Jones,297.0,251.0,3.1772151898734178,299.0,53.8,37.0,610.0,-359.0,False,False,280.0,False,5,82.0,-77.0,5.0,609.2,-358.20000000000005
18,2,6,City to the Shore,Nick Castellanos,OF,PHI,LS,2024,nick castellanos,False,Nick Castellanos,659.0,653.0,4.030864197530864,46.0,98.2,61.0,587.8333333333334,65.16666666666663,False,False,24.0,False,6,19.0,-13.0,6.0,609.2,43.799999999999955
19,2,7,The Chosen Juan,Christian Walker,1B,ARI,LS,2024,christian walker,False,Christian Walker,552.0,569.0,4.376923076923077,89.0,72.4,48.0,589.5555555555555,-20.555555555555543,False,False,84.0,False,7,33.0,-26.0,7.0,609.2,-40.200000000000045
20,2,8,The Greatest Glizzy Guzzlers,Teoscar Hernandez,OF,LAD,LS,2024,teoscar hernandez,False,Teoscar Hernández,652.0,746.0,4.8441558441558445,18.0,106.0,65.0,587.8333333333334,158.16666666666663,True,False,1.0,False,8,4.0,4.0,8.0,609.2,136.79999999999995
21,2,9,The Chosen Juan,Bryan Reynolds,OF,PIT,LA,2024,bryan reynolds,False,Bryan Reynolds,692.0,727.0,4.660256410256411,20.0,73.4,49.0,589.5555555555555,137.44444444444446,True,False,1.0,False,9,5.0,4.0,9.0,609.2,117.79999999999995
23,2,11,Some Ting Wong,Jazz Chisholm Jr.,"2B,3B,OF",MIA/NYY,LS,2024,jazz chisholm,False,Jazz Chisholm Jr.,621.0,710.0,4.829931972789115,24.0,63.2,44.0,595.0,115.0,False,False,1.0,False,10,7.0,3.0,10.0,609.2,100.79999999999995
