mlbam_id,name,season,birth_date,primary_pos,bats,team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,HBP,SB,CS,K,SF,1B,E,CSA,AOF,g_C,g_1B,g_2B,g_3B,g_SS,g_OF,g_DH,player_age,pa_savant,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,isolated_power,babip,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,xbadiff,xslgdiff,wobadiff,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,oz_swing_percent,oz_contact_percent,iz_contact_percent,whiff_percent,swing_percent,pull_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,avg_swing_length,avg_swing_speed,blasts_swing,squared_up_swing,fast_swing_rate,attack_angle,ideal_angle_rate,swing_take_run_value,sprint_speed,hp_to_1b,b_hit_fly,b_hit_ground,b_hit_line_drive,batted_ball,meatball_swing_percent,f_strike_percent,nkey,team_abbr,adp_name,adp_team,adp_pos,adp,adp_hitter_rank,adp_nfbc,adp_fantrax,pts,age,pts_g,pts_pa,final_hitter_rank,elig,undrafted,adp_hitter_rank_f,exp_pts,exp_pts_g,pts_over_exp,ppg_over_exp,rank_gain,beat,big_beat,produced_like_rank,bust,x1B,x2B,x3B,xHR,xR,xRBI,xLP,xLP_pa,luck_pts,luck_pa,repl_pts,LPAR,repl_levels,lp_pa,std_pa,roto_z,pct_league,pct_std_points,pct_roto,fit_vs_points,fit_vs_roto,sb_per600,hr_per600,bb_per600,xwoba_minus_woba,career_best_pa,seasons_200,career_PA,gap_to_best,yoy_k_change,yoy_barrel_change,yoy_bat_speed_change,il_days,il_stints,il_days_3yr,il_60,il_reasons,pedigree,pipeline_rank,prospect_status,PAS,BI,proj_rate_raw,age_step,proj_rate,proj_PA,durability,proj_pts,proj_pts_600,proj_rank,proj_rank_600,owner,pool_repl_1st,pool_repl_2nd,KSV,KSV_2nd,keep_tier,team_rank
682928,CJ Abrams,2026,2000-10-03,SS,L,Washington Nationals,141,609,538,141,28,3,30,87,96,53,12,29,6,150,6,80,19,0,0,0,0,6,0,126,0,11,25.0,604.0,24.8,8.8,0.261,0.492,0.338,0.231,0.304,0.243,0.424,0.357,0.327,0.321,0.181,0.439,0.393,0.018,0.068,0.03,89.6,18.1,33.2,10.1,41.1,100.040133711,94.266113866,67.9,36.9,53.7,81.0,29.8,51.0,44.7,36.2,29.3,22.9,11.6,7.7,73.0,10.4,22.9,28.1,14.1,57.6,24.0,28.4,4.29,38.0,40.0,61.0,389.0,70.4,63.3,cj abrams,WSH,CJ Abrams,WSH,"2B,SS,DH",68.6,49.0,58.0,71.0,722.0,25.7,5.120567375886525,1.1855500821018063,5,SS,False,49.0,557.7272727272727,4.362678118290064,164.27272727272725,0.7578892575964611,44.0,True,False,1,False,81.03080296850499,24.66607763567003,2.3994358231449846,22.637683572680004,79.69793528477685,70.66827088647563,642.2122061712525,1.0545356423173278,79.78779382874745,0.13101443978447858,447.0,275.0,"{'C': 382, 'SS': 527, '2B': 535, '3B': 508, '1B': 567, 'OF': 496, 'UT': 447}",1.1855500821018063,0.6239737274220033,6.917250001894628,96.44268774703558,90.9090909090909,98.81422924901186,5.533596837944671,-2.3715415019762816,28.57142857142857,29.55665024630542,52.21674876847291,-0.02999999999999997,1.1855500821018063,5,2762,0.0,5.100000000000001,2.5,0.5999999999999943,0.0,0.0,12.0,0.0,,0.15,,established,33.1,0.3,1.054978856864188,-0.02062043567993042,1.0446686390242228,606.0,0.99,633.0,627.0,16,41,BAMBI,511.0,484.0,122.0,149.0,lock,1.0
691406,Junior Caminero,2026,2003-07-05,3B,R,Tampa Bay Rays,148,647,566,158,21,1,40,90,95,74,4,3,3,118,3,96,19,0,0,0,1,0,147,0,0,0,22.0,643.0,18.4,11.5,0.279,0.534,0.365,0.255,0.287,0.273,0.498,0.381,0.364,0.347,0.225,0.435,0.41,0.006,0.036,0.017,92.9,9.6,26.8,13.2,50.2,105.467649196,97.274010067,62.5,30.2,62.1,85.0,24.1,43.9,45.9,49.7,22.6,19.9,7.8,8.7,79.6,19.1,23.3,85.4,8.3,62.5,36.0,26.6,4.56,39.0,50.0,67.0,447.0,72.8,54.6,junior caminero,TB,Junior Caminero,TB,3B,16.6,14.0,16.0,17.0,712.0,23.0,4.8108108108108105,1.1004636785162287,8,3B,False,14.0,604.9137931034483,4.76510067114094,107.08620689655174,0.04571013966987092,6.0,False,False,1,False,94.62400696032307,25.321659411960752,1.6886602951093084,32.883673332606875,84.08769081243845,87.12693080517472,675.6006216176132,1.0442049793162491,36.39937838238677,0.05625869919997961,447.0,265.0,"{'C': 382, 'SS': 527, '2B': 535, '3B': 508, '1B': 567, 'OF': 496, 'UT': 447}",1.1004636785162287,0.6877897990726429,6.335744286857798,85.37549407114624,98.02371541501977,98.41897233201581,-12.64822134387353,-13.043478260869577,2.782071097372488,37.09428129829985,68.62442040185472,-0.017000000000000015,1.119448698315467,2,1513,-0.01898501979923828,-0.7000000000000028,-0.8000000000000007,1.0999999999999943,0.0,0.0,0.0,0.0,,0.15,,established,37.4,4.6,1.056574190094871,-0.00018427035249021667,1.056482054918626,585.0,1.0,618.0,634.0,22,35,BAMBI,511.0,484.0,107.0,134.0,clear keep,2.0
547180,Bryce Harper,2026,1992-10-16,1B,L,Philadelphia Phillies,149,634,524,142,29,3,28,87,83,102,1,7,6,136,7,82,5,0,1,0,108,0,0,0,31,12,33.0,631.0,21.4,16.2,0.271,0.493,0.387,0.222,0.311,0.275,0.492,0.381,0.387,0.391,0.217,0.432,0.44,-0.004,0.001,-0.006,90.5,12.5,38.4,10.7,44.8,101.470102143,95.07293555,72.1,32.5,49.7,81.8,30.5,49.2,39.4,43.3,26.5,26.7,3.6,7.3,74.1,11.7,21.1,44.9,12.3,44.1,34.0,27.2,4.47,33.0,43.0,65.0,393.0,78.6,61.3,bryce harper,PHI,Bryce Harper,PHI,"1B,RF,DH",37.6,30.0,43.0,35.0,694.0,33.7,4.657718120805369,1.0946372239747635,14,1B/OF,False,30.0,599.0,4.543624161073826,95.0,0.11409395973154357,16.0,False,False,1,False,85.14672596877747,30.138688170731015,2.8744457522056295,25.94014010828591,87.97090494979885,81.83172532850199,692.7106302783009,1.092603517789118,1.2893697216991313,0.0020337061856454675,447.0,247.0,"{'C': 382, 'SS': 527, '2B': 535, '3B': 508, '1B': 567, 'OF': 496, 'UT': 447}",1.0946372239747635,0.637223974763407,3.9322932076305785,84.58498023715416,93.2806324110672,90.9090909090909,-8.695652173913047,-6.324110671936751,6.624605678233439,26.498422712933756,96.52996845425868,0.006000000000000005,1.333889816360601,6,3416,-0.23925259238583751,0.5,-1.6000000000000014,0.0,0.0,0.0,34.0,0.0,,0.15,,established,35.7,0.3,1.0746253155117274,-0.0571807179744258,1.0460349565245144,579.0,0.924,606.0,628.0,26,39,BAMBI,511.0,484.0,95.0,122.0,clear keep,3.0
802415,Chandler Simpson,2026,2000-11-18,OF,L,Tampa Bay Rays,140,568,527,161,14,6,0,61,31,26,0,41,14,46,6,141,3,0,5,0,0,0,0,0,139,0,25.0,564.0,8.2,4.6,0.306,0.356,0.335,0.05,0.331,0.259,0.296,0.306,0.264,0.293,0.037,0.314,0.266,0.047,0.06,0.042,83.7,1.5,26.0,0.0,13.1,92.444626987,90.310199059,64.3,30.6,80.9,93.4,10.5,47.7,28.7,61.2,14.2,22.0,2.6,6.6,65.0,2.3,41.9,0.6,2.9,36.0,-12.0,29.5,3.96,2.0,100.0,57.0,492.0,70.1,67.9,chandler simpson,TB,Chandler Simpson,TB,"LF,CF",169.4,99.0,164.0,152.0,596.0,25.6,4.257142857142857,1.0492957746478873,49,OF,False,99.0,517.1754385964912,3.9962195873663076,78.82456140350882,0.26092326977654956,50.0,True,False,31,False,124.7793300094647,7.052216967570498,1.5375760364648716,3.1238769864999187,64.60869211256926,42.79259801245518,555.8862901250244,0.9786730459947612,40.1137098749756,0.07062272865312602,447.0,149.0,"{'C': 382, 'SS': 527, '2B': 535, '3B': 508, '1B': 567, 'OF': 496, 'UT': 447}",1.0492957746478873,0.528169014084507,0.7472658302723638,73.12252964426878,59.683794466403164,75.8893280632411,13.438735177865617,-2.7667984189723143,43.309859154929576,0.0,27.464788732394368,-0.04199999999999998,1.145124716553288,2,1009,-0.09582894190540081,-1.6000000000000014,0.0,0.9000000000000057,0.0,0.0,0.0,0.0,,0.15,,established,23.8,0.6,1.0478730239390162,-0.02062043567993042,1.037562806099051,543.0,1.0,563.0,623.0,39,46,BAMBI,511.0,484.0,52.0,79.0,clear keep,4.0
694192,Jackson Chourio,2026,2004-03-11,OF,R,Milwaukee Brewers,114,520,475,140,27,0,23,87,67,41,2,17,5,120,2,90,0,0,7,0,0,0,0,0,125,0,22.0,515.0,23.1,7.6,0.294,0.498,0.35,0.204,0.349,0.263,0.477,0.364,0.342,0.315,0.214,0.452,0.42,0.031,0.021,0.022,91.7,12.1,33.5,12.4,47.5,102.297259831,95.731880621,63.4,34.2,58.3,85.9,24.4,48.0,30.4,44.5,31.0,20.0,4.5,7.4,74.5,14.7,26.7,47.0,9.5,65.8,20.0,28.8,4.23,31.0,54.0,54.0,355.0,73.0,67.0,jackson chourio,MIL,Jackson Chourio,MIL,"LF,CF,RF",21.2,18.0,20.0,22.0,638.0,22.3,5.5964912280701755,1.226923076923077,34,OF,False,18.0,604.9137931034483,4.622565354108978,33.086206896551744,0.9739258739611971,-16.0,False,False,1,False,71.0717024024755,29.393734174710026,1.1224244431535209,23.33713897966097,71.54001055033272,65.47318478206651,596.5131953323993,1.147140760254614,41.48680466760072,0.07978231666846303,447.0,191.0,"{'C': 382, 'SS': 527, '2B': 535, '3B': 508, '1B': 567, 'OF': 496, 'UT': 447}",1.226923076923077,0.6307692307692307,4.28220882251598,98.81422924901186,91.699604743083,91.699604743083,7.114624505928859,7.114624505928859,19.615384615384617,26.53846153846154,47.30769230769231,-0.021999999999999964,1.226923076923077,3,1682,0.0,2.6000000000000014,2.700000000000001,0.5999999999999943,39.0,1.0,68.0,0.0,,0.15,,established,35.8,0.3,1.0915682753729905,0.009846947107677376,1.096491748926829,507.0,0.946,556.0,658.0,43,21,BAMBI,511.0,484.0,45.0,72.0,clear keep,5.0
673548,Seiya Suzuki,2026,1994-08-18,OF,R,Chicago Cubs,131,579,496,134,30,1,24,91,81,76,4,3,0,138,3,79,2,0,8,0,0,0,0,0,100,29,31.0,578.0,23.9,13.0,0.27,0.48,0.369,0.21,0.326,0.247,0.427,0.368,0.34,0.344,0.18,0.44,0.394,0.023,0.053,0.028,88.5,18.1,37.4,10.5,38.8,100.173484365,94.157480914,60.0,22.5,53.2,86.1,23.7,40.2,41.3,35.5,31.0,24.9,8.6,7.2,73.4,11.3,21.5,38.0,8.7,48.8,22.0,28.0,4.4,38.0,31.0,65.0,361.0,69.6,58.4,seiya suzuki,CHC,Seiya Suzuki,CHC,"LF,RF,DH",93.6,63.0,92.0,118.0,647.0,31.9,4.938931297709924,1.1174438687392054,31,OF,False,63.0,517.1754385964912,4.026086956521739,129.82456140350882,0.9128443411881841,32.0,True,False,1,False,74.82992813536407,26.16140113692838,1.4434133200510095,20.077257407656536,75.11213090909246,67.58639085379022,580.0025217628827,1.0017314710930616,66.99747823711732,0.11571239764614383,447.0,200.0,"{'C': 382, 'SS': 527, '2B': 535, '3B': 508, '1B': 567, 'OF': 496, 'UT': 447}",1.1174438687392054,0.6062176165803109,3.0980350350368915,90.11857707509881,86.56126482213439,88.53754940711462,3.5573122529644223,1.5810276679841877,3.1088082901554404,24.870466321243523,78.75647668393783,-0.02799999999999997,1.1333333333333333,5,2844,-0.015889464594127878,-1.3000000000000007,-6.100000000000001,0.10000000000000853,16.0,1.0,41.0,0.0,,0.15,,established,33.9,0.1,0.989265021734634,-0.0496709368322177,0.9644295533185252,570.0,0.967,550.0,579.0,49,155,BAMBI,511.0,484.0,39.0,66.0,marginal,6.0
686948,Drake Baldwin,2026,2001-03-28,C,L,Atlanta Braves,126,559,499,138,18,0,23,78,74,51,8,3,1,121,1,97,2,7,0,84,0,0,0,0,0,54,25.0,554.0,21.5,9.2,0.277,0.451,0.354,0.174,0.323,0.276,0.491,0.353,0.365,0.351,0.215,0.412,0.43,0.001,-0.04,-0.012,91.5,11.7,37.2,12.5,50.8,102.23945383,95.78216984,70.1,33.9,59.9,83.7,24.8,50.6,30.6,43.6,25.8,25.5,5.1,7.3,75.3,14.4,24.6,56.9,12.1,46.5,15.0,25.9,4.45,31.0,38.0,67.0,376.0,79.9,58.6,drake baldwin,ATL,Drake Baldwin,ATL,"C,DH",101.8,69.0,81.0,119.0,595.0,25.3,4.722222222222222,1.0644007155635062,51,C,False,69.0,517.1754385964912,3.9962195873663076,77.82456140350882,0.7260026348559148,18.0,False,False,31,False,83.70744422208034,26.75687415986,1.2509190140390578,26.008762604020625,69.86209172614319,74.64171104262033,607.2368027687636,1.0862912393001138,-12.236802768763596,-0.021890523736607603,382.0,213.0,"{'C': 382, 'SS': 527, '2B': 535, '3B': 508, '1B': 567, 'OF': 496, 'UT': 447}",1.0644007155635062,0.554561717352415,1.9535417785866893,77.4703557312253,70.7509881422925,84.98023715415019,6.719367588932798,-7.509881422924892,3.220035778175313,24.686940966010734,54.74060822898032,0.01200000000000001,1.1255605381165918,2,1005,-0.06115982255308561,6.300000000000001,1.5,0.0,27.0,1.0,27.0,0.0,Strained right oblique muscle,0.15,,established,36.5,1.2,0.9932088316844025,-0.013348350577144737,0.9865346563958302,525.0,0.978,518.0,592.0,68,100,BAMBI,511.0,484.0,7.0,34.0,marginal,7.0
677951,Bobby Witt Jr.,2026,2000-06-14,SS,R,Kansas City Royals,130,576,507,142,30,1,18,84,54,62,3,40,8,98,4,93,9,0,0,0,0,0,0,127,0,3,26.0,572.0,17.0,10.8,0.28,0.451,0.36,0.171,0.314,0.305,0.516,0.349,0.385,0.373,0.212,0.386,0.435,-0.025,-0.065,-0.036,92.3,17.1,38.0,12.1,50.7,103.326226108,96.313724716,65.7,33.0,58.1,85.8,24.9,47.5,29.8,35.1,27.6,27.6,9.8,7.0,73.9,16.1,28.0,41.8,5.1,44.6,17.0,30.1,4.17,25.0,48.0,68.0,410.0,75.9,61.4,bobby witt,KC,Bobby Witt Jr.,KC,SS,3.6,3.0,3.0,4.0,684.0,26.0,5.2615384615384615,1.1875,19,SS,False,3.0,604.9137931034483,4.853393603393603,79.08620689655174,0.40814485814485835,-16.0,False,False,1,False,94.80146797472614,35.04161558785983,1.9333649001019264,22.858551537312103,90.3501430436167,70.47614132590068,753.5802843695172,1.3082991048081896,-69.58028436951724,-0.12079910480818956,447.0,237.0,"{'C': 382, 'SS': 527, '2B': 535, '3B': 508, '1B': 567, 'OF': 496, 'UT': 447}",1.1875,0.6423611111111112,4.5977123663623205,96.83794466403161,94.46640316205533,92.88537549407114,2.3715415019762816,3.9525691699604693,41.66666666666667,18.75,64.58333333333334,0.03600000000000003,1.3568406205923835,5,3298,-0.16934062059238353,-1.1999999999999993,-0.40000000000000036,-0.3999999999999915,13.0,1.0,13.0,0.0,,0.15,,established,36.3,2.2,1.2892401087894039,-0.02062043567993042,1.2789298909494387,602.0,0.99,770.0,767.0,1,1,BB,511.0,484.0,259.0,286.0,lock,1.0
660271,Shohei Ohtani,2026,1994-07-05,TWP,L,Los Angeles Dodgers,134,596,502,139,25,4,30,89,80,80,7,11,3,144,5,80,1,0,0,0,0,0,0,0,0,129,31.0,596.0,24.2,13.4,0.277,0.522,0.38,0.245,0.327,0.288,0.554,0.381,0.399,0.375,0.267,0.47,0.5,-0.011,-0.032,-0.018,93.2,12.2,38.3,15.8,51.5,103.743277389,96.674810583,66.3,30.0,52.0,77.4,31.5,46.6,47.9,42.4,30.3,24.0,3.3,7.9,74.6,14.4,25.3,49.0,13.3,49.8,27.0,27.7,4.23,33.0,41.0,65.0,363.0,78.1,59.6,shohei ohtani,LAD,Shohei Ohtani,LAD,"SP,DH",1.0,1.0,1.0,1.0,689.0,32.0,5.141791044776119,1.1560402684563758,16,UT,False,1.0,604.9137931034483,5.010416666666667,84.08620689655174,0.1313743781094523,-15.0,False,False,1,False,77.17713320398646,32.08118659748301,4.0002271930745374,31.317453005455985,88.15648493831549,85.1731607901174,715.5156457284329,1.200529606926901,-26.5156457284329,-0.044489338470525164,447.0,242.0,"{'C': 382, 'SS': 527, '2B': 535, '3B': 508, '1B': 567, 'OF': 496, 'UT': 447}",1.1560402684563758,0.6342281879194631,4.7648889837350055,94.46640316205533,92.88537549407114,94.86166007905138,1.5810276679841877,-0.3952569169960469,11.073825503355705,30.201342281879192,80.53691275167785,0.018000000000000016,1.5540355677154583,6,3958,-0.3979952992590825,-1.5,-7.699999999999999,-1.2000000000000028,16.0,1.0,16.0,0.0,,0.15,,established,36.8,4.6,1.16647245787355,-0.0496709368322177,1.141636989457441,623.0,0.987,711.0,685.0,4,11,BB,511.0,484.0,200.0,227.0,lock,2.0
665487,Fernando Tatis Jr.,2026,1999-01-02,OF,R,San Diego Padres,146,645,573,164,29,3,21,85,73,60,5,34,13,118,6,111,7,0,3,0,0,48,0,0,110,1,27.0,639.0,18.5,8.9,0.284,0.451,0.351,0.167,0.324,0.296,0.485,0.348,0.373,0.363,0.189,0.394,0.428,-0.012,-0.034,-0.025,93.0,5.4,32.7,12.4,54.0,104.721111322,97.204997225,68.0,26.5,45.7,85.2,26.6,46.3,34.4,51.0,20.3,24.6,4.1,7.4,76.4,19.0,28.0,65.1,7.2,55.9,20.0,29.0,4.31,20.0,69.0,73.0,459.0,77.1,61.9,fernando tatis,SD,Fernando Tatis Jr.,SD,"2B,RF",13.0,10.0,13.0,14.0,750.0,27.5,5.136986301369863,1.1627906976744187,3,2B/OF,False,10.0,604.9137931034483,4.787955740975875,145.08620689655174,0.34903056039398805,7.0,False,False,1,False,111.01056081967364,32.211585682117864,3.0721461767433516,23.313707321465145,93.05529062490062,76.60411421196106,783.1724048368616,1.2142207826928086,-33.172404836861574,-0.05143008501838997,447.0,303.0,"{'C': 382, 'SS': 527, '2B': 535, '3B': 508, '1B': 567, 'OF': 496, 'UT': 447}",1.1627906976744187,0.6139534883720931,5.987440757040596,95.25691699604744,88.53754940711462,97.62845849802372,6.719367588932812,-2.3715415019762816,31.627906976744185,19.53488372093023,55.81395348837209,0.025000000000000022,1.3626373626373627,5,2955,-0.199846664962944,-0.1999999999999993,1.4000000000000004,2.5,0.0,0.0,70.0,0.0,,0.15,,established,37.2,3.0,1.1881630511383625,-0.01584137658692654,1.1802423628448993,589.0,0.944,695.0,708.0,5,6,BB,511.0,484.0,184.0,211.0,lock,3.0
