mlbam_id,name,season,birth_date,primary_pos,bats,team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,HBP,SB,CS,K,SF,1B,E,CSA,AOF,g_C,g_1B,g_2B,g_3B,g_SS,g_OF,g_DH,player_age,pa_savant,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,isolated_power,babip,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,xbadiff,xslgdiff,wobadiff,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,oz_swing_percent,oz_contact_percent,iz_contact_percent,whiff_percent,swing_percent,pull_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,avg_swing_length,avg_swing_speed,blasts_swing,squared_up_swing,fast_swing_rate,attack_angle,ideal_angle_rate,swing_take_run_value,sprint_speed,hp_to_1b,b_hit_fly,b_hit_ground,b_hit_line_drive,batted_ball,meatball_swing_percent,f_strike_percent,nkey,team_abbr,adp_name,adp_team,adp_pos,adp,adp_hitter_rank,adp_nfbc,adp_fantrax,pts,age,pts_g,pts_pa,final_hitter_rank,elig,elig_next,undrafted,adp_hitter_rank_f,exp_pts,exp_pts_g,pts_over_exp,ppg_over_exp,rank_gain,beat,big_beat,produced_like_rank,bust,x1B,x2B,x3B,xHR,xR,xRBI,xLP,xLP_pa,luck_pts,luck_pa,repl_pts,LPAR,repl_levels,lp_pa,std_pa,roto_z,pct_league,pct_std_points,pct_roto,fit_vs_points,fit_vs_roto,sb_per600,hr_per600,bb_per600,xwoba_minus_woba,career_best_pa,seasons_200,career_PA,gap_to_best,prior_best_pa_x,prior_seasons_200,prior_top90_x,jump_vs_prior_x,yoy_k_change,yoy_barrel_change,yoy_bat_speed_change,il_days,il_stints,il_days_3yr,il_60,il_reasons,il_days_w,first_game,last_game,games,window_games,avail_games,il_games_in_window,pa_pace_162,g_share,days_late,late_callup,pedigree,pipeline_rank,prospect_status,PAS,BI,bi_line,bi_why,bi_skills,bi_comps,proj_rate_raw,track_rate,age_step,proj_rate,proj_PA,durability,proj_pts,proj_pts_600,proj_rank,proj_rank_600,owner,bo_status,prior_best_pa_y,jump_vs_prior_y,prior_top90_y
500743,Miguel Rojas,2026,1989-02-24,2B,R,Los Angeles Dodgers,102,240,215,58,15,0,4,22,22,14,2,1,1,25,7,39,1,0,0,0,4,48,6,27,0,3,37.0,238.0,10.5,5.9,0.268,0.394,0.309,0.126,0.277,0.278,0.389,0.306,0.309,0.32,0.111,0.313,0.316,-0.01,0.005,-0.003,86.9,14.8,36.5,5.1,35.0,98.056049688,93.04619401,68.2,32.9,69.1,91.2,16.8,49.1,34.5,43.7,23.4,23.9,9.1,7.1,69.0,11.9,33.1,5.9,6.8,43.7,0.0,26.1,4.58,8.0,19.0,30.0,197.0,71.0,62.2,miguel rojas,LAD,Miguel Rojas,LAD,"2B,3B,SS",825.0,325.0,1307.0,,205.0,37.3,2.0098039215686274,0.8541666666666666,329,2B/3B/SS,2B/SS,False,325.0,162.23,2.434073038049497,42.77000000000001,-0.4242691164808696,-4.0,False,False,276,False,45.81412401284773,8.778928422719225,0.4447711160183795,4.732176448414672,25.449752075128302,25.260360546276658,212.115112621405,0.8838129692558542,-7.11511262140499,-0.029646302589187545,462.0,-257.0,"{'C': 402, 'SS': 573, '2B': 573, '3B': 543, '1B': 580, 'OF': 519, 'UT': 462}",0.8541666666666666,0.49583333333333335,-8.310447177557544,,,,,,2.5,10.0,35.0,0.0030000000000000027,1.0,6,2363,-0.14583333333333337,1.0,5,False,-0.14583333333333337,-4.0,1.0,0.9000000000000057,0.0,0.0,16.0,0.0,,4.8,2026-03-26,2026-09-11,94.0,149.0,149.0,0.0,223.0,0.631,0.0,0.0,0.15,,established,28.0,0.2,1.08,"deserved 0.88/PA on contact quality, got 0.85 · sprint 26.1 ft/s (18th pct) · 0.85/PA this year against 1.00 at his best, two steps to clear · bat speed up 0.9 mph",xwOBA 0.309 (50th) · barrels 5.1% (29th) · EV 86.9 (23rd) · hard-hit 35% (32nd) · K 10% (98th) · BB 6% (20th) · chase 33% (33rd) · bat speed 69.0 mph (14th) · sprint 26.1 (17th),"{""n"":20,""b"":0,""c"":[[""Yuli Gurriel"",2023,39,0.84,0.83,54,0],[""Kyle Farmer"",2025,35,0.79,0.82,14,0],[""Nolan Arenado"",2025,34,0.87,0.99,561,0],[""Carlos Santana"",2025,39,0.85,0.27,7,0],[""Kyle Farmer"",2024,34,0.85,0.79,236,0]]}",0.8414307133365884,0.9013739883305101,-0.07028126483950001,0.8414307133365884,200.0,0.946,168.0,505.0,446,433,FA,established,1.0,-0.14583333333333337,False
502671,Paul Goldschmidt,2026,1987-09-10,1B,R,New York Yankees,102,370,336,85,12,1,18,44,50,29,3,1,0,85,2,54,0,0,0,0,76,0,0,0,0,13,38.0,370.0,23.0,7.8,0.253,0.455,0.316,0.202,0.285,0.24,0.419,0.333,0.314,0.301,0.179,0.402,0.372,0.013,0.036,0.019,86.7,14.7,34.8,10.3,36.4,98.705011969,93.488315613,65.2,32.4,67.5,77.2,26.2,48.3,32.0,43.1,29.6,20.2,7.1,7.5,71.3,9.9,24.0,14.5,11.6,49.3,4.0,25.5,4.73,25.0,24.0,35.0,253.0,78.3,66.3,paul goldschmidt,NYY,Paul Goldschmidt,NYY,"1B,DH",471.8,267.0,994.0,458.0,367.0,38.8,3.5980392156862746,0.9918918918918919,207,1B,1B,False,267.0,214.0,2.8399977932252014,153.0,0.7580414224610732,60.0,False,False,182,False,50.54509208282979,14.459918715561582,1.2208863203874722,14.414102881221154,40.00638342820143,45.79943116155531,342.22981458975676,0.9249454448371804,24.770185410243243,0.06694644705471142,462.0,-95.0,"{'C': 402, 'SS': 573, '2B': 573, '3B': 543, '1B': 580, 'OF': 519, 'UT': 462}",0.9918918918918919,0.518918918918919,-3.89262665368821,55.938697318007655,54.78927203065134,32.95019157088122,1.1494252873563156,22.988505747126432,1.6216216216216217,29.18918918918919,47.02702702702703,-0.019000000000000017,1.2703533026113671,6,3575,-0.2784614107194753,1.2703533026113671,5,True,-0.2784614107194753,4.300000000000001,2.3000000000000007,-1.2999999999999972,0.0,0.0,0.0,0.0,,0.0,2026-03-27,2026-09-12,100.0,151.0,151.0,0.0,358.0,0.662,2.0,0.0,0.15,,established,30.0,0.0,1.35,avg EV 86.7 (21st pct) · sprint 25.5 ft/s (9th pct) · got 0.99/PA but deserved 0.92 · barrel rate up 2.3 pts on last year,xwOBA 0.314 (58th) · barrels 10.3% (75th) · EV 86.7 (20th) · hard-hit 36% (39th) · K 23% (47th) · BB 8% (39th) · chase 32% (37th) · bat speed 71.3 mph (38th) · sprint 25.5 (9th),"{""n"":20,""b"":1,""c"":[[""Starling Marte"",2025,37,0.98,0.86,145,0],[""Justin Turner"",2024,40,0.88,0.76,145,0],[""Carlos Santana"",2025,39,0.85,0.27,7,0],[""Freddie Freeman"",2025,36,1.11,1.0,636,0],[""Jose Altuve"",2025,35,1.01,0.89,480,0]]}",0.8089107199823239,0.9590570719602978,-0.07028126483950001,0.8089107199823239,243.0,0.95,197.0,485.0,379,449,FA,established,1.2703533026113671,-0.2784614107194753,True
514888,Jose Altuve,2026,1990-05-06,2B,R,Houston Astros,128,541,494,122,24,2,15,66,44,40,3,5,3,106,3,81,5,0,0,0,0,123,0,0,0,6,36.0,537.0,19.7,7.4,0.243,0.392,0.302,0.149,0.28,0.221,0.326,0.305,0.271,0.282,0.105,0.345,0.299,0.022,0.066,0.034,85.4,10.7,32.2,4.4,31.4,96.898655661,92.455321799,63.7,36.5,66.5,86.7,21.7,48.7,42.5,46.4,22.4,23.2,8.0,7.6,68.6,7.1,28.3,9.1,14.0,54.3,-4.0,27.6,4.34,21.0,39.0,58.0,388.0,66.4,64.1,jose altuve,HOU,Jose Altuve,HOU,"2B,LF,DH",96.2,66.0,106.0,93.0,480.0,36.2,3.75,0.8872458410351202,133,2B/OF,2B,False,66.0,533.457627118644,4.033898305084746,-53.45762711864404,-0.2838983050847457,-67.0,False,False,120,False,80.57154008682103,16.283587014014305,1.370205711508313,10.948667187656357,57.516096061356464,52.65586630361192,433.38996236496837,0.8010905034472613,46.61003763503163,0.08615533758785887,462.0,18.0,"{'C': 402, 'SS': 573, '2B': 573, '3B': 543, '1B': 580, 'OF': 519, 'UT': 462}",0.8872458410351202,0.4510166358595194,-3.0472346609861507,16.091954022988507,29.118773946360154,41.37931034482759,-13.026819923371647,-25.28735632183908,5.545286506469501,16.635859519408502,44.36229205175601,-0.033999999999999975,1.2463414634146341,6,3569,-0.359095622379514,1.2463414634146341,5,True,-0.359095622379514,3.0,-1.7999999999999998,-1.1000000000000085,18.0,1.0,18.0,0.0,,18.0,2026-03-26,2026-09-12,122.0,150.0,133.0,17.0,579.0,0.917,0.0,0.0,0.15,,established,25.4,0.1,1.326,"541 PA, already has the job · avg EV 85.4 (9th pct) · got 0.89/PA but deserved 0.80",xwOBA 0.271 (14th) · barrels 4.4% (23rd) · EV 85.4 (8th) · hard-hit 31% (19th) · K 20% (67th) · BB 7% (34th) · chase 36% (17th) · bat speed 68.6 mph (10th) · sprint 27.6 (52nd),"{""n"":20,""b"":1,""c"":[[""Nick Castellanos"",2025,33,0.94,0.83,101,0],[""Marcus Semien"",2025,35,0.92,0.84,437,0],[""Nolan Arenado"",2025,34,0.87,0.99,561,0],[""Nolan Arenado"",2024,33,0.9,0.87,381,0],[""Marcus Semien"",2024,34,0.93,0.92,489,0]]}",0.8598891599891219,0.9640597539543058,-0.07069148523840774,0.8598891599891219,427.0,0.936,367.0,516.0,176,407,BAMBI,established,1.2463414634146341,-0.359095622379514,True
516782,Starling Marte,2026,1988-10-09,OF,R,Kansas City Royals,59,168,153,37,5,0,2,15,14,9,4,2,2,41,2,30,0,0,6,0,0,0,0,0,34,19,37.0,168.0,24.4,5.4,0.242,0.314,0.298,0.072,0.313,0.23,0.364,0.276,0.287,0.288,0.135,0.326,0.343,0.012,-0.05,-0.011,87.4,6.4,27.2,9.6,35.1,100.244828571,94.290100631,70.6,35.3,53.1,81.4,27.9,53.2,31.6,52.6,15.8,24.6,7.0,7.2,72.6,11.8,22.0,30.2,8.1,40.3,-7.0,25.6,4.46,3.0,18.0,15.0,114.0,79.2,65.5,starling marte,KC,,,,,,,,145.0,37.7,2.457627118644068,0.8630952380952381,387,OF,OF,True,339.0,162.23,2.434073038049497,-17.22999999999999,0.02355408059457087,-48.0,False,False,339,False,23.75445818047526,6.597063110633686,0.457499237306855,4.380979471584202,16.829824167661563,18.618192982330186,157.48301714999178,0.937398911607094,-12.483017149991781,-0.07430367351185585,462.0,-317.0,"{'C': 402, 'SS': 573, '2B': 573, '3B': 543, '1B': 580, 'OF': 519, 'UT': 462}",0.8630952380952381,0.27976190476190477,-9.785772342872573,,,,,,7.142857142857142,7.142857142857142,32.14285714285714,0.010999999999999954,,5,2239,,1.355513307984791,5,True,-0.49241806988955283,3.6999999999999993,1.6999999999999993,-0.10000000000000853,0.0,0.0,68.0,0.0,,24.6,2026-03-27,2026-08-15,59.0,132.0,132.0,0.0,190.0,0.447,0.0,0.0,0.15,,established,30.9,0.2,0.943,"deserved 0.94/PA on contact quality, got 0.86 · avg EV 87.4 (32nd pct) · sprint 25.6 ft/s (10th pct)",xwOBA 0.287 (25th) · barrels 9.6% (69th) · EV 87.4 (30th) · hard-hit 35% (33rd) · K 24% (37th) · BB 5% (15th) · chase 35% (23rd) · bat speed 72.6 mph (60th) · sprint 25.6 (10th),"{""n"":20,""b"":0,""c"":[[""Kyle Farmer"",2025,35,0.79,0.82,14,0],[""Miguel Rojas"",2025,36,0.91,0.85,205,0],[""Andrew McCutchen"",2024,38,0.93,0.85,469,0],[""Christian V\u00e1zquez"",2025,35,0.84,0.86,226,0],[""Elias D\u00edaz"",2025,35,0.85,0.93,214,0]]}",0.8655663347420736,0.9605373635600337,-0.07028126483950001,0.8655663347420736,200.0,0.931,173.0,519.0,437,399,FA,established,1.355513307984791,-0.49241806988955283,True
518692,Freddie Freeman,2026,1989-09-12,1B,L,Los Angeles Dodgers,147,633,555,161,32,1,16,74,67,66,5,7,0,109,7,112,1,0,0,0,146,0,0,0,0,1,36.0,628.0,17.2,10.5,0.293,0.442,0.369,0.149,0.335,0.29,0.465,0.355,0.366,0.367,0.175,0.389,0.404,0.003,-0.023,-0.011,89.5,12.3,38.8,8.0,41.0,99.870727545,94.178666264,73.8,28.8,64.4,82.8,22.8,50.0,33.4,42.5,26.5,27.6,3.3,6.7,70.2,10.2,25.9,7.7,7.6,42.7,15.0,25.3,4.7,29.0,42.0,88.0,449.0,87.1,55.9,freddie freeman,LAD,Freddie Freeman,LAD,1B,50.4,37.0,61.0,49.0,636.0,36.8,4.326530612244898,1.004739336492891,42,1B,1B,False,37.0,610.0,4.555269487749163,26.0,-0.22873887550426453,-5.0,False,False,1,False,105.50052262369013,33.71445667365065,1.7945187816282422,19.940501921030954,74.91278871611301,78.4492599526618,663.3870486687747,1.048004816222393,-27.387048668774696,-0.04326547972950201,462.0,174.0,"{'C': 402, 'SS': 573, '2B': 573, '3B': 543, '1B': 580, 'OF': 519, 'UT': 462}",1.004739336492891,0.5497630331753555,1.0323159125082095,59.00383141762452,68.5823754789272,78.9272030651341,-9.578544061302686,-19.923371647509576,6.6350710900473935,15.165876777251185,62.55924170616113,0.01100000000000001,1.3164383561643835,6,4031,-0.3116990196714926,1.3164383561643835,5,True,-0.3116990196714926,-3.1999999999999993,-2.4000000000000004,0.4000000000000057,0.0,0.0,8.0,0.0,,4.8,2026-03-26,2026-09-12,141.0,149.0,149.0,0.0,604.0,0.946,0.0,0.0,0.15,,established,31.9,0.4,1.396,"633 PA, already has the job · deserved 1.05/PA on contact quality, got 1.00 · avg EV 89.5 (66th pct)",xwOBA 0.366 (95th) · barrels 8.0% (56th) · EV 89.5 (64th) · hard-hit 41% (62nd) · K 17% (80th) · BB 10% (72nd) · chase 29% (62nd) · bat speed 70.2 mph (26th) · sprint 25.3 (7th),"{""n"":20,""b"":1,""c"":[[""Paul Goldschmidt"",2025,38,0.94,0.99,367,0],[""Marcus Semien"",2025,35,0.92,0.84,437,0],[""Paul Goldschmidt"",2024,37,0.93,0.94,502,0],[""Salvador Perez"",2025,35,0.98,0.85,511,0],[""Mookie Betts"",2025,33,0.98,1.01,503,0]]}",0.9149586228372185,1.049975012493753,-0.07028126483950001,0.9149586228372185,482.0,0.946,441.0,549.0,110,300,MMM,established,1.3164383561643835,-0.3116990196714926,True
521692,Salvador Perez,2026,1990-05-10,DH,R,Kansas City Royals,145,600,555,125,23,1,19,48,72,23,13,1,0,115,7,82,4,12,0,44,24,0,0,0,0,76,36.0,599.0,19.0,3.8,0.226,0.374,0.27,0.148,0.248,0.245,0.427,0.279,0.309,0.287,0.182,0.319,0.359,-0.019,-0.053,-0.03,89.0,15.7,34.7,10.1,42.7,100.281673973,94.330396309,72.1,45.0,61.9,86.1,25.2,56.3,40.0,38.5,30.2,24.8,6.5,7.7,71.7,11.4,24.6,19.1,11.3,56.8,-15.0,23.7,4.98,30.0,30.0,65.0,447.0,77.5,64.9,salvador perez,KC,Salvador Perez,KC,"C,1B,DH",95.0,64.0,84.0,113.0,511.0,36.1,3.524137931034483,0.8516666666666667,117,C/1B,C/1B,False,64.0,533.457627118644,4.0394736842105265,-22.45762711864404,-0.5153357531760436,-53.0,False,False,120,False,82.19523722333633,29.23149439854881,1.8662995328933716,22.68196884522148,57.53487146621273,77.79733769699862,567.2922091632113,0.9454870152720188,-56.29220916321128,-0.09382034860535216,402.0,109.0,"{'C': 402, 'SS': 573, '2B': 573, '3B': 543, '1B': 580, 'OF': 519, 'UT': 462}",0.8516666666666667,0.3933333333333333,-3.5076562089964876,8.045977011494253,13.026819923371647,34.86590038314176,-4.980842911877394,-26.819923371647512,1.0,19.0,23.0,0.02999999999999997,1.1924812030075187,6,3611,-0.340814536340852,1.1924812030075187,5,True,-0.340814536340852,-0.5,-4.700000000000001,-1.2000000000000028,0.0,0.0,0.0,0.0,,0.0,2026-03-27,2026-09-12,139.0,150.0,150.0,0.0,578.0,0.927,0.0,0.0,0.15,,established,31.4,0.2,1.272,"600 PA, already has the job · deserved 0.95/PA on contact quality, got 0.85 · avg EV 89.0 (58th pct)",xwOBA 0.309 (50th) · barrels 10.1% (73rd) · EV 89.0 (56th) · hard-hit 43% (72nd) · K 19% (71st) · BB 4% (5th) · chase 45% (1st) · bat speed 71.7 mph (45th) · sprint 23.7 (0th),"{""n"":20,""b"":1,""c"":[[""Paul Goldschmidt"",2025,38,0.94,0.99,367,0],[""Marcell Ozuna"",2025,35,0.9,0.76,213,0],[""Paul Goldschmidt"",2024,37,0.93,0.94,502,0],[""Tommy Pham"",2024,36,0.88,0.92,412,0],[""Marcus Semien"",2025,35,0.92,0.84,437,0]]}",0.9034122638843339,0.9207761396373496,-0.07069148523840774,0.9034122638843339,449.0,0.95,406.0,542.0,138,328,Dan,established,1.1924812030075187,-0.340814536340852,True
542303,Marcell Ozuna,2026,1990-11-12,DH,R,Pittsburgh Pirates,70,280,251,51,7,0,8,22,29,27,2,0,0,80,0,36,0,0,0,0,0,0,0,0,0,66,35.0,280.0,28.6,9.6,0.203,0.327,0.286,0.124,0.264,0.221,0.389,0.276,0.304,0.3,0.168,0.335,0.382,-0.018,-0.062,-0.028,89.1,20.3,38.6,7.7,36.8,99.258350119,93.737043155,61.3,26.7,48.6,80.8,30.1,42.6,38.0,33.9,28.1,26.3,11.7,7.5,73.5,8.9,20.3,36.9,15.8,48.5,-12.0,24.7,4.88,12.0,10.0,29.0,171.0,62.2,58.4,marcell ozuna,PIT,Marcell Ozuna,,,288.0,172.0,304.0,220.0,213.0,35.6,3.0428571428571427,0.7607142857142857,320,UT,UT,False,172.0,370.90909090909093,3.409844054580897,-157.90909090909093,-0.3669869117237541,-148.0,False,False,271,True,33.36023879108788,11.704184724684174,0.7559141773680371,9.650662306859916,28.129227177525358,33.98916295879208,244.22839013631744,0.8722442504868481,-31.228390136317444,-0.11152996477256238,462.0,-249.0,"{'C': 402, 'SS': 573, '2B': 573, '3B': 543, '1B': 580, 'OF': 519, 'UT': 462}",0.7607142857142857,0.2857142857142857,-8.829755246695232,,,,,,0.0,17.142857142857142,57.85714285714286,0.02799999999999997,1.1570945945945945,6,2867,-0.39638030888030884,1.1570945945945945,5,True,-0.39638030888030884,4.300000000000001,-3.8,0.7000000000000028,0.0,0.0,0.0,0.0,,0.0,2026-03-26,2026-08-01,70.0,122.0,122.0,0.0,342.0,0.574,0.0,0.0,0.15,,established,31.6,0.1,1.237,"deserved 0.87/PA on contact quality, got 0.76 · avg EV 89.1 (59th pct) · only 280 PA, and a breakout needs 350 next year",xwOBA 0.304 (45th) · barrels 7.7% (54th) · EV 89.1 (57th) · hard-hit 37% (41st) · K 29% (18th) · BB 10% (61st) · chase 27% (72nd) · bat speed 73.5 mph (71st) · sprint 24.7 (2nd),"{""n"":20,""b"":0,""c"":[[""Joc Pederson"",2025,33,0.76,1.01,438,0],[""Brandon Crawford"",2023,36,0.76,0.61,49,0],[""Mitch Garver"",2025,34,0.86,0.85,126,0],[""Tommy Pham"",2024,36,0.88,0.92,412,0],[""Randal Grichuk"",2025,34,0.86,1.13,292,0]]}",0.8145395187276073,0.9168250950570344,-0.07069148523840774,0.8145395187276073,260.0,0.95,212.0,489.0,350,445,FA,established,1.1570945945945945,-0.39638030888030884,True
543309,Kyle Higashioka,2026,1990-04-20,C,R,Texas Rangers,58,186,165,36,4,0,7,20,18,19,2,0,0,47,0,25,7,7,0,48,0,0,0,0,0,6,36.0,186.0,25.3,10.2,0.218,0.37,0.306,0.152,0.261,0.219,0.351,0.303,0.295,0.307,0.133,0.353,0.341,-0.001,0.019,0.008,88.2,17.3,35.6,8.5,38.1,99.114666552,93.791557241,58.3,31.1,50.4,87.0,26.3,44.2,38.1,33.9,28.0,28.0,10.2,7.3,71.0,8.9,24.9,11.3,12.7,48.8,-2.0,24.6,4.89,9.0,6.0,21.0,118.0,69.1,65.1,kyle higashioka,TEX,,,,,,,,163.0,36.2,2.810344827586207,0.8763440860215054,361,C,C,True,339.0,162.23,2.434073038049497,0.7700000000000102,0.3762717895367098,-22.0,False,False,283,False,24.81764363506317,5.7949047648317755,0.4172595651469348,5.105192034958119,17.780099103734003,20.78570163571551,160.78080073944952,0.8644129072013415,2.2191992605504822,0.011931178820163924,402.0,-239.0,"{'C': 402, 'SS': 573, '2B': 573, '3B': 543, '1B': 580, 'OF': 519, 'UT': 462}",0.8763440860215054,0.3817204301075269,-9.163054414393981,,,,,,0.0,22.580645161290324,61.29032258064517,-0.008000000000000007,,5,1495,,1.0760456273764258,5,False,-0.19970154135492046,3.3000000000000007,-0.09999999999999964,0.09999999999999432,164.0,1.0,176.0,0.0,,171.2,2026-03-26,2026-07-20,56.0,106.0,56.0,50.0,495.0,1.0,0.0,0.0,0.15,,established,29.2,0.2,0.956,"sprint 24.6 ft/s (2nd pct) · 1,495 career PA, a known quantity · only 186 PA, and a breakout needs 350 next year",xwOBA 0.295 (34th) · barrels 8.5% (61st) · EV 88.2 (44th) · hard-hit 38% (48th) · K 25% (32nd) · BB 10% (69th) · chase 31% (45th) · bat speed 71.0 mph (34th) · sprint 24.6 (2nd),"{""n"":20,""b"":0,""c"":[[""James McCann"",2024,34,0.97,1.03,141,0],[""Kyle Farmer"",2024,34,0.85,0.79,236,0],[""Austin Barnes"",2024,34,0.84,0.73,32,0],[""Kyle Farmer"",2025,35,0.79,0.82,14,0],[""Donovan Solano"",2024,36,0.95,0.78,139,0]]}",0.813003649887684,0.9709390587725004,-0.07069148523840774,0.813003649887684,200.0,0.82,163.0,488.0,450,447,FA,established,1.0760456273764258,-0.19970154135492046,False
543510,James McCann,2026,1990-06-13,C,R,Arizona Diamondbacks,48,152,142,40,6,0,5,15,24,6,1,0,0,39,1,29,2,7,0,41,6,0,0,0,0,0,36.0,152.0,25.7,3.9,0.282,0.43,0.313,0.148,0.354,0.229,0.39,0.324,0.285,0.265,0.161,0.419,0.364,0.053,0.04,0.039,89.3,10.2,34.9,8.5,43.4,100.573415,94.790271068,63.5,40.1,46.3,85.6,30.9,51.0,31.1,49.1,23.6,23.6,3.8,7.0,72.0,11.2,26.5,23.7,10.6,43.6,0.0,25.3,4.82,7.0,16.0,17.0,106.0,70.7,65.8,james mccann,ARI,James McCann,ARI,"C,1B",851.0,337.0,1235.0,,159.0,36.0,3.3125,1.0460526315789473,370,C,C,False,337.0,162.23,2.434073038049497,-3.2299999999999898,0.878426961950503,-33.0,False,False,339,False,20.230735617062187,6.773387024475327,0.4530190998627858,5.060858258599701,14.951767389692424,18.174717451253983,140.0244848409464,0.9212137160588579,18.9755151590536,0.12483891552008941,402.0,-243.0,"{'C': 402, 'SS': 573, '2B': 573, '3B': 543, '1B': 580, 'OF': 519, 'UT': 462}",1.0460526315789473,0.4407894736842105,-8.574205566656044,,,,,,0.0,19.736842105263158,23.684210526315788,-0.039000000000000035,,3,1351,,,3,False,0.6960526315789474,,,,48.0,1.0,48.0,0.0,Strained right quad,48.0,2026-03-28,2026-09-11,46.0,148.0,103.0,45.0,214.0,0.447,2.0,0.0,0.15,,established,30.6,0.2,1.126,"avg EV 89.3 (63rd pct) · 1,351 career PA, a known quantity · sprint 25.3 ft/s (8th pct)",xwOBA 0.285 (23rd) · barrels 8.5% (61st) · EV 89.3 (61st) · hard-hit 43% (74th) · K 26% (30th) · BB 4% (6th) · chase 40% (7th) · bat speed 72.0 mph (51st) · sprint 25.3 (7th),"{""n"":20,""b"":0,""c"":[[""Jason Heyward"",2024,35,0.99,0.68,65,0],[""Kyle Higashioka"",2024,34,1.08,1.02,333,0],[""Kyle Higashioka"",2025,35,1.02,0.88,163,0],[""Robinson Chirinos"",2021,37,1.03,0.75,166,0],[""Jacob Stallings"",2024,34,1.07,0.6,78,0]]}",0.8459834974955653,1.0207300585849484,-0.07069148523840774,0.8459834974955653,200.0,0.914,169.0,508.0,444,427,FA,established,,0.6960526315789474,False
543760,Marcus Semien,2026,1990-09-17,2B,R,New York Mets,133,523,471,104,14,1,14,53,48,44,2,10,2,100,5,75,6,0,0,0,0,133,0,0,0,0,35.0,518.0,19.3,8.1,0.22,0.344,0.284,0.124,0.248,0.245,0.379,0.28,0.303,0.307,0.134,0.305,0.337,-0.025,-0.035,-0.023,86.6,18.9,34.0,5.9,33.2,96.967680649,92.513239649,72.0,27.3,54.0,85.3,23.3,49.7,47.6,36.9,32.1,22.7,8.3,7.8,68.6,6.9,28.7,2.7,15.3,58.2,-15.0,28.2,4.43,22.0,36.0,45.0,374.0,78.3,68.7,marcus semien,NYM,Marcus Semien,NYM,2B,203.8,121.0,238.0,183.0,437.0,35.8,3.2857142857142856,0.8355640535372849,164,2B,2B,False,121.0,455.0,3.7478991596638656,-18.0,-0.46218487394957997,-43.0,False,False,132,False,82.37655358957441,17.2815127199718,1.3783137913331351,14.358619899120646,62.47194421136135,54.70292260164335,481.0788668130047,0.919844869623336,-44.07886681300471,-0.08428081608605109,462.0,-25.0,"{'C': 402, 'SS': 573, '2B': 573, '3B': 543, '1B': 580, 'OF': 519, 'UT': 462}",0.8355640535372849,0.4149139579349904,-4.243374536264355,4.597701149425287,18.773946360153257,29.118773946360154,-14.17624521072797,-24.521072796934867,11.47227533460803,16.061185468451242,50.478011472275334,0.022999999999999965,1.1685082872928176,6,3976,-0.3329442337555327,1.1685082872928176,5,True,-0.3329442337555327,1.9000000000000021,-0.8999999999999995,0.09999999999999432,21.0,1.0,57.0,0.0,Left hip flexor strain,42.599999999999994,2026-03-26,2026-09-12,128.0,152.0,134.0,18.0,557.0,0.955,0.0,0.0,0.15,,established,26.9,0.3,1.249,"deserved 0.92/PA on contact quality, got 0.84 · 523 PA, already has the job · sprint 28.2 ft/s (71st pct)",xwOBA 0.303 (44th) · barrels 5.9% (36th) · EV 86.6 (19th) · hard-hit 33% (26th) · K 19% (69th) · BB 8% (44th) · chase 27% (69th) · bat speed 68.6 mph (10th) · sprint 28.2 (70th),"{""n"":20,""b"":1,""c"":[[""Paul Goldschmidt"",2025,38,0.94,0.99,367,0],[""Nick Castellanos"",2025,33,0.94,0.83,101,0],[""George Springer"",2024,35,0.93,1.29,755,1],[""Nolan Arenado"",2025,34,0.87,0.99,561,0],[""J.T. Realmuto"",2025,34,1.01,0.91,402,0]]}",0.8882611963361697,0.8788250850018889,-0.07069148523840774,0.8882611963361697,395.0,0.918,351.0,533.0,191,360,FA,established,1.1685082872928176,-0.3329442337555327,True
