mlbam_id,name,season,birth_date,throws,team,G,GS,IP,K,BB,ER,H,HR,CG,SHO,BS,SV,HLD,W,L,ERA,WHIP,BF,pitches,QS,k_minus_bb,whiff_pct_adv,pitches_per_ip,gb_pct,babip,pts,pts_gs,pts_ip,age,is_sp,nkey,player_age,pa_savant,k_percent,bb_percent,xba,xslg,woba,xwoba,xera,xobp,xiso,wobacon,xwobacon,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,iz_contact_percent,in_zone_percent,edge_percent,meatball_percent,meatball_swing_percent,whiff_percent,swing_percent,f_strike_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,pull_percent,swing_take_run_value,pitch_run_value_fastball,pitch_run_value_breaking,pitch_run_value_offspeed,pitch_count,pitch_count_fastball,pitch_count_breaking,pitch_count_offspeed,p_quality_start,p_era,throws_sv,n_pitches_10,arsenal_whiff,arsenal_putaway,arsenal_xwoba,arsenal_rv100,best_pitch_whiff,best_pitch_rv100,n_plus_pitches,best_pitch,arsenal_desc,fb_velo,ff_avg_speed,si_avg_speed,movement_uniqueness,sp_rank,il_days,il_stints,il_days_3yr,il_60,il_reasons,il_days_w,stuff_plus,location_plus,pitching_plus,pitching_plus_raw,career_best_gs,seasons_10gs,career_GS,gap_to_best,yoy_stuff_change,yoy_velo_change,BI,track3,ip_gs_last,comeback,proj_pts_gs_raw,age_step,proj_pts_gs,proj_GS,durability,proj_pts,proj_rank,proj_rank_gs,owner,proj_pts_hitting,proj_pts_total,KSV,KSV_2nd,proj_sd,rank_lo,rank_hi,n_tied,keep_tier,kept_2026_as,likely_kept,pool_rank
519242,Chris Sale,2026,1989-03-30,L,Atlanta Braves,26,26,157.0,190,31,38,125,9,1,1,0,0,0,14,9,2.18,0.99,627,2477,19,0.254,0.299,15.78,0.0,0.304,403.0,15.5,2.56687898089172,37.3,True,chris sale,37.0,627.0,30.3,4.9,0.22,0.331,0.259,0.271,3.06,0.277,0.111,0.333,0.351,87.9,11.5,34.4,6.1,35.2,77.061917333,64.9,18.8,36.3,49.3,50.7,81.2,49.5,44.3,6.7,71.3,29.9,50.5,64.8,44.9,23.7,25.3,6.1,38.0,33.0,16.427520444424175,12.415783829457583,4.396247529125928,2477.0,1230.0,987.0,260.0,19.0,2.18,L,3.0,30.088399985446404,21.748999985704007,0.271181000054276,1.2996000010016,38.0,2.2,4.0,Sinker,"4-Seam Fastball 41% (26% whiff), Slider 40% (38% whiff), Changeup 10% (31% whiff), Sinker 9% (11% whiff)",96.1,96.1,95.6,6.330682271125192,6.0,0.0,0.0,23.0,0.0,,13.799999999999999,117.4,121.5,119.9,12.571538995442866,15.5,4,104,0.0,1.0,1.2999999999999972,0.3,14.403408700907377,6.04,False,13.203965156458098,-0.8754976809580736,12.328467475500025,26.0,0.93,321.0,8,13,MMM,0.0,321.0,79.0,94.0,108.0,4.0,92.0,28.0,clear keep,,False,1
676917,Cade Cavalli,2026,1998-08-14,R,Washington Nationals,32,32,169.66666666666666,200,48,57,148,18,0,0,0,0,0,13,5,3.02,1.16,706,2777,18,0.215,0.274,16.37,0.0,0.307,384.66666666666663,12.020833333333332,2.267190569744597,27.9,True,cade cavalli,27.0,706.0,28.3,6.8,0.232,0.361,0.292,0.296,3.68,0.302,0.129,0.365,0.371,89.3,8.2,32.6,7.0,40.5,78.545867661,63.9,15.6,32.1,49.9,50.1,84.4,48.9,40.0,8.1,74.7,27.4,47.6,62.2,50.7,24.2,21.3,3.8,38.0,12.0,0.5419031147255909,14.821611936942535,-2.905707850294576,2777.0,1426.0,1138.0,212.0,18.0,3.02,R,4.0,27.973473463322485,22.16676675335275,0.2992912913936459,0.38128128169400627,39.2,1.9,3.0,Sweeper,"4-Seam Fastball 32% (23% whiff), Curveball 27% (39% whiff), Sweeper 14% (37% whiff), Sinker 12% (12% whiff), Changeup 8% (28% whiff), Cutter 6% (20% whiff)",96.8,96.8,96.1,3.4808361086431003,9.0,0.0,0.0,233.0,0.0,,83.7,108.8,98.1,108.6,10.938032152441883,12.020833333333332,2,42,0.0,,,9.0,12.257831766578475,5.3,False,11.513190533571558,-0.05640270998662773,11.45678782358493,27.0,1.0,309.0,12,27,CS,0.0,309.0,67.0,82.0,105.0,5.0,105.0,33.0,clear keep,,False,2
669302,Logan Gilbert,2026,1997-05-05,R,Seattle Mariners,30,30,178.0,194,46,73,143,28,0,0,0,0,0,12,10,3.69,1.06,713,2841,14,0.208,0.305,15.96,0.0,0.266,355.0,11.833333333333334,1.9943820224719102,29.2,True,logan gilbert,29.0,713.0,27.2,6.5,0.227,0.386,0.297,0.294,3.63,0.284,0.158,0.376,0.371,89.6,16.5,36.3,10.1,41.0,79.052558821,69.1,21.2,32.6,49.2,50.8,78.8,48.7,41.7,7.3,77.3,30.5,50.4,67.3,39.3,28.8,23.8,8.2,42.1,14.0,8.1603346927089,5.321024745270508,0.35904032254151286,2841.0,1300.0,919.0,621.0,14.0,3.69,R,3.0,30.34648594670792,20.629819276225987,0.29942369464805,0.5256024078778971,40.5,0.9,3.0,Slider,"4-Seam Fastball 40% (23% whiff), Slider 25% (37% whiff), Split-Finger 14% (40% whiff), Changeup 7% (33% whiff), Sweeper 7% (36% whiff), Cutter 6% (16% whiff)",96.3,96.3,93.0,3.3238287000973807,15.0,0.0,0.0,51.0,0.0,,30.599999999999998,113.8,109.8,114.8,11.829124250103357,13.686868686868685,6,176,-1.8535353535353511,-0.9000000000000057,0.8999999999999915,0.4,11.761535138340943,5.93,False,11.706736767134624,-0.13787329107842353,11.5688634760562,26.0,1.0,301.0,14,25,BB,0.0,301.0,59.0,74.0,103.0,6.0,107.0,38.0,clear keep,,False,3
801139,Payton Tolle,2026,2002-11-01,L,Boston Red Sox,25,25,143.0,166,38,48,115,15,0,0,0,0,0,9,6,3.02,1.07,575,2191,13,0.223,0.281,15.32,0.0,0.286,313.0,12.52,2.1888111888111887,23.7,True,payton tolle,23.0,575.0,28.9,6.6,0.196,0.312,0.282,0.253,2.66,0.255,0.115,0.362,0.316,87.6,17.9,30.9,6.3,34.7,76.287633258,72.3,21.2,36.5,43.4,56.6,78.8,52.7,43.0,8.0,82.9,28.1,55.4,65.9,37.4,27.3,22.7,12.6,38.0,16.0,14.685351034421705,2.0960412386034606,-0.5756524151508045,2191.0,1922.0,204.0,65.0,13.0,3.02,L,3.0,27.742636465117876,23.977239961988715,0.25525849633261183,0.6933058705734053,43.4,1.8,3.0,Cutter,"4-Seam Fastball 45% (30% whiff), Sinker 23% (17% whiff), Cutter 20% (28% whiff), Curveball 10% (43% whiff)",96.1,96.1,95.0,2.189355613945107,33.0,0.0,0.0,0.0,0.0,,0.0,114.2,114.9,116.0,12.010663025842485,12.52,1,28,0.0,,,38.8,12.587722983026808,5.72,False,12.15163279396675,0.2068099366176354,12.358442730584384,24.0,1.0,297.0,15,11,BB,0.0,297.0,55.0,70.0,102.0,6.0,111.0,40.0,clear keep,,False,4
800048,Parker Messick,2026,2000-10-26,L,Cleveland Guardians,30,30,178.33333333333334,186,47,51,138,17,0,0,0,0,0,12,9,2.57,1.04,711,2788,14,0.195,0.26,15.63,0.0,0.267,369.33333333333337,12.311111111111112,2.0710280373831775,25.7,True,parker messick,25.0,711.0,26.2,6.6,0.222,0.339,0.27,0.273,3.11,0.276,0.117,0.332,0.336,87.4,14.5,31.4,5.1,33.8,76.073212155,67.1,18.2,31.5,40.9,59.1,81.8,47.5,41.4,6.9,76.0,26.0,48.4,60.8,44.9,22.2,21.9,11.0,36.3,30.0,36.41766485757121,-10.732102577496855,3.8635127231698636,2788.0,1713.0,424.0,651.0,14.0,2.57,L,3.0,24.701687751151436,19.770253141190647,0.27289662464400516,1.2303797418228914,35.9,2.9,3.0,Sinker,"4-Seam Fastball 41% (26% whiff), Changeup 23% (36% whiff), Sinker 15% (9% whiff), Curveball 9% (11% whiff), Slider 6% (29% whiff)",94.3,94.3,92.7,4.166654331425906,13.0,0.0,0.0,0.0,0.0,,0.0,108.3,102.6,108.7,10.953895967522916,12.311111111111112,1,37,0.0,,,4.2,11.755618176194531,5.94,False,11.300903782484445,0.0814705810917958,11.382374363576242,25.0,1.0,285.0,18,29,BAMBI,0.0,285.0,43.0,58.0,99.0,8.0,116.0,48.0,clear keep,,False,5
693433,Bryan Woo,2026,2000-01-30,R,Seattle Mariners,29,29,167.66666666666666,167,36,73,145,18,0,0,0,0,0,12,9,3.92,1.08,684,2561,16,0.192,0.249,15.27,0.0,0.279,325.66666666666663,11.229885057471263,1.9423459244532801,26.4,True,bryan woo,26.0,684.0,24.4,5.3,0.238,0.384,0.281,0.293,3.6,0.285,0.145,0.343,0.36,89.4,16.4,35.9,7.0,42.8,78.600665297,71.1,16.4,34.5,43.5,56.5,83.6,51.3,44.4,7.3,79.0,24.9,53.3,68.9,38.6,27.6,23.8,9.9,38.2,21.0,17.296892697025,-1.9426771430794152,5.881231415325579,2561.0,1693.0,704.0,164.0,16.0,3.92,R,4.0,24.49928644485583,19.12313966022865,0.2969418958912238,0.8985728859399957,34.7,3.7,3.0,Changeup,"4-Seam Fastball 47% (25% whiff), Sinker 19% (12% whiff), Slider 15% (33% whiff), Sweeper 11% (35% whiff), Changeup 6% (20% whiff)",96.1,96.1,95.9,1.9703131603789559,28.0,0.0,0.0,60.0,0.0,,18.0,104.9,121.7,107.6,10.800707554053437,13.588888888888887,4,99,-2.359003831417624,-5.699999999999989,0.3999999999999915,0.3,11.353162328620598,5.78,False,11.054348878763042,0.03760180665775197,11.091950685420795,25.0,1.0,277.0,21,33,BB,0.0,277.0,35.0,50.0,97.0,8.0,119.0,59.0,clear keep,pitcher,False,6
594798,Jacob deGrom,2026,1988-06-19,R,Texas Rangers,30,30,158.66666666666666,196,43,68,131,20,0,0,0,0,0,11,10,3.86,1.1,645,2646,12,0.237,0.336,16.68,0.0,0.291,334.66666666666663,11.155555555555555,2.1092436974789917,38.0,True,jacob degrom,38.0,645.0,30.4,6.7,0.225,0.37,0.279,0.284,3.37,0.276,0.144,0.371,0.379,90.4,16.3,37.2,7.9,44.9,80.4111792,71.3,19.8,35.2,57.0,43.0,80.2,45.5,44.1,5.9,81.3,33.6,51.6,63.7,36.7,27.0,27.5,8.7,40.4,19.0,3.6869854435754803,13.732959318673633,1.6172859496199063,2646.0,1193.0,1093.0,360.0,12.0,3.86,R,3.0,34.87837282562977,23.238105053602037,0.28543460346370914,0.9219361463565968,46.9,2.1,3.0,Slider,"4-Seam Fastball 42% (25% whiff), Slider 36% (41% whiff), Changeup 13% (47% whiff), Curveball 6% (40% whiff)",97.4,97.4,96.6,2.177993533718123,23.0,0.0,0.0,175.0,0.0,,52.5,118.6,116.6,120.3,12.633197355738217,19.266666666666666,4,95,-8.11111111111111,2.5999999999999943,-0.09999999999999432,0.6,11.629142057147941,5.29,False,12.01930943296019,-0.9893664553921179,11.029942977568073,24.0,0.93,265.0,23,35,MMM,0.0,265.0,23.0,38.0,93.0,10.0,126.0,66.0,marginal,,False,7
686613,Hunter Brown,2026,1998-08-29,R,Houston Astros,19,19,102.0,120,51,37,79,11,0,0,0,0,0,6,3,3.26,1.27,427,1781,7,0.162,0.272,17.46,0.0,0.282,213.0,11.210526315789474,2.088235294117647,27.8,True,hunter brown,27.0,427.0,28.1,11.9,0.197,0.311,0.294,0.279,3.25,0.3,0.114,0.344,0.32,86.2,5.1,27.4,6.0,37.3,74.02051752,60.2,18.0,28.0,43.4,56.6,82.0,45.0,40.7,5.9,74.3,27.2,42.5,56.9,56.7,22.2,16.3,4.8,38.1,5.0,13.169907342770767,-5.002720158489017,-2.679025946750212,1781.0,1114.0,507.0,160.0,7.0,3.26,R,3.0,25.747247257220984,20.532832828764604,0.2821081082136731,0.09759759430631847,38.5,1.3,2.0,Sinker,"4-Seam Fastball 32% (22% whiff), Sinker 30% (21% whiff), Curveball 19% (34% whiff), Slider 10% (23% whiff), Changeup 10% (38% whiff)",96.2,96.2,96.0,2.7325376892795226,87.0,72.0,1.0,72.0,0.0,,72.0,106.9,87.9,105.4,10.48287231241527,14.043010752688174,4,111,-2.8324844368986994,-7.8999999999999915,-0.3999999999999915,0.3,12.598426577653166,5.37,False,11.45241078590124,-0.050135742210335885,11.402275043690905,23.0,1.0,262.0,25,28,MMM,0.0,262.0,20.0,35.0,93.0,10.0,132.0,69.0,marginal,,False,8
656876,Drew Rasmussen,2026,1995-07-27,R,Tampa Bay Rays,29,29,165.33333333333334,163,29,50,124,14,0,0,0,0,0,15,5,2.72,0.93,645,2546,17,0.208,0.247,15.4,0.0,0.255,346.33333333333337,11.942528735632186,2.094758064516129,30.9,True,drew rasmussen,30.0,645.0,25.3,4.5,0.231,0.348,0.247,0.274,3.13,0.273,0.117,0.3,0.339,88.3,12.7,32.5,5.8,34.1,77.665921312,67.5,15.1,33.1,44.3,55.7,84.9,49.9,42.4,8.6,79.5,24.7,50.2,67.3,45.3,23.1,24.7,7.0,39.9,38.0,32.67267524274746,-1.0376697255526852,6.052244378563246,2546.0,2058.0,156.0,332.0,17.0,2.72,R,4.0,24.37342583138346,19.533724653538,0.2663703308041822,1.5828175031683351,34.5,2.9,4.0,Sinker,"Cutter 29% (25% whiff), 4-Seam Fastball 28% (26% whiff), Sinker 23% (16% whiff), Changeup 13% (34% whiff)",95.9,95.9,95.3,4.837408905458137,17.0,0.0,0.0,168.0,0.0,,50.4,108.7,110.7,110.1,11.156444994175777,12.5,4,110,-0.5574712643678144,4.0,0.10000000000000853,5.2,10.974565111861285,5.7,False,11.052704770066084,-0.24441174327538714,10.808293026790697,24.0,1.0,259.0,26,40,GLIZZY,0.0,259.0,17.0,32.0,92.0,10.0,136.0,69.0,marginal,,False,9
650633,Michael King,2026,1995-05-25,R,San Diego Padres,31,31,181.0,154,68,61,142,20,0,0,0,0,0,12,9,3.03,1.16,736,2900,18,0.117,0.246,16.02,0.0,0.255,346.0,11.161290322580646,1.9116022099447514,31.1,True,michael king,31.0,736.0,20.9,9.2,0.239,0.403,0.292,0.321,4.39,0.323,0.164,0.317,0.359,87.0,14.2,33.7,8.4,32.7,75.914955755,64.7,17.3,30.4,38.2,61.8,82.7,46.6,43.6,6.0,72.6,24.6,46.4,64.0,45.1,26.7,20.6,7.6,39.7,20.0,0.024182623694977617,8.857386439796832,10.775302440095533,2900.0,1387.0,733.0,780.0,18.0,3.03,R,4.0,24.515700000121498,17.710099998949495,0.32315099995224494,0.637600001212,29.1,2.2,2.0,Slider,"Sinker 28% (17% whiff), Changeup 27% (28% whiff), 4-Seam Fastball 20% (29% whiff), Sweeper 20% (27% whiff), Slider 5% (22% whiff)",94.2,94.2,93.1,2.840037034936852,18.0,0.0,0.0,102.0,0.0,,61.199999999999996,101.7,107.2,102.4,10.042387669666788,12.455555555555554,3,91,-1.294265232974908,-2.0999999999999943,0.5,0.2,11.057427350338308,5.84,False,10.575654786039395,-0.25694567882797126,10.318709107211424,25.0,1.0,258.0,27,57,CS,0.0,258.0,16.0,31.0,92.0,10.0,132.0,71.0,marginal,,False,10
