mlbam_id,name,birth_date,season,level,milb_PA,milb_AVG,milb_OBP,milb_SLG,milb_OPS,milb_ISO,milb_K,milb_BB,milb_HR,milb_SB,milb_SB600,age,nkey,milb_OPS_pct,milb_ISO_pct,milb_OBP_pct,milb_K_pct,milb_BB_pct,milb_SB600_pct
701649,James Triantos,2003-01-29,2024,AAA,94,0.3023255813953488,0.351,0.384,0.735,0.08139534883720931,0.1702127659574468,0.07446808510638298,0,9,57.4468085106383,21.4,james triantos,,,,,,
671286,Johnathan Rodríguez,1999-11-04,2024,AAA,508,0.30068337129840544,0.39,0.54,0.93,0.23917995444191345,0.25196850393700787,0.12598425196850394,29,8,9.448818897637794,24.7,johnathan rodriguez,92.0,87.0,86.0,34.0,70.0,43.0
680577,DaShawn Keirsey Jr.,1997-05-13,2024,AAA,505,0.3002257336343115,0.368,0.476,0.844,0.17607223476297967,0.2297029702970297,0.09504950495049505,14,36,42.77227722772277,27.1,dashawn keirsey,73.0,56.0,70.0,48.0,36.0,93.0
682634,Kevin Alcántara,2002-07-12,2024,AAA,148,0.2923076923076923,0.378,0.469,0.847,0.17692307692307693,0.2905405405405405,0.11486486486486487,5,7,28.37837837837838,22.0,kevin alcantara,74.0,57.0,79.0,15.0,57.0,82.0
671155,Ivan Johnson,1998-10-11,2024,AAA,167,0.28859060402684567,0.359,0.537,0.896,0.2483221476510067,0.281437125748503,0.08982035928143713,6,3,10.778443113772454,25.7,ivan johnson,87.0,90.0,61.0,18.0,31.0,48.0
682927,Ronny Simon,2000-04-17,2024,AAA,527,0.2832618025751073,0.356,0.429,0.785,0.1459227467811159,0.18785578747628084,0.08918406072106262,10,20,22.770398481973434,24.2,ronny simon,52.0,38.0,58.0,73.0,30.0,74.0
672642,Steward Berroa,1999-06-05,2024,AAA,300,0.28076923076923077,0.371,0.454,0.825,0.17307692307692307,0.23666666666666666,0.11666666666666667,10,34,68.0,25.1,steward berroa,66.0,55.0,73.0,43.0,59.0,99.0
693409,César Prieto,1999-05-10,2024,AAA,535,0.27944111776447106,0.318,0.445,0.763,0.1656686626746507,0.11775700934579439,0.04299065420560748,14,5,5.607476635514018,25.1,cesar prieto,44.0,49.0,21.0,96.0,1.0,31.0
695257,Billy Cook,1999-01-07,2024,AAA,430,0.2779291553133515,0.377,0.485,0.862,0.20708446866485014,0.2441860465116279,0.1186046511627907,16,21,29.302325581395348,25.5,billy cook,78.0,76.0,78.0,38.0,61.0,84.0
669384,Raynel Delgado,2000-04-04,2024,AAA,345,0.2751677852348993,0.365,0.426,0.791,0.15100671140939598,0.2463768115942029,0.11014492753623188,9,22,38.26086956521739,24.2,raynel delgado,55.0,40.0,68.0,37.0,53.0,91.0
