sc_PA,sc_BIP,sc_ev_avg,sc_ev90,sc_ev_max,sc_hard_hit,sc_barrel,sc_sweet_spot,sc_gb,sc_xwoba,sc_xwobacon,sc_k,sc_bb,sc_whiff,sc_chase,sc_bat_speed,sc_fast_swing,sc_swing_length,sc_parks,mlbam_id,season,sc_ev_avg_pct,sc_ev90_pct,sc_ev_max_pct,sc_hard_hit_pct,sc_barrel_pct,sc_sweet_spot_pct,sc_gb_pct,sc_xwoba_pct,sc_xwobacon_pct,sc_k_pct,sc_bb_pct,sc_whiff_pct,sc_chase_pct,sc_bat_speed_pct,sc_fast_swing_pct,sc_swing_length_pct
176,119,87.0,101.6,109.4,34.5,4.2,31.9,37.0,0.276,0.303,22.2,9.1,27.4,37.8,,,,"CLT, DUR, GWN, JAX, MEM, NAS, NOR, ROC",640459,2025,29.0,16.0,34.0,26.0,24.0,25.0,85.0,19.0,13.0,50.0,31.0,50.0,3.0,,,
86,57,83.2,102.7,105.5,29.8,3.5,40.4,40.4,0.287,0.322,23.3,5.8,33.8,39.9,,,,"CLT, DUR, GWN, JAX, MEM, NOR",640459,2026,5.0,31.0,5.0,11.0,17.0,84.0,76.0,15.0,21.0,35.0,5.0,12.0,3.0,,,
163,105,85.9,103.2,108.3,44.8,1.9,38.1,51.4,0.313,0.348,20.9,12.9,21.8,20.1,,,,"BUF, CLT, LHV, LOU, OMA, ROC, WOR",657675,2026,18.0,37.0,22.0,73.0,5.0,68.0,20.0,40.0,39.0,58.0,62.0,77.0,91.0,,,
352,254,87.1,103.7,112.9,41.7,7.9,41.7,43.7,0.32,0.375,19.3,7.7,23.0,33.9,,,,"ABQ, ELP, LV, OKC, RNO, RR, SAC, SL",660710,2025,33.0,43.0,88.0,61.0,55.0,93.0,59.0,67.0,69.0,69.0,20.0,70.0,18.0,,,
189,116,89.2,105.2,110.4,44.8,6.9,31.9,50.9,0.309,0.372,24.9,9.5,24.3,29.4,,,,"ABQ, ELP, OKC, RNO, RR, SAC, TAC",660710,2026,63.0,69.0,55.0,73.0,52.0,25.0,24.0,34.0,62.0,26.0,28.0,62.0,31.0,,,
182,124,87.9,104.2,109.8,42.7,8.1,34.7,41.1,0.265,0.328,24.2,5.5,28.2,35.1,,,,"BUF, IOW, JAX, LHV, ROC, SWB, SYR, WOR",663584,2025,48.0,50.0,43.0,67.0,57.0,53.0,74.0,10.0,35.0,39.0,5.0,42.0,14.0,,,
241,150,87.4,104.5,112.4,37.3,8.0,32.0,46.0,0.274,0.347,27.4,7.5,31.2,31.3,,,,"BUF, JAX, LHV, NOR, ROC, STP, SWB, SYR",663584,2026,36.0,58.0,74.0,38.0,64.0,27.0,49.0,9.0,38.0,15.0,10.0,22.0,25.0,,,
187,116,84.1,99.0,104.1,30.2,6.9,31.9,41.4,0.306,0.3,17.1,12.8,21.9,25.1,,,,"DUR, ELP, IOW, LV, RR, SAC, SUG, TAC",663967,2025,9.0,3.0,3.0,12.0,48.0,25.0,71.0,53.0,11.0,80.0,72.0,77.0,71.0,,,
211,136,85.6,97.4,110.1,20.6,0.7,41.2,41.9,0.321,0.316,17.1,13.3,21.4,24.8,,,,"ABQ, ELP, JAX, LV, OKC, RNO, RR, SL",663967,2026,17.0,2.0,49.0,2.0,4.0,89.0,69.0,52.0,20.0,79.0,72.0,79.0,64.0,,,
243,161,88.1,101.5,107.8,37.9,5.0,34.2,36.0,0.263,0.32,25.1,6.6,26.7,35.6,,,,"ABQ, ELP, LV, RR, SAC, SL, SUG, TAC",664068,2025,50.0,14.0,18.0,40.0,30.0,47.0,89.0,7.0,24.0,35.0,9.0,52.0,9.0,,,
143,89,85.7,102.4,108.9,30.3,6.7,38.2,34.8,0.26,0.311,27.3,8.4,31.1,35.7,,,,"IND, IOW, LOU, MEM, NAS, STP, TOL",664068,2026,17.0,28.0,29.0,11.0,50.0,69.0,93.0,4.0,18.0,16.0,21.0,23.0,9.0,,,
120,67,90.0,109.1,112.9,44.8,13.4,34.3,56.7,0.269,0.41,38.3,5.8,39.1,40.8,,,,"COL, IOW, STP",665856,2025,77.0,98.0,88.0,75.0,93.0,49.0,6.0,13.0,90.0,3.0,7.0,2.0,1.0,,,
218,129,90.1,106.9,111.5,50.4,15.5,38.0,43.4,0.278,0.413,35.8,3.7,38.3,40.8,,,,"CLT, DUR, GWN, JAX, MEM, NAS, NOR, RR",665856,2026,75.0,89.0,69.0,92.0,97.0,67.0,63.0,13.0,82.0,2.0,1.0,5.0,2.0,,,
398,268,83.6,101.6,108.4,28.7,3.4,30.2,50.0,0.274,0.294,20.6,8.8,26.1,31.5,,,,"CLT, DUR, GWN, JAX, LOU, MEM, NAS, NOR",666931,2025,6.0,16.0,21.0,7.0,18.0,14.0,28.0,15.0,10.0,64.0,28.0,53.0,31.0,,,
79,53,82.6,98.4,110.4,24.5,0.0,22.6,64.2,0.248,0.298,22.8,7.6,26.8,35.1,,,,"DUR, LHV, OKC, RNO, SAC, SUG, SYR",666931,2026,4.0,3.0,55.0,4.0,2.0,1.0,1.0,2.0,11.0,42.0,11.0,44.0,11.0,,,
154,98,82.8,100.4,105.3,26.5,0.0,30.6,53.1,0.277,0.269,20.8,14.9,28.1,23.4,,,,"CLT, DUR, GWN, JAX, MEM, NOR, OMA",668974,2025,2.0,6.0,4.0,5.0,3.0,15.0,16.0,20.0,2.0,62.0,83.0,44.0,81.0,,,
76,48,85.5,100.5,110.2,29.2,6.2,35.4,43.8,0.314,0.293,18.4,14.5,26.5,22.4,,,,"GWN, JAX, LOU, NAS, NOR",668974,2026,15.0,9.0,51.0,9.0,43.0,47.0,60.0,42.0,9.0,72.0,82.0,47.0,79.0,,,
552,381,86.6,100.2,109.1,33.6,5.2,38.8,44.9,0.292,0.328,20.1,8.0,25.1,26.3,,,,"ABQ, ELP, LV, OKC, RNO, SAC, SL, SUG",669208,2026,26.0,8.0,33.0,25.0,30.0,73.0,54.0,19.0,24.0,64.0,15.0,58.0,56.0,,,
242,134,90.0,104.0,110.7,47.8,9.7,38.1,44.0,0.35,0.386,22.7,19.8,27.4,19.4,,,,"IND, IOW, LHV, LOU, OMA, ROC, TOL",669360,2025,77.0,47.0,61.0,88.0,70.0,75.0,58.0,90.0,79.0,46.0,96.0,50.0,88.0,,,
407,268,87.6,104.1,109.9,38.1,4.1,35.8,44.0,0.294,0.324,21.9,11.5,26.5,21.8,,,,"COL, IND, IOW, LAK, LHV, LOU, PMB, ROC",669360,2026,40.0,51.0,47.0,40.0,23.0,51.0,58.0,20.0,22.0,50.0,49.0,47.0,83.0,,,
476,324,83.1,101.5,109.4,29.9,3.4,32.1,48.1,0.285,0.304,20.0,10.1,20.8,29.1,,,,"CLT, DUR, GWN, IND, JAX, LOU, MEM, NAS",669384,2025,3.0,14.0,34.0,11.0,18.0,27.0,37.0,29.0,14.0,66.0,40.0,80.0,48.0,,,
